timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2025-10-14 09:00:00,2025,10,14,9,An Giang,Xã Ô Lâm,10.4013273,104.9458743,48,Good,0,28.5,84,0.2,2.9,94,1010.6,100,11.7,12.2,208.0,7.4,67.0,9.4
2025-10-14 10:00:00,2025,10,14,10,An Giang,Xã Ô Lâm,10.4013273,104.9458743,50,Good,0,29.9,73,0.1,6.2,147,1010.6,100,11.7,12.2,186.0,4.3,83.0,8.7
2025-10-14 11:00:00,2025,10,14,11,An Giang,Xã Ô Lâm,10.4013273,104.9458743,50,Good,0,31.0,67,0.1,5.2,168,1009.9,83,12.6,13.2,171.0,2.7,93.0,7.5
2025-10-14 12:00:00,2025,10,14,12,An Giang,Xã Ô Lâm,10.4013273,104.9458743,51,Moderate,1,31.7,63,0.1,5.0,195,1009.0,100,12.9,13.4,159.0,1.9,100.0,6.0
2025-10-14 13:00:00,2025,10,14,13,An Giang,Xã Ô Lâm,10.4013273,104.9458743,52,Moderate,1,31.8,60,0.0,7.6,185,1008.2,100,12.6,13.2,152.0,1.6,103.0,5.0
2025-10-14 14:00:00,2025,10,14,14,An Giang,Xã Ô Lâm,10.4013273,104.9458743,52,Moderate,1,28.8,74,0.6,6.8,93,1007.5,100,12.4,13.0,150.0,1.7,100.0,4.6
2025-10-14 15:00:00,2025,10,14,15,An Giang,Xã Ô Lâm,10.4013273,104.9458743,53,Moderate,1,28.2,79,0.0,8.9,133,1007.3,100,11.1,11.7,153.0,2.4,94.0,4.6
2025-10-14 16:00:00,2025,10,14,16,An Giang,Xã Ô Lâm,10.4013273,104.9458743,53,Moderate,1,28.0,78,0.8,4.7,164,1006.6,100,11.1,11.7,160.0,3.7,85.0,5.0
2025-10-14 17:00:00,2025,10,14,17,An Giang,Xã Ô Lâm,10.4013273,104.9458743,54,Moderate,1,27.6,80,0.3,7.0,113,1007.1,100,12.0,12.5,174.0,6.2,74.0,5.7
2025-10-14 18:00:00,2025,10,14,18,An Giang,Xã Ô Lâm,10.4013273,104.9458743,54,Moderate,1,26.5,87,0.0,6.7,106,1007.7,100,14.6,15.1,192.0,9.3,61.0,6.8
