timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-01-14 20:00:00,2026,1,14,20,An Giang,Xã Châu Thành,9.9133541,105.1900822,103,Unhealthy for Sensitive Groups,2,24.8,81,0.0,10.2,146,1012.5,18,41.0,41.7,349.0,13.8,85.0,14.3
2026-01-14 21:00:00,2026,1,14,21,An Giang,Xã Châu Thành,9.9133541,105.1900822,101,Unhealthy for Sensitive Groups,2,24.0,87,0.0,8.5,155,1013.2,1,39.6,40.5,320.0,15.2,68.0,14.1
2026-01-14 22:00:00,2026,1,14,22,An Giang,Xã Châu Thành,9.9133541,105.1900822,100,Moderate,1,23.2,90,0.0,8.9,152,1013.1,0,36.0,37.0,296.0,15.9,55.0,13.4
2026-01-14 23:00:00,2026,1,14,23,An Giang,Xã Châu Thành,9.9133541,105.1900822,99,Moderate,1,22.6,91,0.0,9.8,156,1013.4,0,30.6,31.8,287.0,15.3,50.0,11.8
2026-01-15 00:00:00,2026,1,15,0,An Giang,Xã Châu Thành,9.9133541,105.1900822,97,Moderate,1,22.1,94,0.0,6.6,151,1013.6,0,25.3,27.1,284.0,14.0,49.0,9.8
2026-01-15 01:00:00,2026,1,15,1,An Giang,Xã Châu Thành,9.9133541,105.1900822,95,Moderate,1,21.5,96,0.0,6.4,140,1013.1,4,21.5,23.5,281.0,13.0,49.0,8.2
2026-01-15 02:00:00,2026,1,15,2,An Giang,Xã Châu Thành,9.9133541,105.1900822,94,Moderate,1,21.5,98,0.0,6.7,134,1012.7,4,19.4,21.7,273.0,12.8,49.0,7.4
2026-01-15 03:00:00,2026,1,15,3,An Giang,Xã Châu Thành,9.9133541,105.1900822,92,Moderate,1,21.2,98,0.0,5.7,122,1012.6,3,19.4,21.8,265.0,13.0,49.0,6.9
2026-01-15 04:00:00,2026,1,15,4,An Giang,Xã Châu Thành,9.9133541,105.1900822,91,Moderate,1,21.0,99,0.0,5.4,110,1012.4,0,21.0,23.6,264.0,13.2,50.0,7.0
2026-01-15 05:00:00,2026,1,15,5,An Giang,Xã Châu Thành,9.9133541,105.1900822,89,Moderate,1,21.0,99,0.0,5.2,92,1012.7,0,22.3,25.0,278.0,13.8,50.0,7.7
2026-01-15 06:00:00,2026,1,15,6,An Giang,Xã Châu Thành,9.9133541,105.1900822,88,Moderate,1,20.9,99,0.0,5.0,69,1013.2,37,22.6,25.4,299.0,14.6,50.0,8.9
2026-01-15 07:00:00,2026,1,15,7,An Giang,Xã Châu Thành,9.9133541,105.1900822,87,Moderate,1,21.9,98,0.0,8.8,59,1013.8,58,18.7,21.8,306.0,12.6,58.0,9.1
2026-01-15 08:00:00,2026,1,15,8,An Giang,Xã Châu Thành,9.9133541,105.1900822,85,Moderate,1,24.0,90,0.0,12.0,82,1014.5,100,17.6,21.4,284.0,10.6,71.0,9.7
2026-01-15 09:00:00,2026,1,15,9,An Giang,Xã Châu Thành,9.9133541,105.1900822,85,Moderate,1,25.6,83,0.0,9.6,98,1014.7,75,18.7,22.7,248.0,7.9,89.0,10.5
2026-01-15 10:00:00,2026,1,15,10,An Giang,Xã Châu Thành,9.9133541,105.1900822,84,Moderate,1,27.0,74,0.0,8.8,92,1014.4,20,20.8,23.1,227.0,5.6,106.0,10.8
2026-01-15 11:00:00,2026,1,15,11,An Giang,Xã Châu Thành,9.9133541,105.1900822,84,Moderate,1,28.0,68,0.1,7.7,72,1013.8,27,25.8,27.4,236.0,4.3,120.0,10.2
2026-01-15 12:00:00,2026,1,15,12,An Giang,Xã Châu Thành,9.9133541,105.1900822,84,Moderate,1,28.6,65,0.1,7.9,55,1012.7,41,31.4,32.9,259.0,3.4,134.0,9.1
2026-01-15 13:00:00,2026,1,15,13,An Giang,Xã Châu Thành,9.9133541,105.1900822,84,Moderate,1,29.4,62,0.0,7.6,54,1011.5,26,32.0,33.3,279.0,2.9,143.0,8.2
2026-01-15 14:00:00,2026,1,15,14,An Giang,Xã Châu Thành,9.9133541,105.1900822,85,Moderate,1,29.8,61,0.0,8.1,53,1010.0,16,31.4,32.5,282.0,2.5,148.0,7.5
2026-01-15 15:00:00,2026,1,15,15,An Giang,Xã Châu Thành,9.9133541,105.1900822,84,Moderate,1,29.9,60,0.0,8.2,61,1009.3,16,31.8,32.7,280.0,2.4,149.0,7.1
2026-01-15 16:00:00,2026,1,15,16,An Giang,Xã Châu Thành,9.9133541,105.1900822,84,Moderate,1,29.5,61,0.0,7.0,77,1009.0,33,31.9,32.7,296.0,3.5,146.0,7.4
