timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2025-10-14 17:00:00,2025,10,14,17,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,42,Good,0,24.9,94,0.1,2.3,309,963.6,99,3.6,3.7,143.0,5.6,44.0,1.4
2025-10-14 18:00:00,2025,10,14,18,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,40,Good,0,24.2,94,0.1,0.4,90,964.1,100,4.7,4.8,151.0,8.9,35.0,1.9
2025-10-14 19:00:00,2025,10,14,19,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,38,Good,0,24.0,95,0.0,1.8,79,964.4,100,6.7,6.9,154.0,7.7,40.0,1.9
2025-10-14 20:00:00,2025,10,14,20,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,36,Good,0,23.5,94,2.5,2.2,81,965.4,98,6.2,6.4,149.0,7.3,40.0,1.9
2025-10-14 21:00:00,2025,10,14,21,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,35,Good,0,23.4,96,3.0,0.6,252,965.8,87,5.6,5.8,141.0,6.6,40.0,1.9
2025-10-14 22:00:00,2025,10,14,22,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,33,Good,0,23.2,95,0.0,0.2,360,966.0,100,4.9,5.1,132.0,6.2,40.0,2.0
2025-10-14 23:00:00,2025,10,14,23,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,30,Good,0,23.0,98,0.3,2.0,297,966.2,100,3.7,3.8,125.0,6.1,38.0,2.1
2025-10-15 00:00:00,2025,10,15,0,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,28,Good,0,22.8,99,0.2,1.9,311,966.2,100,3.8,3.9,119.0,6.2,36.0,2.3
2025-10-15 01:00:00,2025,10,15,1,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,26,Good,0,23.0,95,0.1,1.6,27,965.2,100,3.4,3.4,114.0,6.3,34.0,2.4
2025-10-15 02:00:00,2025,10,15,2,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,24,Good,0,23.0,96,0.1,2.8,79,964.7,100,2.7,2.8,110.0,6.2,32.0,2.4
2025-10-15 03:00:00,2025,10,15,3,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,23,Good,0,23.0,94,0.1,1.4,180,964.7,100,2.6,2.7,106.0,6.2,31.0,2.4
2025-10-15 04:00:00,2025,10,15,4,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,21,Good,0,22.7,95,0.3,0.5,360,964.9,100,2.5,2.5,107.0,6.3,30.0,2.5
2025-10-15 05:00:00,2025,10,15,5,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,20,Good,0,22.5,98,0.1,2.3,321,964.9,100,2.7,2.8,114.0,6.9,29.0,2.7
2025-10-15 06:00:00,2025,10,15,6,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,19,Good,0,22.1,99,0.0,1.5,14,965.1,100,2.8,2.9,125.0,7.7,28.0,3.0
2025-10-15 07:00:00,2025,10,15,7,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,18,Good,0,23.2,98,0.0,2.2,312,966.2,100,2.9,3.0,134.0,6.2,37.0,7.3
2025-10-15 08:00:00,2025,10,15,8,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,17,Good,0,23.5,96,0.1,3.5,298,966.8,100,3.4,3.4,138.0,5.3,42.0,7.8
2025-10-15 09:00:00,2025,10,15,9,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,16,Good,0,23.8,95,0.1,2.6,326,967.6,100,2.6,2.7,141.0,4.1,49.0,8.4
2025-10-15 10:00:00,2025,10,15,10,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,16,Good,0,23.9,95,0.3,2.7,332,967.3,100,3.1,3.1,141.0,3.0,56.0,8.3
2025-10-15 11:00:00,2025,10,15,11,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,18,Good,0,24.4,93,0.2,2.4,333,966.7,100,3.9,3.9,139.0,2.3,61.0,6.8
2025-10-15 12:00:00,2025,10,15,12,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,19,Good,0,25.1,90,0.2,1.0,112,966.2,100,4.7,4.8,136.0,1.8,66.0,4.6
2025-10-15 13:00:00,2025,10,15,13,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,21,Good,0,25.4,89,0.1,2.6,141,965.3,100,5.1,5.2,133.0,1.5,70.0,3.0
2025-10-15 14:00:00,2025,10,15,14,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,24,Good,0,25.8,87,0.1,2.4,167,964.3,100,5.4,5.5,130.0,1.1,74.0,2.5
2025-10-15 15:00:00,2025,10,15,15,Cao Bằng,Xã Khánh Xuân,22.9327741,105.7571613,26,Good,0,26.6,80,0.0,4.2,121,963.9,84,5.8,5.9,128.0,0.8,77.0,2.6
