timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-01-14 20:00:00,2026,1,14,20,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,41,Good,0,16.9,89,0.0,5.1,117,895.8,0,12.6,13.4,495.0,9.6,53.0,2.4
2026-01-14 21:00:00,2026,1,14,21,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,42,Good,0,16.2,92,0.0,5.9,104,896.0,0,14.2,14.8,542.0,9.5,50.0,2.0
2026-01-14 22:00:00,2026,1,14,22,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,42,Good,0,15.8,93,0.0,6.3,110,896.1,9,16.4,17.1,555.0,9.1,48.0,1.5
2026-01-14 23:00:00,2026,1,14,23,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,43,Good,0,15.7,95,0.0,8.7,104,896.3,77,18.0,18.7,509.0,8.1,50.0,1.0
2026-01-15 00:00:00,2026,1,15,0,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,44,Good,0,15.5,97,0.0,9.4,103,896.2,93,18.6,19.4,428.0,6.8,53.0,0.5
2026-01-15 01:00:00,2026,1,15,1,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,46,Good,0,15.2,98,0.0,8.5,107,895.2,100,18.3,19.3,359.0,5.7,57.0,0.2
2026-01-15 02:00:00,2026,1,15,2,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,47,Good,0,15.2,96,0.0,8.2,113,894.8,28,18.0,19.0,314.0,4.8,61.0,0.0
2026-01-15 03:00:00,2026,1,15,3,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,48,Good,0,15.4,92,0.0,6.7,114,894.8,47,17.4,18.5,281.0,3.9,64.0,0.0
2026-01-15 04:00:00,2026,1,15,4,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,48,Good,0,15.1,92,0.0,4.4,111,895.1,48,16.5,17.6,264.0,3.5,66.0,0.1
2026-01-15 05:00:00,2026,1,15,5,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,49,Good,0,14.8,92,0.0,5.0,111,895.2,48,15.7,16.8,277.0,3.8,62.0,0.3
2026-01-15 06:00:00,2026,1,15,6,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,50,Good,0,14.6,91,0.0,6.0,106,895.7,41,15.4,16.4,306.0,4.5,57.0,0.7
2026-01-15 07:00:00,2026,1,15,7,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,50,Good,0,15.8,88,0.0,5.7,108,896.7,55,13.2,14.3,322.0,3.5,60.0,0.7
2026-01-15 08:00:00,2026,1,15,8,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,50,Good,0,18.3,81,0.0,3.9,74,898.1,29,9.8,10.6,307.0,2.8,70.0,0.8
2026-01-15 09:00:00,2026,1,15,9,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,50,Good,0,20.5,71,0.0,2.9,11,898.7,31,8.0,9.5,278.0,1.8,83.0,1.0
2026-01-15 10:00:00,2026,1,15,10,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,50,Good,0,22.1,66,0.0,3.5,332,898.6,21,7.8,8.6,254.0,1.1,94.0,1.1
2026-01-15 11:00:00,2026,1,15,11,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,51,Moderate,1,23.6,61,0.0,4.2,306,898.5,32,8.6,9.3,243.0,0.8,99.0,1.2
2026-01-15 12:00:00,2026,1,15,12,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,51,Moderate,1,24.8,55,0.0,5.6,297,897.7,51,9.6,10.1,238.0,0.8,102.0,1.3
2026-01-15 13:00:00,2026,1,15,13,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,51,Moderate,1,25.5,47,0.0,6.3,321,896.4,71,10.4,10.8,235.0,0.8,103.0,1.3
2026-01-15 14:00:00,2026,1,15,14,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,51,Moderate,1,25.1,49,0.0,7.7,324,895.4,13,11.0,11.4,227.0,0.7,104.0,1.2
2026-01-15 15:00:00,2026,1,15,15,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,52,Moderate,1,24.3,52,0.0,5.7,351,894.9,2,11.5,12.0,221.0,0.6,102.0,1.1
2026-01-15 16:00:00,2026,1,15,16,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,52,Moderate,1,23.0,57,0.0,6.6,37,894.7,5,11.9,12.4,234.0,1.2,98.0,1.1
2026-01-15 17:00:00,2026,1,15,17,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,52,Moderate,1,21.2,66,0.0,4.6,64,894.4,7,12.5,13.0,289.0,3.1,87.0,1.4
2026-01-15 18:00:00,2026,1,15,18,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,53,Moderate,1,18.9,71,0.0,6.9,99,894.0,5,13.8,14.2,363.0,5.7,73.0,1.9
2026-01-15 19:00:00,2026,1,15,19,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,53,Moderate,1,18.0,79,0.0,8.8,90,894.4,2,9.9,10.2,410.0,6.9,65.0,1.9
2026-01-15 20:00:00,2026,1,15,20,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,53,Moderate,1,17.2,86,0.0,11.7,91,895.0,4,11.6,11.9,403.0,6.9,63.0,1.8
2026-01-15 21:00:00,2026,1,15,21,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,53,Moderate,1,16.7,89,0.0,11.6,97,895.2,9,12.7,13.1,369.0,7.0,59.0,1.6
2026-01-15 22:00:00,2026,1,15,22,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,53,Moderate,1,16.4,88,0.0,12.3,96,895.1,37,14.7,15.2,338.0,6.9,57.0,1.4
2026-01-15 23:00:00,2026,1,15,23,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,52,Moderate,1,16.0,87,0.0,12.3,95,895.1,88,16.8,17.3,321.0,6.7,57.0,1.0
2026-01-16 00:00:00,2026,1,16,0,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,52,Moderate,1,15.5,82,0.0,12.2,98,894.8,97,17.5,18.2,307.0,6.3,58.0,0.6
2026-01-16 01:00:00,2026,1,16,1,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,52,Moderate,1,14.4,87,0.0,10.9,102,893.7,95,18.3,19.0,290.0,6.0,59.0,0.3
2026-01-16 02:00:00,2026,1,16,2,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,52,Moderate,1,13.9,79,0.0,11.0,101,892.9,50,18.3,19.0,264.0,5.7,60.0,0.2
2026-01-16 03:00:00,2026,1,16,3,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,52,Moderate,1,13.7,65,0.0,10.7,102,892.5,100,17.8,18.6,235.0,5.3,62.0,0.2
2026-01-16 04:00:00,2026,1,16,4,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,52,Moderate,1,13.6,51,0.0,10.0,104,892.4,100,16.9,17.6,216.0,5.2,62.0,0.3
2026-01-16 05:00:00,2026,1,16,5,Đắk Lắk,Xã Krông Nô,12.2372323,108.2088023,52,Moderate,1,13.0,42,0.0,9.7,106,892.1,100,15.6,16.2,216.0,5.7,58.0,0.5
