timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-01-14 20:00:00,2026,1,14,20,Đồng Tháp,Xã Trường Xuân,10.6731407,105.748186,103,Unhealthy for Sensitive Groups,2,25.0,79,0.0,8.5,163,1012.1,6,38.6,39.3,340.0,15.3,92.0,10.5
2026-01-14 21:00:00,2026,1,14,21,Đồng Tháp,Xã Trường Xuân,10.6731407,105.748186,102,Unhealthy for Sensitive Groups,2,24.7,81,0.0,9.4,156,1012.7,4,38.5,39.1,390.0,16.2,87.0,13.6
2026-01-14 22:00:00,2026,1,14,22,Đồng Tháp,Xã Trường Xuân,10.6731407,105.748186,101,Unhealthy for Sensitive Groups,2,24.2,84,0.0,10.1,151,1012.8,2,36.1,36.7,414.0,16.9,81.0,15.4
2026-01-14 23:00:00,2026,1,14,23,Đồng Tháp,Xã Trường Xuân,10.6731407,105.748186,100,Moderate,1,23.5,89,0.0,9.8,149,1012.9,0,31.9,32.6,387.0,17.2,73.0,15.0
2026-01-15 00:00:00,2026,1,15,0,Đồng Tháp,Xã Trường Xuân,10.6731407,105.748186,99,Moderate,1,23.0,92,0.0,9.6,142,1013.1,1,27.5,28.4,334.0,17.3,64.0,13.3
2026-01-15 01:00:00,2026,1,15,1,Đồng Tháp,Xã Trường Xuân,10.6731407,105.748186,97,Moderate,1,22.4,96,0.0,10.0,142,1012.6,92,23.4,25.3,291.0,17.2,57.0,11.8
2026-01-15 02:00:00,2026,1,15,2,Đồng Tháp,Xã Trường Xuân,10.6731407,105.748186,95,Moderate,1,22.3,97,0.0,9.7,149,1012.3,100,20.8,22.8,273.0,17.0,53.0,10.7
2026-01-15 03:00:00,2026,1,15,3,Đồng Tháp,Xã Trường Xuân,10.6731407,105.748186,93,Moderate,1,22.1,98,0.0,4.2,155,1012.3,22,20.1,22.4,267.0,16.6,52.0,9.7
2026-01-15 04:00:00,2026,1,15,4,Đồng Tháp,Xã Trường Xuân,10.6731407,105.748186,91,Moderate,1,21.9,98,0.0,0.9,191,1012.2,99,21.1,23.9,266.0,15.9,53.0,8.9
2026-01-15 05:00:00,2026,1,15,5,Đồng Tháp,Xã Trường Xuân,10.6731407,105.748186,90,Moderate,1,21.8,98,0.0,0.3,315,1012.7,79,21.7,25.1,274.0,14.7,55.0,8.4
