timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2025-01-01 00:00:00,2025,1,1,0,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,161,Unhealthy,3,15.3,88,0.0,4.9,309,1018.4,0,123.9,124.3,1303.0,49.4,29.0,54.5
2025-01-01 01:00:00,2025,1,1,1,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,162,Unhealthy,3,14.9,90,0.0,6.9,311,1018.4,4,128.1,128.5,1282.0,49.7,25.0,52.9
2025-01-01 02:00:00,2025,1,1,2,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,163,Unhealthy,3,14.4,91,0.0,5.2,319,1017.9,0,129.0,129.5,1229.0,48.5,23.0,50.7
2025-01-01 03:00:00,2025,1,1,3,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,164,Unhealthy,3,13.9,92,0.0,5.1,328,1017.3,0,129.5,129.5,1192.0,46.8,21.0,48.2
2025-01-01 04:00:00,2025,1,1,4,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,166,Unhealthy,3,13.8,93,0.0,4.6,329,1017.2,2,131.8,132.2,1262.0,46.0,19.0,47.4
2025-01-01 05:00:00,2025,1,1,5,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,167,Unhealthy,3,13.8,93,0.0,5.9,322,1017.2,4,135.5,136.0,1572.0,47.8,13.0,49.5
2025-01-01 06:00:00,2025,1,1,6,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,169,Unhealthy,3,13.6,93,0.0,5.8,321,1017.5,0,142.5,143.0,1989.0,50.6,7.0,53.4
2025-01-01 07:00:00,2025,1,1,7,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,171,Unhealthy,3,13.6,94,0.0,6.1,328,1018.0,0,182.5,183.0,2209.0,63.8,7.0,61.4
2025-01-01 08:00:00,2025,1,1,8,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,173,Unhealthy,3,14.9,89,0.0,4.6,347,1019.1,0,174.6,174.6,2049.0,59.2,25.0,64.7
2025-01-01 09:00:00,2025,1,1,9,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,176,Unhealthy,3,17.4,75,0.0,4.5,344,1019.6,0,135.5,135.5,1692.0,52.6,51.0,69.0
2025-01-01 10:00:00,2025,1,1,10,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,177,Unhealthy,3,19.5,63,0.0,4.7,351,1019.5,0,111.5,111.8,1380.0,44.9,80.0,70.1
2025-01-01 11:00:00,2025,1,1,11,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,178,Unhealthy,3,21.3,53,0.0,3.3,6,1018.8,0,92.2,92.2,1193.0,35.1,112.0,64.8
2025-01-01 12:00:00,2025,1,1,12,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,179,Unhealthy,3,22.6,47,0.0,1.4,23,1017.5,0,85.9,86.1,1051.0,24.4,146.0,56.2
2025-01-01 13:00:00,2025,1,1,13,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,179,Unhealthy,3,23.6,44,0.0,0.9,143,1016.1,0,84.8,84.8,957.0,16.7,173.0,49.7
2025-01-01 14:00:00,2025,1,1,14,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,180,Unhealthy,3,23.9,43,0.0,3.0,155,1014.8,2,84.1,84.1,904.0,12.1,194.0,46.4
2025-01-01 15:00:00,2025,1,1,15,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,180,Unhealthy,3,23.9,44,0.0,5.1,153,1013.9,5,84.3,84.5,900.0,10.7,207.0,45.2
2025-01-01 16:00:00,2025,1,1,16,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,181,Unhealthy,3,23.2,46,0.0,7.4,139,1013.7,2,86.4,86.6,972.0,16.7,204.0,47.3
2025-01-01 17:00:00,2025,1,1,17,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,181,Unhealthy,3,22.0,50,0.0,8.8,121,1013.8,4,123.9,123.9,1206.0,38.5,169.0,56.8
2025-01-01 18:00:00,2025,1,1,18,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,182,Unhealthy,3,20.8,54,0.0,7.4,124,1014.3,6,161.1,161.1,1518.0,67.8,118.0,69.8
2025-01-01 19:00:00,2025,1,1,19,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,184,Unhealthy,3,20.1,57,0.0,8.1,94,1015.0,0,145.8,145.8,1679.0,72.1,87.0,68.1
2025-01-01 20:00:00,2025,1,1,20,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,185,Unhealthy,3,19.4,65,0.0,12.6,121,1015.3,0,115.7,115.9,1538.0,59.1,90.0,58.6
2025-01-01 21:00:00,2025,1,1,21,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,185,Unhealthy,3,18.0,70,0.0,11.1,140,1016.2,0,92.9,93.1,1246.0,41.4,95.0,45.5
2025-01-01 22:00:00,2025,1,1,22,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,185,Unhealthy,3,17.0,74,0.0,9.2,159,1016.7,0,83.1,83.4,1036.0,29.2,95.0,36.2
2025-01-01 23:00:00,2025,1,1,23,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,184,Unhealthy,3,16.5,77,0.0,7.9,167,1017.0,1,84.5,85.0,1013.0,27.7,88.0,34.0
2025-01-02 00:00:00,2025,1,2,0,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,183,Unhealthy,3,16.1,79,0.0,5.9,157,1016.9,3,91.0,91.5,1072.0,31.6,76.0,35.5
2025-01-02 01:00:00,2025,1,2,1,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,183,Unhealthy,3,15.6,83,0.0,3.8,131,1017.2,5,103.1,103.8,1123.0,36.1,65.0,37.6
2025-01-02 02:00:00,2025,1,2,2,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,182,Unhealthy,3,15.1,86,0.0,3.3,84,1017.0,6,117.6,118.0,1110.0,39.6,55.0,39.4
2025-01-02 03:00:00,2025,1,2,3,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,182,Unhealthy,3,14.8,89,0.0,4.6,48,1016.7,4,131.8,132.2,1089.0,43.6,45.0,41.9
2025-01-02 04:00:00,2025,1,2,4,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,182,Unhealthy,3,14.4,92,0.0,5.2,41,1016.9,8,143.4,143.9,1142.0,47.3,36.0,44.9
2025-01-02 05:00:00,2025,1,2,5,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,182,Unhealthy,3,14.1,93,0.0,5.3,35,1017.1,12,151.8,152.3,1372.0,51.2,26.0,48.8
2025-01-02 06:00:00,2025,1,2,6,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,182,Unhealthy,3,13.9,93,0.0,4.7,23,1017.5,15,159.3,159.7,1675.0,54.7,19.0,53.3
2025-01-02 07:00:00,2025,1,2,7,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,183,Unhealthy,3,14.0,92,0.0,4.2,12,1018.3,14,183.5,183.9,1825.0,51.7,18.0,50.4
2025-01-02 08:00:00,2025,1,2,8,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,183,Unhealthy,3,15.8,83,0.0,4.3,22,1019.3,0,169.5,170.0,1684.0,48.9,42.0,55.7
2025-01-02 09:00:00,2025,1,2,9,Hà Nội,Phường Hoàng Mai,20.9740598,105.8619324,183,Unhealthy,3,18.6,66,0.0,4.7,16,1020.3,0,137.4,137.4,1390.0,44.8,76.0,62.6
