timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-01-14 20:00:00,2026,1,14,20,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,114,Unhealthy for Sensitive Groups,2,18.5,93,0.0,3.6,96,1009.7,16,36.1,37.4,500.0,10.0,88.0,6.9
2026-01-14 21:00:00,2026,1,14,21,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,112,Unhealthy for Sensitive Groups,2,18.5,93,0.0,1.4,90,1010.3,52,39.1,40.4,556.0,12.0,82.0,8.5
2026-01-14 22:00:00,2026,1,14,22,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,111,Unhealthy for Sensitive Groups,2,18.5,94,0.0,1.3,90,1010.8,25,44.0,45.3,592.0,13.4,75.0,9.4
2026-01-14 23:00:00,2026,1,14,23,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,109,Unhealthy for Sensitive Groups,2,18.2,95,0.0,0.3,315,1011.0,23,52.0,53.3,599.0,14.0,66.0,8.6
2026-01-15 00:00:00,2026,1,15,0,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,109,Unhealthy for Sensitive Groups,2,18.0,97,0.0,3.3,299,1011.3,35,53.8,55.1,586.0,14.1,57.0,7.0
2026-01-15 01:00:00,2026,1,15,1,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,109,Unhealthy for Sensitive Groups,2,17.8,98,0.0,4.6,306,1011.0,95,54.7,56.0,559.0,13.7,50.0,5.7
2026-01-15 02:00:00,2026,1,15,2,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,109,Unhealthy for Sensitive Groups,2,18.1,98,0.0,5.9,293,1010.7,100,54.7,56.0,508.0,12.5,48.0,5.1
2026-01-15 03:00:00,2026,1,15,3,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,110,Unhealthy for Sensitive Groups,2,18.5,95,0.0,5.5,287,1010.4,100,54.8,56.1,442.0,10.7,49.0,4.7
2026-01-15 04:00:00,2026,1,15,4,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,110,Unhealthy for Sensitive Groups,2,18.5,94,0.0,5.2,264,1010.4,100,54.1,55.4,398.0,9.5,50.0,4.6
2026-01-15 05:00:00,2026,1,15,5,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,111,Unhealthy for Sensitive Groups,2,18.6,92,0.0,5.5,253,1010.5,100,53.9,55.2,399.0,9.5,46.0,4.8
2026-01-15 06:00:00,2026,1,15,6,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,112,Unhealthy for Sensitive Groups,2,18.8,91,0.0,5.4,249,1011.2,100,53.7,54.9,420.0,9.9,42.0,5.2
2026-01-15 07:00:00,2026,1,15,7,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,114,Unhealthy for Sensitive Groups,2,18.6,92,0.0,5.9,252,1011.4,100,53.9,55.3,427.0,8.9,53.0,5.1
2026-01-15 08:00:00,2026,1,15,8,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,113,Unhealthy for Sensitive Groups,2,19.5,89,0.0,6.0,273,1012.1,100,47.3,48.8,398.0,7.4,66.0,5.0
2026-01-15 09:00:00,2026,1,15,9,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,113,Unhealthy for Sensitive Groups,2,20.6,84,0.0,5.0,283,1012.5,88,41.6,43.3,353.0,5.4,83.0,4.8
2026-01-15 10:00:00,2026,1,15,10,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,113,Unhealthy for Sensitive Groups,2,22.3,74,0.1,1.1,288,1012.4,80,36.6,38.6,320.0,3.7,98.0,4.5
2026-01-15 11:00:00,2026,1,15,11,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,113,Unhealthy for Sensitive Groups,2,23.2,69,0.1,1.1,72,1011.7,98,30.2,32.1,309.0,2.9,106.0,4.1
2026-01-15 12:00:00,2026,1,15,12,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,113,Unhealthy for Sensitive Groups,2,23.9,66,0.0,1.2,51,1010.4,100,29.8,31.7,308.0,2.4,111.0,3.6
2026-01-15 13:00:00,2026,1,15,13,Hà Tĩnh,Xã Sơn Tiến,18.5973941,105.4893177,113,Unhealthy for Sensitive Groups,2,24.1,64,0.0,2.4,54,1009.1,47,30.4,32.1,313.0,2.2,115.0,3.4
