timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2025-10-14 17:00:00,2025,10,14,17,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,74,Moderate,1,25.9,89,0.3,6.4,119,1009.8,99,17.6,20.0,220.0,20.4,46.0,16.1
2025-10-14 18:00:00,2025,10,14,18,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,74,Moderate,1,25.1,94,0.0,5.5,113,1010.5,100,28.1,30.2,270.0,28.3,35.0,19.9
2025-10-14 19:00:00,2025,10,14,19,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,75,Moderate,1,25.6,92,0.0,2.6,65,1010.6,100,29.2,31.1,309.0,31.9,24.0,20.6
2025-10-14 20:00:00,2025,10,14,20,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,74,Moderate,1,25.8,91,0.2,1.7,72,1011.5,100,27.6,29.4,329.0,30.5,25.0,19.9
2025-10-14 21:00:00,2025,10,14,21,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,73,Moderate,1,25.0,93,0.6,7.4,87,1012.1,100,25.2,26.9,336.0,28.5,27.0,19.0
2025-10-14 22:00:00,2025,10,14,22,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,72,Moderate,1,24.5,96,1.0,5.9,90,1012.2,100,26.0,27.6,331.0,26.5,29.0,17.6
2025-10-14 23:00:00,2025,10,14,23,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,71,Moderate,1,24.2,97,0.0,6.1,150,1012.3,100,25.3,27.0,307.0,24.7,30.0,15.5
2025-10-15 00:00:00,2025,10,15,0,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,70,Moderate,1,24.0,99,1.4,7.9,177,1012.6,100,23.8,25.4,270.0,23.0,31.0,12.9
2025-10-15 01:00:00,2025,10,15,1,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,69,Moderate,1,23.9,96,4.3,7.4,157,1011.5,100,20.2,21.5,235.0,21.7,32.0,11.2
2025-10-15 02:00:00,2025,10,15,2,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,67,Moderate,1,23.7,97,0.1,3.6,135,1011.2,100,16.6,17.9,201.0,20.9,33.0,10.7
2025-10-15 03:00:00,2025,10,15,3,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,66,Moderate,1,23.4,99,0.0,3.0,17,1011.2,100,15.7,17.1,168.0,20.5,34.0,10.9
2025-10-15 04:00:00,2025,10,15,4,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,65,Moderate,1,23.5,98,0.0,3.0,33,1010.9,100,14.9,16.1,156.0,20.8,34.0,11.9
2025-10-15 05:00:00,2025,10,15,5,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,64,Moderate,1,23.9,97,0.0,3.2,38,1010.9,100,15.3,16.0,184.0,22.5,32.0,14.1
2025-10-15 06:00:00,2025,10,15,6,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,64,Moderate,1,23.6,99,0.0,3.2,357,1011.4,100,20.1,20.9,232.0,24.9,28.0,17.0
2025-10-15 07:00:00,2025,10,15,7,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,64,Moderate,1,24.5,97,0.0,6.1,50,1012.3,100,32.4,33.8,260.0,24.5,24.0,21.9
2025-10-15 08:00:00,2025,10,15,8,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,65,Moderate,1,25.7,91,0.0,7.1,60,1013.0,100,21.9,23.5,244.0,21.9,32.0,20.9
2025-10-15 09:00:00,2025,10,15,9,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,65,Moderate,1,26.8,86,0.1,7.3,79,1013.5,100,17.8,19.6,209.0,18.3,44.0,19.5
2025-10-15 10:00:00,2025,10,15,10,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,65,Moderate,1,28.1,79,0.0,7.3,106,1013.3,100,13.9,15.8,180.0,15.2,53.0,17.6
2025-10-15 11:00:00,2025,10,15,11,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,66,Moderate,1,29.0,73,0.1,8.0,128,1013.0,100,11.9,13.4,169.0,13.2,58.0,14.8
2025-10-15 12:00:00,2025,10,15,12,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,66,Moderate,1,28.6,75,0.1,9.7,137,1012.0,100,10.5,11.1,166.0,11.6,60.0,11.6
2025-10-15 13:00:00,2025,10,15,13,Hải Phòng,Xã Nam Sách,20.9862986,106.3320138,66,Moderate,1,26.2,85,4.0,6.0,136,1011.7,100,11.8,12.5,167.0,10.8,62.0,9.4
