timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-01-14 20:00:00,2026,1,14,20,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,149,Unhealthy for Sensitive Groups,2,18.0,88,0.0,7.8,98,1015.6,5,36.4,37.4,464.0,17.6,96.0,18.2
2026-01-14 21:00:00,2026,1,14,21,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,145,Unhealthy for Sensitive Groups,2,17.6,91,0.0,7.1,97,1016.1,5,38.4,39.3,490.0,18.2,92.0,19.7
2026-01-14 22:00:00,2026,1,14,22,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,143,Unhealthy for Sensitive Groups,2,17.1,94,0.0,5.4,98,1016.8,1,41.4,42.3,503.0,18.9,88.0,20.7
2026-01-14 23:00:00,2026,1,14,23,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,142,Unhealthy for Sensitive Groups,2,17.0,95,0.0,6.7,93,1017.0,2,44.8,45.8,495.0,19.8,83.0,20.7
2026-01-15 00:00:00,2026,1,15,0,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,142,Unhealthy for Sensitive Groups,2,16.9,96,0.0,6.5,88,1017.1,8,47.1,48.0,473.0,20.9,76.0,20.3
2026-01-15 01:00:00,2026,1,15,1,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,142,Unhealthy for Sensitive Groups,2,16.9,97,0.0,7.1,81,1016.9,13,48.4,49.1,451.0,21.5,72.0,20.0
2026-01-15 02:00:00,2026,1,15,2,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,142,Unhealthy for Sensitive Groups,2,17.1,97,0.0,8.0,80,1016.4,20,48.8,49.5,427.0,21.2,71.0,19.9
2026-01-15 03:00:00,2026,1,15,3,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,141,Unhealthy for Sensitive Groups,2,17.1,97,0.0,8.0,76,1016.1,10,49.1,49.8,403.0,20.5,72.0,20.0
2026-01-15 04:00:00,2026,1,15,4,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,139,Unhealthy for Sensitive Groups,2,17.0,98,0.0,7.3,81,1016.1,16,49.5,50.2,401.0,20.6,72.0,20.5
2026-01-15 05:00:00,2026,1,15,5,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,136,Unhealthy for Sensitive Groups,2,17.1,97,0.0,6.8,87,1016.1,48,50.2,50.9,445.0,22.6,68.0,21.6
2026-01-15 06:00:00,2026,1,15,6,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,132,Unhealthy for Sensitive Groups,2,17.1,97,0.0,5.4,88,1016.7,2,51.3,51.9,511.0,25.4,64.0,23.2
2026-01-15 07:00:00,2026,1,15,7,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,127,Unhealthy for Sensitive Groups,2,18.2,95,0.0,4.9,86,1017.0,80,59.0,59.8,546.0,25.8,70.0,24.9
2026-01-15 08:00:00,2026,1,15,8,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,123,Unhealthy for Sensitive Groups,2,19.5,89,0.0,6.0,74,1017.6,27,59.4,60.1,520.0,24.6,77.0,26.4
2026-01-15 09:00:00,2026,1,15,9,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,120,Unhealthy for Sensitive Groups,2,21.2,78,0.0,7.9,90,1018.0,27,53.6,54.5,462.0,22.9,87.0,28.3
2026-01-15 10:00:00,2026,1,15,10,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,118,Unhealthy for Sensitive Groups,2,23.0,68,0.0,9.3,103,1017.9,46,49.1,50.5,412.0,21.3,96.0,28.7
2026-01-15 11:00:00,2026,1,15,11,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,119,Unhealthy for Sensitive Groups,2,23.8,64,0.0,10.2,113,1017.1,100,45.4,47.0,382.0,19.8,102.0,26.3
2026-01-15 12:00:00,2026,1,15,12,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,120,Unhealthy for Sensitive Groups,2,23.7,63,0.1,10.2,121,1015.9,100,42.0,43.9,359.0,18.4,107.0,22.4
2026-01-15 13:00:00,2026,1,15,13,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,121,Unhealthy for Sensitive Groups,2,23.0,65,0.0,10.5,121,1015.0,100,44.4,46.4,341.0,17.9,110.0,19.5
2026-01-15 14:00:00,2026,1,15,14,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,122,Unhealthy for Sensitive Groups,2,23.0,64,0.0,9.1,124,1013.9,100,41.6,43.4,324.0,19.0,109.0,18.9
2026-01-15 15:00:00,2026,1,15,15,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,122,Unhealthy for Sensitive Groups,2,22.9,65,0.0,7.8,127,1013.2,100,43.7,45.4,312.0,21.1,106.0,19.3
2026-01-15 16:00:00,2026,1,15,16,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,123,Unhealthy for Sensitive Groups,2,22.6,65,0.0,9.2,123,1013.1,100,45.9,47.7,311.0,23.0,102.0,19.6
2026-01-15 17:00:00,2026,1,15,17,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,125,Unhealthy for Sensitive Groups,2,22.0,67,0.0,10.9,119,1013.1,100,43.3,44.9,328.0,24.5,96.0,19.2
2026-01-15 18:00:00,2026,1,15,18,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,126,Unhealthy for Sensitive Groups,2,20.9,75,0.0,10.1,117,1013.0,99,46.0,47.4,356.0,25.8,88.0,18.6
2026-01-15 19:00:00,2026,1,15,19,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,127,Unhealthy for Sensitive Groups,2,19.8,90,0.0,8.3,108,1013.6,12,61.9,63.3,386.0,32.3,66.0,21.2
2026-01-15 20:00:00,2026,1,15,20,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,130,Unhealthy for Sensitive Groups,2,18.7,97,0.0,5.8,112,1013.9,12,64.5,66.1,418.0,30.0,65.0,20.4
2026-01-15 21:00:00,2026,1,15,21,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,133,Unhealthy for Sensitive Groups,2,18.1,98,0.0,5.2,119,1013.8,6,59.8,61.5,451.0,26.8,63.0,19.3
2026-01-15 22:00:00,2026,1,15,22,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,135,Unhealthy for Sensitive Groups,2,17.7,99,0.0,5.0,134,1013.9,33,54.1,56.0,470.0,24.4,61.0,17.9
2026-01-15 23:00:00,2026,1,15,23,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,137,Unhealthy for Sensitive Groups,2,17.7,99,0.0,5.9,149,1013.7,81,51.1,52.9,465.0,23.4,58.0,16.2
2026-01-16 00:00:00,2026,1,16,0,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,137,Unhealthy for Sensitive Groups,2,17.4,99,0.0,4.5,143,1013.6,97,51.9,53.7,445.0,23.1,55.0,14.3
2026-01-16 01:00:00,2026,1,16,1,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,138,Unhealthy for Sensitive Groups,2,17.8,100,0.0,3.6,153,1013.5,100,62.2,64.3,426.0,23.1,51.0,12.4
2026-01-16 02:00:00,2026,1,16,2,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,139,Unhealthy for Sensitive Groups,2,18.0,99,0.0,3.9,156,1012.8,100,82.9,84.5,408.0,23.3,44.0,10.2
2026-01-16 03:00:00,2026,1,16,3,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,143,Unhealthy for Sensitive Groups,2,18.0,99,0.0,4.4,161,1012.6,100,99.4,100.8,390.0,23.8,36.0,8.0
2026-01-16 04:00:00,2026,1,16,4,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,148,Unhealthy for Sensitive Groups,2,18.1,99,0.0,4.6,138,1012.4,100,96.2,97.8,385.0,24.2,31.0,7.5
2026-01-16 05:00:00,2026,1,16,5,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,151,Unhealthy,3,18.2,99,0.0,6.0,129,1012.4,100,88.9,90.3,409.0,24.6,30.0,9.9
2026-01-16 06:00:00,2026,1,16,6,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,151,Unhealthy,3,18.4,99,0.0,5.6,121,1012.8,100,80.3,82.0,446.0,25.0,33.0,14.0
2026-01-16 07:00:00,2026,1,16,7,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,152,Unhealthy,3,18.5,99,0.0,7.2,108,1013.4,100,72.4,74.3,461.0,23.1,43.0,19.3
2026-01-16 08:00:00,2026,1,16,8,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,152,Unhealthy,3,19.5,95,0.0,7.5,130,1013.7,100,68.0,69.4,432.0,22.6,49.0,21.2
2026-01-16 09:00:00,2026,1,16,9,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,153,Unhealthy,3,20.9,89,0.2,9.9,181,1014.6,70,58.0,59.6,380.0,21.8,59.0,23.7
2026-01-16 10:00:00,2026,1,16,10,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,153,Unhealthy,3,22.9,76,0.1,12.7,203,1014.4,44,46.0,47.6,335.0,20.5,69.0,24.7
2026-01-16 11:00:00,2026,1,16,11,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,153,Unhealthy,3,25.1,63,0.1,15.9,195,1013.5,70,38.4,40.0,307.0,18.1,80.0,22.9
2026-01-16 12:00:00,2026,1,16,12,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,152,Unhealthy,3,26.1,57,0.0,15.7,200,1012.1,100,37.0,38.6,286.0,15.2,92.0,19.6
2026-01-16 13:00:00,2026,1,16,13,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,152,Unhealthy,3,25.5,59,0.0,15.0,198,1011.2,99,36.1,37.7,270.0,12.7,102.0,16.6
2026-01-16 14:00:00,2026,1,16,14,Hưng Yên,Xã Nguyễn Du,20.6465522,106.3021723,152,Unhealthy,3,26.3,56,0.0,14.9,195,1010.1,66,34.2,35.7,258.0,10.9,109.0,14.3
