timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2025-10-14 09:00:00,2025,10,14,9,Lạng Sơn,Xã Khuất Xá,21.7261833,107.0988544,40,Good,0,24.3,93,0.1,3.0,308,972.0,100,4.6,5.3,153.0,3.5,47.0,2.7
2025-10-14 10:00:00,2025,10,14,10,Lạng Sơn,Xã Khuất Xá,21.7261833,107.0988544,40,Good,0,25.5,90,0.3,1.7,13,972.1,100,4.0,5.2,136.0,2.1,53.0,2.1
2025-10-14 11:00:00,2025,10,14,11,Lạng Sơn,Xã Khuất Xá,21.7261833,107.0988544,40,Good,0,24.8,94,1.4,3.5,345,971.2,100,4.1,5.3,125.0,1.5,57.0,1.7
2025-10-14 12:00:00,2025,10,14,12,Lạng Sơn,Xã Khuất Xá,21.7261833,107.0988544,40,Good,0,25.0,91,0.4,3.4,43,970.3,100,4.0,5.1,117.0,1.4,59.0,1.3
2025-10-14 13:00:00,2025,10,14,13,Lạng Sơn,Xã Khuất Xá,21.7261833,107.0988544,39,Good,0,26.1,82,0.2,3.5,141,970.0,100,6.1,8.0,113.0,1.5,60.0,1.1
2025-10-14 14:00:00,2025,10,14,14,Lạng Sơn,Xã Khuất Xá,21.7261833,107.0988544,39,Good,0,26.0,85,0.3,2.0,117,968.7,100,4.4,5.7,111.0,1.6,60.0,1.1
2025-10-14 15:00:00,2025,10,14,15,Lạng Sơn,Xã Khuất Xá,21.7261833,107.0988544,38,Good,0,25.6,87,0.2,4.7,171,968.5,100,4.7,5.8,113.0,1.8,60.0,1.3
2025-10-14 16:00:00,2025,10,14,16,Lạng Sơn,Xã Khuất Xá,21.7261833,107.0988544,38,Good,0,25.4,87,0.5,1.5,144,968.7,100,5.3,6.4,126.0,2.6,57.0,1.4
2025-10-14 17:00:00,2025,10,14,17,Lạng Sơn,Xã Khuất Xá,21.7261833,107.0988544,37,Good,0,24.2,97,0.5,1.3,304,969.0,100,6.1,7.2,161.0,4.5,50.0,1.5
2025-10-14 18:00:00,2025,10,14,18,Lạng Sơn,Xã Khuất Xá,21.7261833,107.0988544,36,Good,0,23.3,99,0.0,2.3,337,969.6,100,6.4,7.3,207.0,7.0,41.0,1.6
2025-10-14 19:00:00,2025,10,14,19,Lạng Sơn,Xã Khuất Xá,21.7261833,107.0988544,35,Good,0,22.9,98,0.0,0.6,18,969.8,100,7.7,8.9,241.0,7.7,34.0,1.8
2025-10-14 20:00:00,2025,10,14,20,Lạng Sơn,Xã Khuất Xá,21.7261833,107.0988544,34,Good,0,22.8,100,0.0,0.4,297,970.5,100,7.2,8.4,252.0,7.5,34.0,1.8
2025-10-14 21:00:00,2025,10,14,21,Lạng Sơn,Xã Khuất Xá,21.7261833,107.0988544,34,Good,0,22.6,100,0.8,1.8,276,971.0,100,6.8,7.9,250.0,7.2,34.0,1.9
