timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2025-10-14 09:00:00,2025,10,14,9,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,70,Moderate,1,26.1,87,0.1,11.5,49,1011.9,100,14.4,15.9,262.0,16.3,42.0,16.2
2025-10-14 10:00:00,2025,10,14,10,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,70,Moderate,1,27.6,82,0.1,7.3,65,1011.9,100,10.6,12.3,235.0,10.4,53.0,12.4
2025-10-14 11:00:00,2025,10,14,11,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,70,Moderate,1,29.0,77,0.2,7.6,90,1011.3,100,9.4,11.0,215.0,6.7,63.0,9.0
2025-10-14 12:00:00,2025,10,14,12,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,70,Moderate,1,26.6,84,7.6,15.5,116,1010.7,100,9.0,10.2,197.0,4.1,73.0,5.8
2025-10-14 13:00:00,2025,10,14,13,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,70,Moderate,1,26.5,86,2.1,8.2,128,1010.0,100,9.5,11.0,185.0,2.4,79.0,3.3
2025-10-14 14:00:00,2025,10,14,14,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,70,Moderate,1,27.4,83,0.1,6.8,130,1009.2,100,9.2,10.9,175.0,1.3,80.0,1.8
2025-10-14 15:00:00,2025,10,14,15,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,69,Moderate,1,26.4,85,1.5,6.8,148,1008.6,100,8.8,11.0,172.0,1.0,77.0,1.0
2025-10-14 16:00:00,2025,10,14,16,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,69,Moderate,1,26.9,83,0.1,5.6,121,1008.9,100,7.7,9.6,193.0,2.4,71.0,0.9
2025-10-14 17:00:00,2025,10,14,17,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,69,Moderate,1,26.0,89,0.2,5.0,145,1009.4,100,7.6,9.2,259.0,6.7,59.0,1.8
2025-10-14 18:00:00,2025,10,14,18,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,68,Moderate,1,25.4,93,0.2,3.7,133,1010.1,100,12.3,13.5,350.0,12.7,45.0,3.4
2025-10-14 19:00:00,2025,10,14,19,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,68,Moderate,1,25.0,94,1.8,4.7,40,1010.3,100,13.0,14.4,419.0,13.1,35.0,3.0
2025-10-14 20:00:00,2025,10,14,20,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,66,Moderate,1,25.4,94,0.3,4.6,99,1011.3,95,12.5,13.7,449.0,11.9,37.0,2.8
2025-10-14 21:00:00,2025,10,14,21,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,65,Moderate,1,25.0,94,0.9,3.8,131,1011.5,100,8.6,9.7,458.0,10.3,39.0,2.5
2025-10-14 22:00:00,2025,10,14,22,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,63,Moderate,1,24.8,94,0.3,1.8,191,1011.6,98,9.8,11.1,456.0,9.2,41.0,2.3
2025-10-14 23:00:00,2025,10,14,23,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,61,Moderate,1,24.1,95,2.5,4.8,151,1012.3,100,12.2,13.8,446.0,9.2,41.0,2.1
2025-10-15 00:00:00,2025,10,15,0,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,59,Moderate,1,24.0,97,1.0,3.0,295,1012.2,100,13.3,15.0,425.0,9.8,40.0,1.9
2025-10-15 01:00:00,2025,10,15,1,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,57,Moderate,1,24.0,98,0.3,2.2,5,1010.7,93,11.4,13.0,395.0,10.3,39.0,1.9
2025-10-15 02:00:00,2025,10,15,2,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,55,Moderate,1,24.0,99,0.0,4.4,348,1010.6,100,10.4,11.9,346.0,10.4,38.0,2.0
2025-10-15 03:00:00,2025,10,15,3,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,53,Moderate,1,24.2,97,0.0,3.8,3,1010.5,100,11.2,12.8,289.0,10.5,38.0,2.2
2025-10-15 04:00:00,2025,10,15,4,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,51,Moderate,1,24.0,98,0.0,6.5,360,1010.3,100,12.2,13.9,255.0,11.0,37.0,2.9
2025-10-15 05:00:00,2025,10,15,5,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,50,Good,0,23.9,98,0.0,5.9,360,1010.3,100,14.1,15.7,272.0,12.6,35.0,4.6
2025-10-15 06:00:00,2025,10,15,6,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,49,Good,0,23.7,99,0.0,5.9,346,1010.9,100,16.2,17.6,313.0,14.6,33.0,6.7
2025-10-15 07:00:00,2025,10,15,7,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,49,Good,0,24.7,96,0.1,6.7,36,1011.9,100,26.8,28.3,328.0,20.9,23.0,9.1
2025-10-15 08:00:00,2025,10,15,8,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,50,Good,0,25.9,91,0.1,6.8,50,1012.5,100,12.5,14.1,289.0,16.4,32.0,7.4
2025-10-15 09:00:00,2025,10,15,9,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,49,Good,0,27.1,84,0.1,5.3,57,1012.9,100,8.6,9.9,224.0,10.3,44.0,5.0
2025-10-15 10:00:00,2025,10,15,10,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,48,Good,0,28.6,76,0.1,6.1,93,1012.9,100,6.9,8.1,174.0,5.4,54.0,3.0
2025-10-15 11:00:00,2025,10,15,11,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,47,Good,0,27.8,79,1.3,10.6,136,1012.8,100,6.2,7.4,154.0,3.1,60.0,1.9
2025-10-15 12:00:00,2025,10,15,12,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,47,Good,0,26.4,83,5.0,9.2,154,1012.0,98,4.9,5.9,148.0,2.2,65.0,1.3
2025-10-15 13:00:00,2025,10,15,13,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,46,Good,0,28.3,79,0.1,9.5,151,1011.4,89,5.3,6.5,146.0,1.8,67.0,0.9
2025-10-15 14:00:00,2025,10,15,14,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,45,Good,0,26.9,81,2.4,11.8,140,1010.8,94,4.8,6.0,130.0,1.2,68.0,0.6
2025-10-15 15:00:00,2025,10,15,15,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,45,Good,0,27.6,79,0.1,7.0,136,1009.7,92,4.9,5.9,118.0,1.3,67.0,0.6
2025-10-15 16:00:00,2025,10,15,16,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,44,Good,0,27.6,79,0.1,8.4,132,1009.5,69,5.9,7.0,156.0,3.6,63.0,1.4
2025-10-15 17:00:00,2025,10,15,17,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,44,Good,0,27.1,81,0.0,7.9,129,1009.9,93,7.1,8.4,300.0,9.4,55.0,3.2
2025-10-15 18:00:00,2025,10,15,18,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,44,Good,0,26.0,87,0.0,5.0,125,1010.5,91,13.4,14.7,493.0,17.4,43.0,5.8
2025-10-15 19:00:00,2025,10,15,19,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,44,Good,0,25.1,93,0.0,2.2,14,1010.7,74,30.5,31.8,609.0,31.9,21.0,11.2
2025-10-15 20:00:00,2025,10,15,20,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,47,Good,0,25.2,95,0.0,0.0,270,1011.8,25,42.0,43.2,576.0,37.3,15.0,14.7
2025-10-15 21:00:00,2025,10,15,21,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,51,Moderate,1,24.9,97,0.0,0.8,297,1012.5,66,52.4,53.8,466.0,44.6,7.0,19.5
2025-10-15 22:00:00,2025,10,15,22,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,55,Moderate,1,24.5,98,0.1,8.1,276,1012.6,100,60.8,62.2,369.0,49.0,2.0,23.1
2025-10-15 23:00:00,2025,10,15,23,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,59,Moderate,1,24.0,97,0.2,6.5,298,1012.7,100,63.3,64.5,310.0,47.8,2.0,24.4
2025-10-16 00:00:00,2025,10,16,0,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,64,Moderate,1,23.4,99,0.2,7.3,350,1013.1,95,49.1,50.3,263.0,43.7,6.0,24.5
2025-10-16 01:00:00,2025,10,16,1,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,67,Moderate,1,24.6,96,0.1,6.3,7,1012.3,92,36.6,37.7,241.0,39.8,9.0,24.7
2025-10-16 02:00:00,2025,10,16,2,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,69,Moderate,1,24.4,96,0.0,7.4,3,1012.2,87,26.4,27.5,262.0,37.1,12.0,25.5
2025-10-16 03:00:00,2025,10,16,3,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,71,Moderate,1,23.5,99,0.4,6.0,344,1012.4,100,22.5,23.5,308.0,34.5,15.0,26.5
2025-10-16 04:00:00,2025,10,16,4,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,72,Moderate,1,23.6,98,1.3,8.6,311,1012.5,97,20.8,21.7,339.0,32.5,17.0,27.3
2025-10-16 05:00:00,2025,10,16,5,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,73,Moderate,1,23.3,99,0.4,8.8,4,1012.6,100,19.9,20.6,336.0,31.6,17.0,28.0
2025-10-16 06:00:00,2025,10,16,6,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,73,Moderate,1,23.5,98,0.2,10.2,352,1013.0,100,21.6,22.2,317.0,31.2,17.0,28.6
2025-10-16 07:00:00,2025,10,16,7,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,74,Moderate,1,24.5,96,0.0,12.2,359,1013.2,100,19.2,20.4,298.0,27.0,24.0,24.9
2025-10-16 08:00:00,2025,10,16,8,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,73,Moderate,1,25.7,90,0.0,14.2,1,1013.8,100,19.1,20.4,287.0,22.8,34.0,22.7
2025-10-16 09:00:00,2025,10,16,9,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,73,Moderate,1,27.0,84,0.0,11.7,23,1014.7,100,20.0,22.1,275.0,16.9,49.0,19.5
2025-10-16 10:00:00,2025,10,16,10,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,74,Moderate,1,29.2,74,0.1,12.0,54,1014.3,95,18.5,21.7,259.0,11.6,63.0,16.1
2025-10-16 11:00:00,2025,10,16,11,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,75,Moderate,1,30.7,68,0.1,13.5,74,1013.6,13,16.9,20.5,230.0,7.7,76.0,12.3
2025-10-16 12:00:00,2025,10,16,12,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,76,Moderate,1,30.9,68,0.0,14.1,80,1012.6,30,14.7,18.5,196.0,4.4,88.0,8.3
2025-10-16 13:00:00,2025,10,16,13,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,77,Moderate,1,30.0,67,0.0,15.4,97,1012.2,16,11.7,14.9,175.0,2.3,96.0,5.3
2025-10-16 14:00:00,2025,10,16,14,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,78,Moderate,1,30.5,65,0.1,15.2,95,1011.2,17,10.4,13.3,166.0,1.4,97.0,3.7
2025-10-16 15:00:00,2025,10,16,15,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,78,Moderate,1,30.0,67,0.0,15.5,87,1010.4,13,9.9,12.5,169.0,1.6,92.0,3.0
2025-10-16 16:00:00,2025,10,16,16,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,79,Moderate,1,29.4,70,0.0,13.6,79,1010.3,18,9.8,12.2,203.0,3.0,87.0,3.0
2025-10-16 17:00:00,2025,10,16,17,Ninh Bình,Xã Yên Từ,20.1296829,106.0457284,79,Moderate,1,28.4,75,0.0,8.2,71,1010.7,2,11.0,12.5,294.0,6.0,81.0,3.8
