timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2025-01-01 00:00:00,2025,1,1,0,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,157,Unhealthy,3,13.0,89,0.0,1.3,315,973.3,0,99.7,100.1,615.0,20.6,60.0,25.8
2025-01-01 01:00:00,2025,1,1,1,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,157,Unhealthy,3,12.9,88,0.0,1.5,306,973.1,0,98.5,98.7,598.0,20.2,55.0,22.9
2025-01-01 02:00:00,2025,1,1,2,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,158,Unhealthy,3,12.6,90,0.0,2.3,302,972.6,1,96.6,96.9,578.0,19.6,50.0,20.0
2025-01-01 03:00:00,2025,1,1,3,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,159,Unhealthy,3,12.2,91,0.0,2.4,297,971.9,3,96.9,97.3,559.0,18.8,45.0,16.9
2025-01-01 04:00:00,2025,1,1,4,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,159,Unhealthy,3,12.1,91,0.0,2.3,299,971.8,9,95.7,95.9,555.0,17.9,40.0,14.2
2025-01-01 05:00:00,2025,1,1,5,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,160,Unhealthy,3,12.1,91,0.0,1.8,294,971.8,13,92.2,92.4,582.0,17.3,33.0,11.7
2025-01-01 06:00:00,2025,1,1,6,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,161,Unhealthy,3,12.4,90,0.0,1.4,293,972.2,11,87.8,88.0,625.0,16.6,26.0,9.6
2025-01-01 07:00:00,2025,1,1,7,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,161,Unhealthy,3,12.6,88,0.0,1.9,287,972.6,3,78.0,78.0,647.0,19.5,27.0,8.4
2025-01-01 08:00:00,2025,1,1,8,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,162,Unhealthy,3,13.6,92,0.0,3.1,273,974.0,13,68.2,68.5,631.0,15.4,53.0,11.4
2025-01-01 09:00:00,2025,1,1,9,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,162,Unhealthy,3,15.4,84,0.0,1.4,203,974.7,2,60.8,61.0,596.0,9.6,88.0,15.6
2025-01-01 10:00:00,2025,1,1,10,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,162,Unhealthy,3,17.8,73,0.0,3.2,153,974.7,0,40.5,40.7,559.0,5.2,117.0,18.3
2025-01-01 11:00:00,2025,1,1,11,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,161,Unhealthy,3,19.1,65,0.0,3.9,164,974.3,100,36.6,36.7,526.0,3.3,131.0,18.0
2025-01-01 12:00:00,2025,1,1,12,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,161,Unhealthy,3,20.0,62,0.0,3.5,171,973.3,100,37.4,37.5,491.0,2.7,138.0,16.4
2025-01-01 13:00:00,2025,1,1,13,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,160,Unhealthy,3,20.9,59,0.0,3.2,183,972.0,93,38.5,38.6,464.0,2.5,144.0,15.6
2025-01-01 14:00:00,2025,1,1,14,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,160,Unhealthy,3,21.6,57,0.0,2.0,190,970.7,100,41.0,41.1,441.0,2.1,152.0,16.4
2025-01-01 15:00:00,2025,1,1,15,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,160,Unhealthy,3,22.0,55,0.0,0.0,270,969.8,83,43.5,43.7,424.0,2.1,159.0,18.1
2025-01-01 16:00:00,2025,1,1,16,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,159,Unhealthy,3,22.0,55,0.0,3.6,96,969.4,19,47.7,48.0,431.0,4.0,160.0,20.9
2025-01-01 17:00:00,2025,1,1,17,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,159,Unhealthy,3,19.9,66,0.0,8.3,86,969.3,1,56.1,56.2,478.0,9.5,150.0,25.3
2025-01-01 18:00:00,2025,1,1,18,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,159,Unhealthy,3,17.1,77,0.0,4.2,47,969.6,1,70.1,70.3,549.0,17.0,133.0,30.8
2025-01-01 19:00:00,2025,1,1,19,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,159,Unhealthy,3,16.6,77,0.0,3.2,16,970.4,4,78.5,78.7,609.0,23.9,117.0,34.0
2025-01-01 20:00:00,2025,1,1,20,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,159,Unhealthy,3,16.9,76,0.0,3.0,52,970.6,6,91.7,91.7,646.0,23.7,113.0,36.7
2025-01-01 21:00:00,2025,1,1,21,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,159,Unhealthy,3,16.3,79,0.0,2.7,122,971.3,10,98.7,98.7,672.0,23.3,107.0,40.4
2025-01-01 22:00:00,2025,1,1,22,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,159,Unhealthy,3,15.4,84,0.0,4.0,153,971.5,1,101.7,101.7,690.0,22.8,101.0,42.7
2025-01-01 23:00:00,2025,1,1,23,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,159,Unhealthy,3,14.6,88,0.0,3.6,143,971.8,0,103.6,103.8,699.0,21.9,95.0,42.5
2025-01-02 00:00:00,2025,1,2,0,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,159,Unhealthy,3,14.4,88,0.0,1.4,140,971.6,5,105.5,105.5,700.0,20.8,89.0,41.0
2025-01-02 01:00:00,2025,1,2,1,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,160,Unhealthy,3,14.2,88,0.0,0.6,198,971.9,6,107.8,108.0,699.0,19.9,83.0,39.2
2025-01-02 02:00:00,2025,1,2,2,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,160,Unhealthy,3,14.0,88,0.0,0.3,315,971.6,7,110.6,110.6,693.0,19.5,78.0,37.8
2025-01-02 03:00:00,2025,1,2,3,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,160,Unhealthy,3,13.9,88,0.0,0.0,270,971.5,17,112.9,113.2,684.0,19.4,74.0,36.2
2025-01-02 04:00:00,2025,1,2,4,Phú Thọ,Xã Đà Bắc,20.8722476,105.246658,160,Unhealthy,3,13.8,89,0.0,0.2,360,971.6,19,116.6,116.9,684.0,19.2,68.0,33.9
