timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-01-14 20:00:00,2026,1,14,20,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,158,Unhealthy,3,18.9,88,0.0,3.8,169,1012.1,28,44.7,45.9,374.0,21.9,82.0,25.2
2026-01-14 21:00:00,2026,1,14,21,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,157,Unhealthy,3,18.6,89,0.0,0.9,169,1013.0,80,51.0,52.4,409.0,24.1,71.0,24.9
2026-01-14 22:00:00,2026,1,14,22,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,157,Unhealthy,3,18.6,90,0.0,0.3,315,1013.7,45,59.8,61.2,435.0,26.5,61.0,24.4
2026-01-14 23:00:00,2026,1,14,23,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,157,Unhealthy,3,17.8,92,0.0,0.0,270,1013.7,0,68.9,70.3,445.0,29.2,51.0,24.1
2026-01-15 00:00:00,2026,1,15,0,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,156,Unhealthy,3,17.3,94,0.0,0.4,270,1013.8,2,75.2,76.6,446.0,32.1,41.0,23.7
2026-01-15 01:00:00,2026,1,15,1,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,157,Unhealthy,3,16.8,97,0.0,0.6,288,1013.6,16,80.1,81.5,444.0,34.2,32.0,22.6
2026-01-15 02:00:00,2026,1,15,2,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,157,Unhealthy,3,16.6,98,0.0,0.5,315,1013.1,25,85.0,86.1,436.0,35.2,25.0,19.9
2026-01-15 03:00:00,2026,1,15,3,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,157,Unhealthy,3,16.4,98,0.0,0.6,326,1012.8,72,97.3,98.7,425.0,35.3,19.0,16.5
2026-01-15 04:00:00,2026,1,15,4,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,157,Unhealthy,3,16.2,99,0.0,1.8,6,1012.8,89,105.2,106.4,424.0,34.7,17.0,14.8
2026-01-15 05:00:00,2026,1,15,5,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,158,Unhealthy,3,16.0,100,0.0,1.8,349,1012.8,100,95.9,97.1,450.0,32.9,19.0,15.6
2026-01-15 06:00:00,2026,1,15,6,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,158,Unhealthy,3,16.3,99,0.0,1.9,343,1013.5,96,95.5,96.9,487.0,30.3,25.0,18.1
