timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-01-14 22:00:00,2026,1,14,22,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,53,Moderate,1,14.5,92,0.0,2.2,48,898.3,31,13.8,14.3,311.0,9.8,42.0,1.7
2026-01-14 23:00:00,2026,1,14,23,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,53,Moderate,1,13.9,93,0.0,3.3,41,898.2,34,13.4,13.9,299.0,8.6,44.0,1.3
2026-01-15 00:00:00,2026,1,15,0,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,53,Moderate,1,13.7,95,0.0,4.2,47,898.0,41,13.1,13.6,278.0,7.0,49.0,0.8
2026-01-15 01:00:00,2026,1,15,1,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,53,Moderate,1,12.9,98,0.0,6.2,49,897.3,9,12.9,13.5,259.0,5.6,54.0,0.5
2026-01-15 02:00:00,2026,1,15,2,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,52,Moderate,1,12.6,96,0.0,5.0,46,896.9,15,12.7,13.4,242.0,4.5,57.0,0.3
2026-01-15 03:00:00,2026,1,15,3,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,52,Moderate,1,12.5,95,0.0,4.8,45,896.6,21,12.9,13.6,227.0,3.7,59.0,0.2
2026-01-15 04:00:00,2026,1,15,4,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,51,Moderate,1,12.1,95,0.0,4.7,50,896.5,37,12.4,13.0,221.0,3.0,62.0,0.2
2026-01-15 05:00:00,2026,1,15,5,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,51,Moderate,1,11.8,95,0.0,4.8,53,896.6,53,12.2,12.8,232.0,2.6,65.0,0.1
2026-01-15 06:00:00,2026,1,15,6,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,51,Moderate,1,11.7,95,0.0,4.5,56,897.0,36,12.3,12.8,251.0,2.5,68.0,0.1
2026-01-15 07:00:00,2026,1,15,7,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,51,Moderate,1,14.1,85,0.0,6.2,44,898.4,12,16.9,17.5,264.0,2.0,75.0,0.2
2026-01-15 08:00:00,2026,1,15,8,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,51,Moderate,1,17.6,77,0.0,4.3,360,900.3,2,17.3,17.7,262.0,1.6,82.0,0.6
2026-01-15 09:00:00,2026,1,15,9,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,51,Moderate,1,20.4,68,0.0,5.7,323,901.3,2,17.0,17.3,252.0,1.1,93.0,1.2
2026-01-15 10:00:00,2026,1,15,10,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,51,Moderate,1,22.6,56,0.0,8.1,321,901.4,2,16.1,16.4,243.0,0.7,100.0,1.6
2026-01-15 11:00:00,2026,1,15,11,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,52,Moderate,1,24.0,49,0.0,10.0,321,901.1,1,15.3,15.5,235.0,0.6,102.0,1.5
2026-01-15 12:00:00,2026,1,15,12,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,52,Moderate,1,24.3,50,0.0,11.7,317,900.2,9,14.1,14.5,228.0,0.5,102.0,1.2
2026-01-15 13:00:00,2026,1,15,13,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,53,Moderate,1,24.5,49,0.0,10.5,321,899.2,41,13.1,13.4,223.0,0.6,101.0,1.0
2026-01-15 14:00:00,2026,1,15,14,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,53,Moderate,1,24.2,48,0.0,10.5,319,898.4,51,12.4,12.8,220.0,0.5,102.0,0.9
2026-01-15 15:00:00,2026,1,15,15,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,53,Moderate,1,23.2,53,0.0,10.5,336,897.6,16,12.7,13.1,220.0,0.5,104.0,0.8
2026-01-15 16:00:00,2026,1,15,16,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,53,Moderate,1,22.5,61,0.0,7.8,338,897.4,7,13.4,13.9,228.0,1.2,101.0,0.9
2026-01-15 17:00:00,2026,1,15,17,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,53,Moderate,1,21.1,70,0.0,6.0,335,897.1,20,14.5,15.0,253.0,3.5,91.0,1.3
2026-01-15 18:00:00,2026,1,15,18,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,54,Moderate,1,18.2,84,0.0,5.2,6,896.5,7,15.5,15.9,286.0,6.5,76.0,1.9
2026-01-15 19:00:00,2026,1,15,19,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,54,Moderate,1,16.8,92,0.0,6.6,29,896.7,9,15.0,15.3,305.0,7.2,62.0,1.7
2026-01-15 20:00:00,2026,1,15,20,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,54,Moderate,1,15.9,94,0.0,7.1,36,897.0,23,15.6,15.9,297.0,6.8,64.0,1.5
2026-01-15 21:00:00,2026,1,15,21,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,54,Moderate,1,15.1,95,0.0,6.6,49,896.7,18,15.9,16.4,274.0,6.1,68.0,1.1
2026-01-15 22:00:00,2026,1,15,22,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,55,Moderate,1,14.8,93,0.0,5.1,54,896.7,16,16.4,16.9,255.0,5.6,70.0,0.8
2026-01-15 23:00:00,2026,1,15,23,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,55,Moderate,1,13.8,93,0.0,3.4,58,896.2,1,16.2,16.8,245.0,5.3,70.0,0.6
2026-01-16 00:00:00,2026,1,16,0,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,55,Moderate,1,13.9,90,0.0,3.2,52,896.3,2,16.0,16.6,238.0,5.1,69.0,0.4
2026-01-16 01:00:00,2026,1,16,1,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,55,Moderate,1,13.2,90,0.0,4.5,50,895.8,15,16.2,16.9,232.0,4.8,68.0,0.2
2026-01-16 02:00:00,2026,1,16,2,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,56,Moderate,1,13.0,89,0.0,2.6,56,895.5,19,15.9,16.6,222.0,4.1,68.0,0.1
2026-01-16 03:00:00,2026,1,16,3,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,56,Moderate,1,13.1,86,0.0,2.1,59,895.0,14,15.2,15.8,212.0,3.2,69.0,0.1
2026-01-16 04:00:00,2026,1,16,4,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,56,Moderate,1,13.4,82,0.0,2.3,58,895.0,25,14.4,14.9,212.0,2.7,67.0,0.1
2026-01-16 05:00:00,2026,1,16,5,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,56,Moderate,1,13.5,80,0.0,2.2,66,895.3,9,13.9,14.2,231.0,3.0,60.0,0.1
2026-01-16 06:00:00,2026,1,16,6,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,56,Moderate,1,13.5,79,0.0,2.2,76,895.8,8,13.1,13.4,259.0,3.6,50.0,0.2
2026-01-16 07:00:00,2026,1,16,7,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,57,Moderate,1,15.2,80,0.0,3.0,57,897.1,0,16.2,16.5,277.0,3.6,49.0,0.3
2026-01-16 08:00:00,2026,1,16,8,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,57,Moderate,1,18.1,73,0.0,1.7,13,898.8,77,16.3,16.5,275.0,2.8,66.0,0.7
2026-01-16 09:00:00,2026,1,16,9,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,56,Moderate,1,20.4,67,0.0,2.5,278,900.1,16,15.3,15.9,264.0,1.6,89.0,1.3
2026-01-16 10:00:00,2026,1,16,10,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,56,Moderate,1,22.2,58,0.0,5.0,272,900.3,27,17.3,17.9,252.0,0.8,105.0,1.7
2026-01-16 11:00:00,2026,1,16,11,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,56,Moderate,1,23.3,50,0.0,6.8,268,900.3,58,17.5,18.0,243.0,0.5,109.0,1.7
2026-01-16 12:00:00,2026,1,16,12,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,57,Moderate,1,24.0,46,0.0,7.2,270,899.3,13,17.2,17.7,233.0,0.5,106.0,1.5
2026-01-16 13:00:00,2026,1,16,13,Quảng Ngãi,Xã Đăk Sao,14.9323617,107.8385522,57,Moderate,1,24.6,42,0.0,7.6,258,898.3,27,16.4,16.9,226.0,0.6,103.0,1.3
