timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-01-14 20:00:00,2026,1,14,20,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,151,Unhealthy,3,17.9,79,0.0,9.2,90,1015.2,2,36.2,36.9,440.0,20.8,87.0,17.8
2026-01-14 21:00:00,2026,1,14,21,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,147,Unhealthy for Sensitive Groups,2,17.5,82,0.0,9.0,80,1015.6,8,36.4,37.1,433.0,19.8,85.0,19.0
2026-01-14 22:00:00,2026,1,14,22,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,140,Unhealthy for Sensitive Groups,2,17.2,84,0.0,7.8,83,1016.2,9,39.1,39.8,419.0,19.1,81.0,19.6
2026-01-14 23:00:00,2026,1,14,23,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,136,Unhealthy for Sensitive Groups,2,17.0,85,0.0,7.5,79,1016.5,16,42.4,43.2,397.0,19.0,74.0,18.8
2026-01-15 00:00:00,2026,1,15,0,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,133,Unhealthy for Sensitive Groups,2,16.9,85,0.0,6.9,83,1016.6,25,45.3,46.2,369.0,19.2,66.0,17.2
2026-01-15 01:00:00,2026,1,15,1,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,132,Unhealthy for Sensitive Groups,2,16.8,88,0.0,7.8,85,1016.5,41,47.4,48.3,348.0,19.0,59.0,15.9
2026-01-15 02:00:00,2026,1,15,2,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,131,Unhealthy for Sensitive Groups,2,17.4,86,0.0,9.0,93,1016.0,52,47.7,48.5,335.0,18.0,56.0,15.0
2026-01-15 03:00:00,2026,1,15,3,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,129,Unhealthy for Sensitive Groups,2,17.7,84,0.0,9.7,89,1015.6,99,47.3,48.0,329.0,16.7,55.0,14.3
2026-01-15 04:00:00,2026,1,15,4,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,128,Unhealthy for Sensitive Groups,2,18.0,83,0.0,9.4,83,1015.6,97,45.2,45.9,334.0,16.0,54.0,14.1
2026-01-15 05:00:00,2026,1,15,5,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,126,Unhealthy for Sensitive Groups,2,18.0,83,0.0,8.1,73,1015.5,100,42.3,42.7,357.0,16.8,52.0,14.5
2026-01-15 06:00:00,2026,1,15,6,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,123,Unhealthy for Sensitive Groups,2,18.2,82,0.0,6.9,75,1016.1,100,40.7,41.2,392.0,18.3,51.0,15.3
2026-01-15 07:00:00,2026,1,15,7,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,120,Unhealthy for Sensitive Groups,2,17.8,87,0.0,5.6,57,1016.5,73,49.8,50.4,424.0,19.2,59.0,17.3
2026-01-15 08:00:00,2026,1,15,8,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,118,Unhealthy for Sensitive Groups,2,20.0,78,0.0,5.2,86,1017.1,95,50.3,50.8,446.0,17.7,71.0,18.8
2026-01-15 09:00:00,2026,1,15,9,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,116,Unhealthy for Sensitive Groups,2,21.6,69,0.0,6.7,126,1017.2,100,47.4,48.3,465.0,15.5,88.0,20.8
2026-01-15 10:00:00,2026,1,15,10,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,115,Unhealthy for Sensitive Groups,2,22.4,66,0.0,7.7,155,1017.2,97,46.9,48.1,486.0,14.1,103.0,23.0
2026-01-15 11:00:00,2026,1,15,11,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,115,Unhealthy for Sensitive Groups,2,22.1,67,0.0,7.9,167,1016.7,100,47.0,48.4,517.0,13.7,113.0,25.0
2026-01-15 12:00:00,2026,1,15,12,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,117,Unhealthy for Sensitive Groups,2,23.0,63,0.0,6.4,162,1015.4,80,45.2,46.8,551.0,14.0,120.0,27.1
2026-01-15 13:00:00,2026,1,15,13,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,118,Unhealthy for Sensitive Groups,2,23.6,59,0.0,6.1,166,1014.3,100,47.7,49.4,568.0,15.0,124.0,29.3
2026-01-15 14:00:00,2026,1,15,14,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,119,Unhealthy for Sensitive Groups,2,24.0,58,0.0,7.1,171,1013.2,100,50.6,52.4,553.0,16.7,124.0,32.5
2026-01-15 15:00:00,2026,1,15,15,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,120,Unhealthy for Sensitive Groups,2,23.5,60,0.0,8.3,169,1012.4,100,55.8,57.5,523.0,19.2,120.0,36.0
2026-01-15 16:00:00,2026,1,15,16,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,122,Unhealthy for Sensitive Groups,2,23.1,62,0.0,9.1,163,1012.3,100,59.8,61.7,505.0,22.2,113.0,37.3
2026-01-15 17:00:00,2026,1,15,17,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,125,Unhealthy for Sensitive Groups,2,22.3,65,0.0,11.2,154,1012.4,97,61.0,62.9,518.0,26.4,99.0,34.8
2026-01-15 18:00:00,2026,1,15,18,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,127,Unhealthy for Sensitive Groups,2,21.0,70,0.0,12.3,143,1012.4,98,63.8,65.4,544.0,31.2,82.0,30.2
2026-01-15 19:00:00,2026,1,15,19,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,129,Unhealthy for Sensitive Groups,2,19.8,79,0.0,8.5,134,1013.2,100,85.7,87.1,561.0,44.4,65.0,41.7
2026-01-15 20:00:00,2026,1,15,20,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,134,Unhealthy for Sensitive Groups,2,19.2,85,0.0,8.0,110,1013.4,28,95.5,96.9,554.0,42.7,58.0,37.9
2026-01-15 21:00:00,2026,1,15,21,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,140,Unhealthy for Sensitive Groups,2,18.5,88,0.0,7.4,91,1013.2,2,92.0,93.4,537.0,40.4,49.0,32.5
2026-01-15 22:00:00,2026,1,15,22,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,146,Unhealthy for Sensitive Groups,2,17.3,94,0.0,5.4,90,1013.2,2,87.3,88.7,529.0,38.2,41.0,27.6
2026-01-15 23:00:00,2026,1,15,23,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,150,Unhealthy for Sensitive Groups,2,16.8,94,0.0,4.8,105,1013.1,2,84.8,86.1,545.0,36.7,36.0,23.8
2026-01-16 00:00:00,2026,1,16,0,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,151,Unhealthy,3,16.4,94,0.0,4.4,99,1013.0,12,83.1,84.3,570.0,35.3,32.0,20.4
2026-01-16 01:00:00,2026,1,16,1,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,152,Unhealthy,3,16.4,94,0.0,4.0,93,1013.0,20,84.3,85.7,578.0,33.7,29.0,17.6
2026-01-16 02:00:00,2026,1,16,2,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,153,Unhealthy,3,16.9,93,0.0,4.2,85,1012.3,48,90.1,91.3,549.0,31.3,28.0,15.4
2026-01-16 03:00:00,2026,1,16,3,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,154,Unhealthy,3,17.0,93,0.0,5.4,86,1012.0,100,95.0,96.4,503.0,28.6,27.0,13.7
2026-01-16 04:00:00,2026,1,16,4,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,155,Unhealthy,3,17.5,91,0.0,6.5,98,1011.9,100,97.8,99.2,471.0,26.6,27.0,13.0
2026-01-16 05:00:00,2026,1,16,5,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,156,Unhealthy,3,17.7,92,0.0,7.4,104,1011.9,100,97.1,98.5,475.0,25.9,25.0,13.3
2026-01-16 06:00:00,2026,1,16,6,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,157,Unhealthy,3,17.8,95,0.0,8.0,98,1012.4,100,92.9,94.3,494.0,25.9,24.0,14.4
2026-01-16 07:00:00,2026,1,16,7,Quảng Ninh,Phường Mạo Khê,21.0584359,106.5985485,158,Unhealthy,3,17.9,96,0.0,8.3,91,1012.9,100,74.7,76.1,498.0,22.8,35.0,18.9
