timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-01-14 20:00:00,2026,1,14,20,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,96,Moderate,1,18.7,90,0.0,5.1,135,1008.8,2,23.1,24.4,399.0,6.0,94.0,2.7
2026-01-14 21:00:00,2026,1,14,21,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,95,Moderate,1,17.9,93,0.0,3.8,175,1009.4,5,23.3,24.7,418.0,6.7,92.0,2.9
2026-01-14 22:00:00,2026,1,14,22,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,93,Moderate,1,17.2,94,0.0,2.7,200,1009.8,2,24.7,26.2,425.0,7.3,87.0,3.0
2026-01-14 23:00:00,2026,1,14,23,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,92,Moderate,1,16.5,96,0.0,1.8,225,1009.9,7,27.3,29.2,416.0,7.9,78.0,2.7
2026-01-15 00:00:00,2026,1,15,0,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,90,Moderate,1,15.8,97,0.0,1.0,239,1010.1,56,29.5,31.4,394.0,8.5,67.0,2.1
2026-01-15 01:00:00,2026,1,15,1,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,88,Moderate,1,16.4,98,0.0,3.0,287,1009.8,100,30.4,32.0,370.0,8.8,58.0,1.7
2026-01-15 02:00:00,2026,1,15,2,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,87,Moderate,1,17.3,97,0.0,4.5,277,1009.7,100,31.8,33.2,339.0,8.5,54.0,1.4
2026-01-15 03:00:00,2026,1,15,3,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,86,Moderate,1,17.7,97,0.0,4.4,282,1009.6,100,31.9,33.2,306.0,7.8,52.0,1.2
2026-01-15 04:00:00,2026,1,15,4,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,85,Moderate,1,18.1,96,0.0,3.7,281,1009.6,100,31.3,32.5,288.0,7.2,52.0,1.1
2026-01-15 05:00:00,2026,1,15,5,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,83,Moderate,1,18.1,97,0.0,3.3,279,1009.7,100,31.1,32.2,302.0,7.0,51.0,1.1
2026-01-15 06:00:00,2026,1,15,6,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,83,Moderate,1,18.4,95,0.0,3.3,261,1010.4,100,30.7,31.9,333.0,7.0,50.0,1.2
2026-01-15 07:00:00,2026,1,15,7,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,82,Moderate,1,18.2,96,0.0,3.3,276,1010.5,99,36.2,37.7,350.0,7.8,49.0,0.9
2026-01-15 08:00:00,2026,1,15,8,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,81,Moderate,1,19.5,91,0.0,1.1,261,1011.1,100,30.9,32.7,338.0,6.0,65.0,1.1
2026-01-15 09:00:00,2026,1,15,9,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,79,Moderate,1,21.7,79,0.0,3.7,133,1011.5,100,26.9,29.2,314.0,3.4,88.0,1.5
2026-01-15 10:00:00,2026,1,15,10,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,79,Moderate,1,23.5,69,0.0,5.5,109,1011.3,100,24.7,27.1,294.0,1.5,105.0,1.7
2026-01-15 11:00:00,2026,1,15,11,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,79,Moderate,1,24.7,63,0.0,5.6,94,1010.6,100,22.8,24.8,286.0,0.9,111.0,1.7
2026-01-15 12:00:00,2026,1,15,12,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,79,Moderate,1,26.1,57,0.0,5.6,86,1009.1,98,22.5,24.4,282.0,0.9,111.0,1.7
2026-01-15 13:00:00,2026,1,15,13,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,79,Moderate,1,26.8,54,0.0,7.8,82,1007.8,99,22.2,23.9,283.0,1.0,110.0,1.7
2026-01-15 14:00:00,2026,1,15,14,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,79,Moderate,1,26.2,61,0.0,9.8,77,1006.9,100,21.9,23.5,288.0,0.9,111.0,1.8
2026-01-15 15:00:00,2026,1,15,15,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,80,Moderate,1,25.8,64,0.0,10.4,73,1006.1,30,21.8,23.3,298.0,0.8,112.0,1.9
2026-01-15 16:00:00,2026,1,15,16,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,80,Moderate,1,25.2,65,0.0,9.7,66,1006.1,48,21.7,23.2,307.0,1.3,110.0,2.1
2026-01-15 17:00:00,2026,1,15,17,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,80,Moderate,1,23.7,75,0.0,6.9,41,1006.3,64,21.3,22.9,316.0,2.7,104.0,2.5
2026-01-15 18:00:00,2026,1,15,18,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,80,Moderate,1,21.4,86,0.1,7.8,44,1006.6,60,22.3,23.7,325.0,4.6,95.0,2.9
2026-01-15 19:00:00,2026,1,15,19,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,81,Moderate,1,20.8,94,0.1,7.6,82,1007.2,98,24.7,26.3,332.0,6.2,86.0,3.1
2026-01-15 20:00:00,2026,1,15,20,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,81,Moderate,1,20.5,95,0.0,6.3,117,1007.8,27,29.2,30.9,333.0,7.5,80.0,3.1
2026-01-15 21:00:00,2026,1,15,21,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,81,Moderate,1,19.9,97,0.0,6.7,144,1008.0,37,32.2,34.0,332.0,9.3,72.0,3.2
2026-01-15 22:00:00,2026,1,15,22,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,82,Moderate,1,19.5,99,0.0,6.7,144,1008.1,89,35.0,36.8,333.0,10.5,65.0,3.0
2026-01-15 23:00:00,2026,1,15,23,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,83,Moderate,1,19.3,99,0.0,5.6,151,1007.8,34,36.6,38.2,342.0,10.6,61.0,2.4
2026-01-16 00:00:00,2026,1,16,0,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,84,Moderate,1,18.7,99,0.0,5.2,153,1007.5,1,36.1,37.8,354.0,10.2,59.0,1.6
2026-01-16 01:00:00,2026,1,16,1,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,84,Moderate,1,18.9,99,0.0,2.3,180,1007.2,36,35.9,37.6,356.0,9.6,57.0,1.0
2026-01-16 02:00:00,2026,1,16,2,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,85,Moderate,1,18.2,100,0.0,1.4,157,1006.6,98,34.3,36.1,338.0,8.7,55.0,0.7
2026-01-16 03:00:00,2026,1,16,3,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,85,Moderate,1,17.4,100,0.0,1.4,180,1006.3,99,34.2,35.9,310.0,7.7,53.0,0.5
2026-01-16 04:00:00,2026,1,16,4,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,85,Moderate,1,16.7,100,0.0,1.5,201,1006.2,100,32.9,34.5,295.0,7.0,51.0,0.4
2026-01-16 05:00:00,2026,1,16,5,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,85,Moderate,1,16.3,100,0.0,1.7,198,1006.5,99,32.5,34.0,310.0,7.3,46.0,0.4
2026-01-16 06:00:00,2026,1,16,6,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,86,Moderate,1,15.9,100,0.0,2.2,185,1006.9,97,32.1,33.5,339.0,8.0,41.0,0.5
2026-01-16 07:00:00,2026,1,16,7,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,86,Moderate,1,15.7,99,0.0,3.8,188,1007.4,95,35.5,37.1,348.0,8.0,45.0,0.6
2026-01-16 08:00:00,2026,1,16,8,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,86,Moderate,1,18.5,90,0.0,1.8,127,1008.1,98,24.4,26.0,318.0,6.1,62.0,0.8
2026-01-16 09:00:00,2026,1,16,9,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,85,Moderate,1,20.9,82,0.0,3.9,124,1008.8,92,19.4,21.2,268.0,3.5,84.0,1.1
2026-01-16 10:00:00,2026,1,16,10,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,84,Moderate,1,22.9,76,0.0,4.6,121,1008.3,91,17.2,19.1,233.0,1.5,102.0,1.4
2026-01-16 11:00:00,2026,1,16,11,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,84,Moderate,1,24.7,68,0.0,4.5,92,1007.6,66,15.9,17.7,226.0,0.8,109.0,1.5
2026-01-16 12:00:00,2026,1,16,12,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,83,Moderate,1,26.4,59,0.0,3.6,70,1006.3,52,15.5,17.1,233.0,0.8,111.0,1.6
2026-01-16 13:00:00,2026,1,16,13,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,83,Moderate,1,27.8,54,0.0,3.8,90,1005.0,40,15.4,16.9,241.0,0.9,112.0,1.6
2026-01-16 14:00:00,2026,1,16,14,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,82,Moderate,1,28.5,53,0.0,0.3,225,1003.9,16,15.4,16.9,243.0,0.8,113.0,1.6
2026-01-16 15:00:00,2026,1,16,15,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,81,Moderate,1,28.5,53,0.0,2.9,11,1003.1,13,15.7,17.1,247.0,0.8,112.0,1.6
2026-01-16 16:00:00,2026,1,16,16,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,81,Moderate,1,27.6,57,0.0,4.5,56,1003.2,13,15.1,16.4,261.0,1.5,109.0,1.7
2026-01-16 17:00:00,2026,1,16,17,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,80,Moderate,1,25.8,70,0.0,2.9,97,1003.6,4,15.1,16.6,293.0,3.3,101.0,2.0
2026-01-16 18:00:00,2026,1,16,18,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,80,Moderate,1,22.8,80,0.0,4.7,130,1004.2,0,15.5,17.0,335.0,5.7,91.0,2.5
2026-01-16 19:00:00,2026,1,16,19,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,79,Moderate,1,21.8,85,0.0,5.4,150,1004.7,0,14.1,15.6,370.0,7.9,87.0,3.0
2026-01-16 20:00:00,2026,1,16,20,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,78,Moderate,1,20.4,93,0.0,7.7,141,1005.4,2,15.3,17.2,393.0,8.6,84.0,3.4
2026-01-16 21:00:00,2026,1,16,21,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,77,Moderate,1,19.5,97,0.0,7.2,148,1005.6,7,16.6,18.7,409.0,9.5,80.0,3.8
2026-01-16 22:00:00,2026,1,16,22,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,76,Moderate,1,19.0,99,0.0,7.7,150,1005.4,4,17.9,20.2,413.0,10.3,74.0,4.0
2026-01-16 23:00:00,2026,1,16,23,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,74,Moderate,1,18.4,99,0.0,5.6,165,1005.2,2,19.2,21.4,401.0,11.0,65.0,3.6
2026-01-17 00:00:00,2026,1,17,0,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,72,Moderate,1,17.5,99,0.0,2.4,193,1005.1,23,22.2,23.9,377.0,11.6,55.0,2.8
2026-01-17 01:00:00,2026,1,17,1,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,71,Moderate,1,18.0,97,0.0,0.8,207,1005.0,100,23.7,25.2,354.0,11.8,47.0,2.2
2026-01-17 02:00:00,2026,1,17,2,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,70,Moderate,1,18.0,97,0.0,1.3,262,1004.8,100,25.0,26.2,329.0,11.3,43.0,1.8
2026-01-17 03:00:00,2026,1,17,3,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,69,Moderate,1,18.1,97,0.0,1.6,360,1004.4,100,26.0,27.0,305.0,10.4,42.0,1.6
2026-01-17 04:00:00,2026,1,17,4,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,69,Moderate,1,17.6,100,0.0,3.6,342,1004.6,100,25.8,27.1,297.0,9.6,42.0,1.5
2026-01-17 05:00:00,2026,1,17,5,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,68,Moderate,1,17.6,99,0.0,4.6,315,1004.9,100,27.8,28.8,323.0,9.3,41.0,1.7
2026-01-17 06:00:00,2026,1,17,6,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,68,Moderate,1,17.7,99,0.0,4.8,304,1005.3,100,27.6,28.6,365.0,9.1,40.0,2.1
2026-01-17 07:00:00,2026,1,17,7,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,67,Moderate,1,18.3,97,0.0,5.9,281,1006.1,100,31.7,32.7,387.0,15.8,43.0,2.4
2026-01-17 08:00:00,2026,1,17,8,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,67,Moderate,1,19.0,98,0.0,4.4,300,1007.2,100,27.4,28.6,367.0,12.1,59.0,2.2
2026-01-17 09:00:00,2026,1,17,9,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,67,Moderate,1,20.4,91,0.1,3.7,321,1007.6,100,22.6,24.6,327.0,6.9,81.0,2.0
2026-01-17 10:00:00,2026,1,17,10,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,67,Moderate,1,22.5,81,0.0,2.4,27,1007.3,100,21.4,23.3,294.0,3.0,99.0,1.8
2026-01-17 11:00:00,2026,1,17,11,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,68,Moderate,1,24.3,72,0.0,3.9,56,1007.0,69,20.5,22.4,278.0,1.7,108.0,1.6
2026-01-17 12:00:00,2026,1,17,12,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,68,Moderate,1,25.9,66,0.0,4.8,59,1005.6,67,20.4,22.2,269.0,1.6,111.0,1.4
2026-01-17 13:00:00,2026,1,17,13,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,69,Moderate,1,27.3,57,0.0,5.2,41,1004.4,63,20.5,22.2,263.0,1.7,113.0,1.3
2026-01-17 14:00:00,2026,1,17,14,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,69,Moderate,1,28.1,57,0.0,5.0,15,1003.2,86,20.4,22.2,258.0,1.5,113.0,1.3
2026-01-17 15:00:00,2026,1,17,15,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,69,Moderate,1,27.4,57,0.0,9.2,21,1002.6,73,18.6,20.6,257.0,1.4,111.0,1.3
2026-01-17 16:00:00,2026,1,17,16,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,70,Moderate,1,24.5,75,0.4,8.4,43,1003.0,67,18.6,21.2,263.0,1.9,106.0,1.4
2026-01-17 17:00:00,2026,1,17,17,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,70,Moderate,1,23.7,83,0.2,5.4,76,1003.2,28,17.2,19.7,285.0,3.4,96.0,1.8
2026-01-17 18:00:00,2026,1,17,18,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,70,Moderate,1,22.2,88,0.1,4.2,80,1003.8,100,17.8,20.1,314.0,5.5,83.0,2.2
2026-01-17 19:00:00,2026,1,17,19,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,70,Moderate,1,21.1,93,0.0,2.7,172,1004.1,98,16.5,18.6,332.0,5.1,75.0,1.9
2026-01-17 20:00:00,2026,1,17,20,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,71,Moderate,1,21.0,96,0.1,3.6,117,1004.8,98,17.2,19.5,326.0,5.5,72.0,2.0
2026-01-17 21:00:00,2026,1,17,21,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,71,Moderate,1,21.0,97,0.0,6.7,106,1005.2,100,18.0,20.7,310.0,6.0,67.0,2.1
2026-01-17 22:00:00,2026,1,17,22,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,71,Moderate,1,20.8,98,0.0,7.3,113,1005.5,100,19.0,21.8,301.0,6.5,63.0,2.1
2026-01-17 23:00:00,2026,1,17,23,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,71,Moderate,1,20.6,97,0.0,7.1,128,1005.4,98,20.7,23.7,311.0,6.7,60.0,1.8
2026-01-18 00:00:00,2026,1,18,0,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,71,Moderate,1,20.3,98,0.0,6.4,135,1005.1,60,23.2,26.0,330.0,6.9,58.0,1.3
2026-01-18 01:00:00,2026,1,18,1,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,71,Moderate,1,20.2,99,0.0,6.9,143,1004.8,87,24.7,27.6,340.0,7.1,55.0,0.9
2026-01-18 02:00:00,2026,1,18,2,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,71,Moderate,1,19.8,99,0.0,5.2,158,1004.2,73,27.1,30.0,334.0,7.6,51.0,0.6
2026-01-18 03:00:00,2026,1,18,3,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,72,Moderate,1,19.6,100,0.0,4.0,180,1003.8,98,30.2,32.6,320.0,8.2,47.0,0.4
2026-01-18 04:00:00,2026,1,18,4,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,72,Moderate,1,19.0,100,0.0,2.3,198,1003.8,75,32.5,34.9,309.0,8.5,45.0,0.3
2026-01-18 05:00:00,2026,1,18,5,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,72,Moderate,1,18.8,99,0.0,1.1,189,1004.0,16,34.0,36.3,306.0,8.3,43.0,0.2
2026-01-18 06:00:00,2026,1,18,6,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,73,Moderate,1,18.5,98,0.0,0.4,207,1004.7,1,32.9,35.3,305.0,7.8,43.0,0.2
2026-01-18 07:00:00,2026,1,18,7,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,74,Moderate,1,18.1,100,0.0,2.5,270,1005.4,98,27.5,29.6,299.0,5.0,61.0,0.3
2026-01-18 08:00:00,2026,1,18,8,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,73,Moderate,1,19.8,98,0.0,0.7,270,1006.3,58,21.8,24.0,282.0,4.0,71.0,0.5
2026-01-18 09:00:00,2026,1,18,9,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,73,Moderate,1,21.9,89,0.0,1.3,34,1007.0,18,19.0,21.1,260.0,2.6,86.0,0.7
2026-01-18 10:00:00,2026,1,18,10,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,72,Moderate,1,24.4,72,0.0,2.8,63,1007.1,28,17.3,19.4,243.0,1.5,97.0,0.9
2026-01-18 11:00:00,2026,1,18,11,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,72,Moderate,1,26.0,62,0.0,4.7,74,1006.5,13,16.2,17.9,235.0,1.1,103.0,1.0
2026-01-18 12:00:00,2026,1,18,12,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,72,Moderate,1,27.1,57,0.0,4.5,85,1005.4,22,15.6,17.1,232.0,0.9,105.0,1.0
2026-01-18 13:00:00,2026,1,18,13,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,71,Moderate,1,28.1,51,0.1,4.3,88,1003.9,20,15.7,17.1,234.0,0.9,107.0,1.0
2026-01-18 14:00:00,2026,1,18,14,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,71,Moderate,1,28.6,49,0.0,3.1,97,1002.9,54,16.1,17.5,240.0,0.8,109.0,1.0
2026-01-18 15:00:00,2026,1,18,15,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,70,Moderate,1,28.6,50,0.0,6.1,34,1002.2,40,16.4,17.8,251.0,0.7,109.0,1.0
2026-01-18 16:00:00,2026,1,18,16,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,70,Moderate,1,27.1,57,0.0,9.0,43,1002.2,69,17.4,18.8,271.0,1.2,107.0,1.1
2026-01-18 17:00:00,2026,1,18,17,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,70,Moderate,1,24.8,70,0.0,7.4,76,1002.8,43,17.8,19.2,304.0,2.5,100.0,1.5
2026-01-18 18:00:00,2026,1,18,18,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,70,Moderate,1,22.1,81,0.0,6.9,115,1003.5,54,18.2,19.5,346.0,4.3,90.0,2.0
2026-01-18 19:00:00,2026,1,18,19,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,70,Moderate,1,21.3,88,0.0,7.6,126,1004.2,56,21.5,23.1,383.0,5.4,77.0,2.2
2026-01-18 20:00:00,2026,1,18,20,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,71,Moderate,1,20.7,91,0.0,6.0,139,1005.0,62,22.8,24.4,415.0,6.1,74.0,2.3
2026-01-18 21:00:00,2026,1,18,21,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,71,Moderate,1,19.4,96,0.0,6.0,147,1005.3,54,24.4,26.1,443.0,7.1,71.0,2.4
2026-01-18 22:00:00,2026,1,18,22,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,72,Moderate,1,18.7,97,0.0,6.5,157,1005.6,65,25.8,27.5,459.0,7.7,68.0,2.3
2026-01-18 23:00:00,2026,1,18,23,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,72,Moderate,1,18.3,98,0.0,5.8,164,1005.2,69,27.1,28.9,462.0,7.4,67.0,2.0
2026-01-19 00:00:00,2026,1,19,0,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,73,Moderate,1,17.7,99,0.0,6.4,169,1004.8,65,27.8,29.5,453.0,6.6,67.0,1.6
2026-01-19 01:00:00,2026,1,19,1,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,73,Moderate,1,17.4,100,0.0,6.8,169,1004.5,68,27.9,29.6,432.0,6.1,66.0,1.2
2026-01-19 02:00:00,2026,1,19,2,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,73,Moderate,1,17.1,99,0.0,4.2,173,1003.8,68,28.8,30.4,388.0,6.0,61.0,1.0
2026-01-19 03:00:00,2026,1,19,3,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,74,Moderate,1,16.7,100,0.0,2.4,189,1003.7,96,30.2,31.7,331.0,6.2,55.0,0.8
2026-01-19 04:00:00,2026,1,19,4,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,74,Moderate,1,16.3,100,0.0,1.3,236,1003.8,98,31.4,32.9,297.0,6.4,50.0,0.7
2026-01-19 05:00:00,2026,1,19,5,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,74,Moderate,1,16.3,99,0.0,2.4,257,1004.2,83,32.1,33.6,307.0,6.8,45.0,0.6
2026-01-19 06:00:00,2026,1,19,6,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,73,Moderate,1,16.3,97,0.0,1.4,247,1005.0,37,33.3,34.7,338.0,7.2,40.0,0.7
2026-01-19 07:00:00,2026,1,19,7,Quảng Trị,Xã Tuyên Lâm,17.983543,105.8419259,73,Moderate,1,17.4,93,0.0,0.6,252,1006.1,80,33.5,34.7,359.0,7.2,46.0,0.9
