timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2025-10-14 16:00:00,2025,10,14,16,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,51,Moderate,1,23.0,96,0.3,4.6,18,953.3,100,11.6,11.9,145.0,4.8,58.0,7.8
2025-10-14 17:00:00,2025,10,14,17,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,50,Good,0,22.8,95,0.0,4.9,80,953.3,100,12.5,12.7,158.0,6.7,51.0,7.5
2025-10-14 18:00:00,2025,10,14,18,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,50,Good,0,22.0,98,0.4,5.0,75,953.8,100,13.1,13.3,172.0,8.9,41.0,6.6
2025-10-14 19:00:00,2025,10,14,19,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,50,Good,0,21.5,99,0.1,3.8,79,954.1,100,18.7,19.1,180.0,13.1,31.0,8.3
2025-10-14 20:00:00,2025,10,14,20,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,50,Good,0,21.5,99,0.1,3.6,87,954.7,100,16.8,17.1,179.0,12.3,30.0,8.0
2025-10-14 21:00:00,2025,10,14,21,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,50,Good,0,21.5,99,0.2,3.4,90,955.1,100,15.4,15.7,172.0,11.2,29.0,7.6
2025-10-14 22:00:00,2025,10,14,22,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,50,Good,0,21.5,100,0.0,3.2,90,955.3,100,13.6,13.9,164.0,10.3,29.0,7.2
2025-10-14 23:00:00,2025,10,14,23,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,48,Good,0,21.6,99,0.2,3.2,106,955.4,100,10.6,10.8,154.0,9.7,30.0,7.1
2025-10-15 00:00:00,2025,10,15,0,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,47,Good,0,21.4,100,0.0,4.0,63,955.3,100,9.2,9.5,143.0,9.3,30.0,7.0
2025-10-15 01:00:00,2025,10,15,1,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,45,Good,0,21.5,100,0.1,2.6,78,954.4,100,8.2,8.5,133.0,8.9,31.0,6.7
2025-10-15 02:00:00,2025,10,15,2,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,44,Good,0,21.0,100,4.4,3.6,131,954.4,100,7.4,7.7,124.0,8.5,30.0,6.0
2025-10-15 03:00:00,2025,10,15,3,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,44,Good,0,21.0,100,0.1,3.1,111,954.4,100,6.9,7.0,117.0,8.2,29.0,5.0
2025-10-15 04:00:00,2025,10,15,4,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,43,Good,0,21.0,99,0.1,3.1,28,953.9,100,5.9,6.0,115.0,7.7,29.0,4.4
2025-10-15 05:00:00,2025,10,15,5,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,43,Good,0,21.0,100,0.1,3.0,57,954.3,100,5.5,5.6,122.0,6.9,31.0,4.0
2025-10-15 06:00:00,2025,10,15,6,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,43,Good,0,20.8,100,0.0,3.1,62,954.4,100,4.0,4.0,133.0,5.9,35.0,4.0
2025-10-15 07:00:00,2025,10,15,7,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,42,Good,0,21.7,99,0.0,4.0,63,955.5,100,8.6,8.8,140.0,12.1,32.0,12.8
2025-10-15 08:00:00,2025,10,15,8,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,42,Good,0,22.0,99,0.3,4.5,74,956.1,100,6.6,6.8,138.0,10.1,42.0,13.6
2025-10-15 09:00:00,2025,10,15,9,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,41,Good,0,22.5,97,0.1,3.6,72,956.9,100,5.9,6.1,133.0,7.4,55.0,14.5
2025-10-15 10:00:00,2025,10,15,10,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,41,Good,0,22.8,98,0.3,2.6,74,956.6,100,6.1,6.3,127.0,5.2,66.0,14.5
2025-10-15 11:00:00,2025,10,15,11,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,40,Good,0,23.3,98,0.2,1.7,131,956.5,100,6.6,6.9,122.0,3.9,72.0,12.5
2025-10-15 12:00:00,2025,10,15,12,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,40,Good,0,24.5,90,0.2,2.7,148,955.8,100,7.2,7.5,117.0,3.2,76.0,9.5
2025-10-15 13:00:00,2025,10,15,13,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,40,Good,0,25.0,86,0.1,2.5,188,955.0,100,7.9,8.1,115.0,2.8,79.0,7.5
2025-10-15 14:00:00,2025,10,15,14,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,40,Good,0,24.5,88,0.1,2.9,137,954.3,57,9.0,9.3,113.0,2.5,83.0,7.5
2025-10-15 15:00:00,2025,10,15,15,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,40,Good,0,24.6,85,0.0,3.7,119,953.7,66,10.7,11.0,113.0,2.5,87.0,8.4
2025-10-15 16:00:00,2025,10,15,16,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,40,Good,0,24.0,87,0.1,3.1,111,953.5,65,12.0,12.3,125.0,3.8,85.0,9.3
2025-10-15 17:00:00,2025,10,15,17,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,40,Good,0,23.5,90,0.1,3.6,108,954.1,48,13.5,13.7,164.0,7.5,74.0,9.8
2025-10-15 18:00:00,2025,10,15,18,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,40,Good,0,22.1,97,0.0,3.1,87,954.2,58,15.9,16.2,214.0,12.4,57.0,10.2
2025-10-15 19:00:00,2025,10,15,19,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,40,Good,0,22.5,98,0.0,2.4,54,954.5,64,21.0,21.4,244.0,16.2,44.0,10.3
2025-10-15 20:00:00,2025,10,15,20,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,41,Good,0,22.5,98,0.1,2.7,82,955.5,88,21.7,21.9,233.0,15.1,41.0,9.7
2025-10-15 21:00:00,2025,10,15,21,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,42,Good,0,22.2,99,0.1,4.8,79,956.2,95,19.6,19.8,202.0,13.5,38.0,8.9
2025-10-15 22:00:00,2025,10,15,22,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,42,Good,0,21.9,99,0.1,3.7,67,956.3,59,19.4,19.6,174.0,12.5,34.0,8.1
2025-10-15 23:00:00,2025,10,15,23,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,43,Good,0,21.6,99,0.0,3.4,74,956.4,87,19.7,20.0,158.0,12.7,31.0,7.5
2025-10-16 00:00:00,2025,10,16,0,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,45,Good,0,21.3,99,0.0,4.5,61,956.4,95,20.1,20.4,146.0,13.4,28.0,7.0
2025-10-16 01:00:00,2025,10,16,1,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,47,Good,0,21.8,100,0.1,2.7,110,956.2,100,19.8,20.0,138.0,13.9,26.0,6.5
2025-10-16 02:00:00,2025,10,16,2,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,49,Good,0,21.6,100,0.2,3.4,90,956.0,100,19.4,19.6,134.0,13.9,23.0,5.8
2025-10-16 03:00:00,2025,10,16,3,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,50,Good,0,21.4,100,0.1,3.8,90,955.7,100,19.4,19.7,135.0,13.6,21.0,5.2
2025-10-16 04:00:00,2025,10,16,4,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,52,Moderate,1,21.2,100,0.0,3.5,69,955.6,100,20.0,20.2,140.0,13.0,20.0,4.5
2025-10-16 05:00:00,2025,10,16,5,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,53,Moderate,1,21.0,100,0.0,3.1,59,955.9,100,20.1,20.4,156.0,12.1,21.0,3.4
2025-10-16 06:00:00,2025,10,16,6,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,54,Moderate,1,20.9,100,0.0,2.9,47,956.5,100,20.7,20.9,177.0,10.9,24.0,2.3
2025-10-16 07:00:00,2025,10,16,7,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,56,Moderate,1,21.5,99,0.0,2.1,31,957.3,98,13.7,13.8,187.0,9.9,27.0,3.3
2025-10-16 08:00:00,2025,10,16,8,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,56,Moderate,1,22.6,96,0.1,4.6,77,957.7,68,8.9,9.1,175.0,7.8,40.0,7.0
2025-10-16 09:00:00,2025,10,16,9,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,56,Moderate,1,23.9,90,0.3,5.8,112,958.3,88,8.0,8.2,153.0,4.9,59.0,12.1
2025-10-16 10:00:00,2025,10,16,10,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,56,Moderate,1,25.2,82,0.2,6.4,133,958.7,93,9.3,9.7,136.0,2.7,75.0,15.1
2025-10-16 11:00:00,2025,10,16,11,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,57,Moderate,1,26.6,71,0.1,8.9,144,958.3,100,10.1,10.8,132.0,1.8,85.0,14.1
2025-10-16 12:00:00,2025,10,16,12,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,57,Moderate,1,27.7,62,0.1,9.3,162,957.0,95,10.6,11.3,134.0,1.5,92.0,11.0
2025-10-16 13:00:00,2025,10,16,13,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,57,Moderate,1,28.4,55,0.0,10.6,177,956.7,57,12.4,13.2,138.0,1.5,97.0,8.8
2025-10-16 14:00:00,2025,10,16,14,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,58,Moderate,1,28.5,54,0.1,9.4,177,955.7,48,15.4,16.2,138.0,1.1,102.0,8.8
2025-10-16 15:00:00,2025,10,16,15,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,58,Moderate,1,27.3,61,0.1,8.6,158,955.2,79,17.9,18.6,141.0,1.0,106.0,9.7
2025-10-16 16:00:00,2025,10,16,16,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,59,Moderate,1,26.8,67,0.0,4.2,170,955.0,68,19.2,19.7,155.0,2.6,103.0,10.3
2025-10-16 17:00:00,2025,10,16,17,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,60,Moderate,1,25.1,82,0.0,4.1,128,955.2,48,22.6,23.2,194.0,7.5,88.0,10.2
2025-10-16 18:00:00,2025,10,16,18,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,60,Moderate,1,23.7,87,0.0,1.8,90,955.5,48,28.0,28.4,246.0,14.2,66.0,9.9
2025-10-16 19:00:00,2025,10,16,19,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,61,Moderate,1,21.7,99,0.0,2.7,32,956.0,34,23.2,23.2,282.0,18.8,51.0,10.9
2025-10-16 20:00:00,2025,10,16,20,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,62,Moderate,1,21.8,98,0.0,2.8,35,957.0,23,26.2,26.3,292.0,22.0,43.0,10.6
2025-10-16 21:00:00,2025,10,16,21,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,62,Moderate,1,21.6,96,0.1,1.5,54,957.6,91,28.6,28.8,287.0,26.4,33.0,10.1
2025-10-16 22:00:00,2025,10,16,22,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,63,Moderate,1,21.6,95,0.1,1.3,34,957.8,38,30.5,30.6,275.0,29.4,25.0,9.4
2025-10-16 23:00:00,2025,10,16,23,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,64,Moderate,1,21.3,95,0.0,1.9,49,957.9,21,31.3,31.3,256.0,29.8,22.0,8.5
2025-10-17 00:00:00,2025,10,17,0,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,65,Moderate,1,21.0,95,0.0,2.4,48,957.7,19,30.3,30.3,230.0,28.9,21.0,7.5
2025-10-17 01:00:00,2025,10,17,1,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,66,Moderate,1,21.1,96,0.0,2.3,39,957.0,6,28.5,28.6,211.0,27.2,21.0,6.4
2025-10-17 02:00:00,2025,10,17,2,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,67,Moderate,1,21.0,96,0.0,3.1,21,956.4,7,28.3,28.5,203.0,24.9,20.0,5.1
2025-10-17 03:00:00,2025,10,17,3,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,67,Moderate,1,20.6,97,0.0,3.7,14,955.9,16,28.1,28.2,202.0,21.9,20.0,3.8
2025-10-17 04:00:00,2025,10,17,4,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,68,Moderate,1,20.4,97,0.0,3.9,24,955.7,7,27.7,27.9,207.0,18.9,22.0,2.8
2025-10-17 05:00:00,2025,10,17,5,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,69,Moderate,1,20.2,97,0.0,4.1,23,956.0,5,27.1,27.2,223.0,16.1,25.0,2.0
2025-10-17 06:00:00,2025,10,17,6,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,69,Moderate,1,20.0,97,0.0,4.3,22,956.7,2,27.4,27.5,244.0,13.3,30.0,1.5
2025-10-17 07:00:00,2025,10,17,7,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,70,Moderate,1,21.7,96,0.0,5.2,27,957.7,18,19.1,19.1,252.0,9.9,45.0,2.1
2025-10-17 08:00:00,2025,10,17,8,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,70,Moderate,1,24.8,89,0.0,2.9,7,958.8,11,14.2,14.3,236.0,7.6,63.0,6.5
2025-10-17 09:00:00,2025,10,17,9,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,71,Moderate,1,25.1,83,0.4,1.3,45,959.3,29,9.2,9.3,208.0,4.4,87.0,12.5
2025-10-17 10:00:00,2025,10,17,10,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,71,Moderate,1,25.8,78,0.4,1.6,117,959.1,31,10.8,11.0,184.0,2.0,104.0,16.4
2025-10-17 11:00:00,2025,10,17,11,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,71,Moderate,1,26.8,70,0.3,3.7,141,958.8,48,11.2,11.6,172.0,1.2,108.0,15.9
2025-10-17 12:00:00,2025,10,17,12,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,71,Moderate,1,28.0,61,0.0,5.3,152,958.0,28,11.6,12.0,164.0,1.1,104.0,13.4
2025-10-17 13:00:00,2025,10,17,13,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,71,Moderate,1,28.1,60,0.0,6.5,172,957.0,19,12.2,12.7,160.0,1.3,102.0,11.4
2025-10-17 14:00:00,2025,10,17,14,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,71,Moderate,1,28.6,57,0.0,6.3,180,956.3,19,13.5,14.0,154.0,1.0,105.0,11.2
2025-10-17 15:00:00,2025,10,17,15,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,71,Moderate,1,28.2,57,0.1,6.1,180,955.6,23,15.1,15.5,152.0,0.8,109.0,11.7
2025-10-17 16:00:00,2025,10,17,16,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,71,Moderate,1,27.4,63,0.0,6.2,173,955.2,15,17.5,17.9,167.0,2.3,109.0,12.2
2025-10-17 17:00:00,2025,10,17,17,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,71,Moderate,1,25.6,81,0.0,3.1,149,954.8,2,20.8,21.1,216.0,6.8,100.0,12.6
2025-10-17 18:00:00,2025,10,17,18,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,71,Moderate,1,24.1,83,0.0,2.3,119,954.8,2,24.6,24.9,283.0,12.9,86.0,13.1
2025-10-17 19:00:00,2025,10,17,19,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,70,Moderate,1,24.3,80,0.0,3.5,189,955.8,13,28.6,28.8,331.0,17.6,72.0,14.1
2025-10-17 20:00:00,2025,10,17,20,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,71,Moderate,1,24.2,81,0.0,2.2,189,956.6,9,32.9,33.2,345.0,18.9,70.0,14.7
2025-10-17 21:00:00,2025,10,17,21,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,71,Moderate,1,23.6,83,0.0,0.6,108,956.7,11,35.7,36.0,340.0,20.8,67.0,15.6
2025-10-17 22:00:00,2025,10,17,22,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,72,Moderate,1,23.0,87,0.0,1.5,97,956.9,25,37.8,38.1,333.0,22.5,63.0,15.9
2025-10-17 23:00:00,2025,10,17,23,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,73,Moderate,1,22.8,87,0.0,0.5,90,957.0,27,39.6,39.8,327.0,23.7,56.0,15.4
2025-10-18 00:00:00,2025,10,18,0,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,73,Moderate,1,22.6,87,0.0,0.5,45,956.8,6,40.6,40.9,317.0,24.7,48.0,14.4
2025-10-18 01:00:00,2025,10,18,1,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,74,Moderate,1,22.3,89,0.0,2.1,165,956.3,12,41.1,41.3,307.0,25.6,40.0,13.3
2025-10-18 02:00:00,2025,10,18,2,Thái Nguyên,Xã Vĩnh Thông,22.1855259,105.9945312,75,Moderate,1,22.3,88,0.0,0.8,117,956.0,7,40.7,41.0,294.0,26.9,31.0,11.9
