timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-01-14 20:00:00,2026,1,14,20,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,148,Unhealthy for Sensitive Groups,2,14.9,88,0.0,3.4,360,969.2,2,59.6,59.8,496.0,12.6,96.0,24.5
2026-01-14 21:00:00,2026,1,14,21,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,150,Unhealthy for Sensitive Groups,2,14.3,88,0.0,2.9,356,969.8,10,62.4,62.6,510.0,14.3,96.0,27.7
2026-01-14 22:00:00,2026,1,14,22,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,150,Unhealthy for Sensitive Groups,2,14.1,88,0.0,2.5,352,970.6,30,65.2,65.4,513.0,15.4,92.0,28.9
2026-01-14 23:00:00,2026,1,14,23,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,151,Unhealthy,3,13.7,89,0.0,2.5,352,970.9,36,67.3,67.5,495.0,15.5,81.0,26.1
2026-01-15 00:00:00,2026,1,15,0,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,151,Unhealthy,3,13.6,91,0.0,2.4,351,971.0,100,68.0,68.2,466.0,15.0,66.0,21.3
2026-01-15 01:00:00,2026,1,15,1,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,152,Unhealthy,3,14.4,90,0.0,1.6,354,970.9,100,65.7,65.9,445.0,14.1,55.0,17.3
2026-01-15 02:00:00,2026,1,15,2,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,152,Unhealthy,3,15.1,89,0.1,1.7,342,970.5,100,60.8,61.0,437.0,12.4,51.0,15.0
2026-01-15 03:00:00,2026,1,15,3,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,152,Unhealthy,3,15.7,88,0.5,1.0,338,970.2,100,57.3,57.4,436.0,10.2,50.0,13.5
2026-01-15 04:00:00,2026,1,15,4,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,152,Unhealthy,3,15.9,87,0.6,0.5,90,970.0,100,51.0,51.2,449.0,8.7,49.0,12.5
2026-01-15 05:00:00,2026,1,15,5,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,152,Unhealthy,3,15.7,89,0.3,0.8,135,970.0,100,48.8,49.0,484.0,8.7,47.0,12.1
2026-01-15 06:00:00,2026,1,15,6,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,152,Unhealthy,3,15.7,90,0.3,0.6,108,970.6,100,49.8,49.9,532.0,9.5,45.0,12.3
2026-01-15 07:00:00,2026,1,15,7,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,152,Unhealthy,3,15.5,88,0.1,0.5,270,971.1,100,41.8,41.9,568.0,8.9,48.0,11.5
2026-01-15 08:00:00,2026,1,15,8,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,152,Unhealthy,3,16.0,87,0.1,1.9,139,971.7,100,42.7,43.0,581.0,8.4,56.0,11.9
2026-01-15 09:00:00,2026,1,15,9,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,152,Unhealthy,3,15.9,92,0.0,2.4,138,972.1,100,41.2,41.4,583.0,7.6,66.0,12.4
2026-01-15 10:00:00,2026,1,15,10,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,151,Unhealthy,3,16.5,89,0.2,2.8,145,972.3,100,38.8,39.0,580.0,6.7,77.0,12.9
2026-01-15 11:00:00,2026,1,15,11,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,151,Unhealthy,3,16.3,94,0.4,3.9,167,971.7,100,37.0,37.3,576.0,5.5,87.0,13.5
2026-01-15 12:00:00,2026,1,15,12,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,150,Unhealthy for Sensitive Groups,2,16.6,91,0.2,4.2,155,970.6,100,36.4,36.8,567.0,4.1,97.0,14.2
2026-01-15 13:00:00,2026,1,15,13,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,150,Unhealthy for Sensitive Groups,2,17.0,86,0.0,3.3,151,969.7,100,35.2,35.4,553.0,3.1,105.0,14.5
2026-01-15 14:00:00,2026,1,15,14,Tuyên Quang,Xã Tát Ngà,23.0868802,105.3662019,148,Unhealthy for Sensitive Groups,2,17.5,80,0.0,4.3,147,968.6,100,31.4,31.7,524.0,2.7,109.0,14.3
