timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,An Giang,Xã Vĩnh Hòa,9.6950491,105.1666934,83.0,Moderate,1.0,27.7,82,0.0,7.9,204,1009.1,38,31.9,34.0,225.0,12.5,66.0,4.5
2026-04-14 22:00:00,2026,4,14,22,An Giang,Xã Vĩnh Hòa,9.6950491,105.1666934,83.0,Moderate,1.0,27.4,83,0.0,7.6,205,1009.3,35,35.2,37.4,227.0,13.6,59.0,4.8
2026-04-14 23:00:00,2026,4,14,23,An Giang,Xã Vĩnh Hòa,9.6950491,105.1666934,83.0,Moderate,1.0,27.0,85,0.0,7.4,203,1009.3,35,36.7,38.6,218.0,13.6,55.0,4.8
2026-04-15 00:00:00,2026,4,15,0,An Giang,Xã Vĩnh Hòa,9.6950491,105.1666934,83.0,Moderate,1.0,26.7,86,0.0,7.6,199,1009.1,34,33.9,35.9,204.0,13.0,53.0,4.6
2026-04-15 01:00:00,2026,4,15,1,An Giang,Xã Vĩnh Hòa,9.6950491,105.1666934,84.0,Moderate,1.0,26.4,87,0.0,6.5,186,1008.2,30,30.0,32.0,192.0,12.6,51.0,4.4
2026-04-15 02:00:00,2026,4,15,2,An Giang,Xã Vĩnh Hòa,9.6950491,105.1666934,83.0,Moderate,1.0,26.0,89,0.0,6.8,177,1007.6,40,27.2,29.3,186.0,12.8,49.0,4.2
2026-04-15 03:00:00,2026,4,15,3,An Giang,Xã Vĩnh Hòa,9.6950491,105.1666934,83.0,Moderate,1.0,25.7,89,0.0,7.3,169,1007.3,44,27.4,29.5,182.0,13.1,48.0,3.9
2026-04-15 04:00:00,2026,4,15,4,An Giang,Xã Vĩnh Hòa,9.6950491,105.1666934,83.0,Moderate,1.0,25.3,89,0.0,7.7,169,1007.4,53,28.7,30.9,180.0,12.9,48.0,3.7
2026-04-15 05:00:00,2026,4,15,5,An Giang,Xã Vĩnh Hòa,9.6950491,105.1666934,82.0,Moderate,1.0,25.0,89,0.0,7.7,169,1008.0,55,28.1,30.4,179.0,11.8,50.0,3.8
2026-04-15 06:00:00,2026,4,15,6,An Giang,Xã Vĩnh Hòa,9.6950491,105.1666934,81.0,Moderate,1.0,24.8,90,0.0,7.7,169,1008.2,52,26.3,28.6,179.0,10.2,54.0,4.0
2026-04-15 07:00:00,2026,4,15,7,An Giang,Xã Vĩnh Hòa,9.6950491,105.1666934,80.0,Moderate,1.0,26.2,87,0.0,8.3,162,1009.2,38,23.0,25.7,178.0,8.4,61.0,3.9
2026-04-15 08:00:00,2026,4,15,8,An Giang,Xã Vĩnh Hòa,9.6950491,105.1666934,80.0,Moderate,1.0,28.5,77,0.0,10.9,171,1009.9,42,17.1,20.1,176.0,6.1,74.0,3.3
