timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,203.0,Very Unhealthy,4.0,26.9,87,0.0,6.6,158,1003.3,76,44.8,48.0,336.0,23.4,103.0,18.1
2026-04-14 22:00:00,2026,4,14,22,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,187.0,Unhealthy,3.0,26.6,87,0.0,6.1,152,1003.9,85,38.0,42.1,337.0,24.3,77.0,16.3
2026-04-14 23:00:00,2026,4,14,23,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,160.0,Unhealthy,3.0,26.4,88,0.0,4.4,145,1004.0,89,37.5,42.0,324.0,24.0,68.0,15.1
2026-04-15 00:00:00,2026,4,15,0,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,155.0,Unhealthy,3.0,26.3,90,0.0,2.7,113,1003.3,92,38.2,42.8,305.0,23.1,68.0,14.1
2026-04-15 01:00:00,2026,4,15,1,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,155.0,Unhealthy,3.0,26.1,89,0.0,2.6,74,1003.0,89,39.0,43.9,288.0,22.2,68.0,13.3
2026-04-15 02:00:00,2026,4,15,2,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,155.0,Unhealthy,3.0,26.1,90,0.0,2.2,81,1002.1,84,38.9,43.7,275.0,21.5,65.0,12.8
2026-04-15 03:00:00,2026,4,15,3,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,155.0,Unhealthy,3.0,26.0,90,0.0,1.9,68,1001.7,88,37.4,42.0,265.0,20.9,62.0,12.5
2026-04-15 04:00:00,2026,4,15,4,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,154.0,Unhealthy,3.0,26.0,90,0.0,1.8,79,1002.0,91,35.4,39.8,258.0,20.5,60.0,12.3
2026-04-15 05:00:00,2026,4,15,5,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,154.0,Unhealthy,3.0,26.0,90,0.0,2.2,90,1002.3,92,33.6,37.8,255.0,20.7,56.0,12.3
2026-04-15 06:00:00,2026,4,15,6,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,154.0,Unhealthy,3.0,26.1,90,0.0,2.2,99,1003.2,90,32.4,36.6,255.0,21.2,52.0,12.5
2026-04-15 07:00:00,2026,4,15,7,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,154.0,Unhealthy,3.0,26.6,89,0.0,2.5,98,1003.6,92,30.6,35.3,258.0,20.9,54.0,12.5
2026-04-15 08:00:00,2026,4,15,8,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,152.0,Unhealthy,3.0,27.2,86,0.0,7.1,139,1004.7,94,30.5,35.2,264.0,19.5,61.0,12.2
2026-04-15 09:00:00,2026,4,15,9,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,151.0,Unhealthy,3.0,28.0,82,0.0,9.4,157,1005.2,95,32.4,37.0,272.0,17.3,74.0,11.7
2026-04-15 10:00:00,2026,4,15,10,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,151.0,Unhealthy,3.0,29.0,78,0.0,9.4,162,1005.4,90,38.9,43.8,285.0,14.7,95.0,11.0
2026-04-15 11:00:00,2026,4,15,11,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,150.0,Unhealthy for Sensitive Groups,2.0,29.7,77,0.0,9.0,164,1005.2,84,48.5,54.6,309.0,11.1,132.0,9.8
2026-04-15 12:00:00,2026,4,15,12,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,148.0,Unhealthy for Sensitive Groups,2.0,31.1,71,0.0,10.4,160,1004.3,60,57.5,65.0,337.0,7.1,178.0,8.4
2026-04-15 13:00:00,2026,4,15,13,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,145.0,Unhealthy for Sensitive Groups,2.0,32.1,67,0.0,11.2,159,1002.9,64,61.9,69.4,351.0,4.4,213.0,7.8
2026-04-15 14:00:00,2026,4,15,14,Bắc Ninh,Xã Nhã Nam,21.4441709,106.0976533,142.0,Unhealthy for Sensitive Groups,2.0,32.6,65,0.0,12.2,152,1001.6,47,61.2,68.2,337.0,3.6,230.0,8.7
