timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 01:00:00,2026,4,14,1,Cà Mau,Xã Hưng Mỹ,9.0017723,104.9994014,47.0,Good,0.0,25.7,88,0.0,5.8,173,1009.5,0,11.7,15.3,149.0,1.6,85.0,1.2
2026-04-14 02:00:00,2026,4,14,2,Cà Mau,Xã Hưng Mỹ,9.0017723,104.9994014,47.0,Good,0.0,25.4,89,0.0,5.4,176,1009.0,0,11.8,15.4,148.0,1.6,84.0,1.2
2026-04-14 03:00:00,2026,4,14,3,Cà Mau,Xã Hưng Mỹ,9.0017723,104.9994014,47.0,Good,0.0,25.2,90,0.0,4.5,166,1008.7,0,12.0,15.5,146.0,1.7,84.0,1.1
2026-04-14 04:00:00,2026,4,14,4,Cà Mau,Xã Hưng Mỹ,9.0017723,104.9994014,47.0,Good,0.0,24.9,91,0.0,4.3,156,1009.1,0,12.1,15.7,146.0,1.7,84.0,1.1
2026-04-14 05:00:00,2026,4,14,5,Cà Mau,Xã Hưng Mỹ,9.0017723,104.9994014,47.0,Good,0.0,24.7,92,0.0,4.2,149,1009.7,0,12.4,15.9,148.0,1.7,84.0,1.1
2026-04-14 06:00:00,2026,4,14,6,Cà Mau,Xã Hưng Mỹ,9.0017723,104.9994014,47.0,Good,0.0,24.6,92,0.0,4.1,142,1010.2,0,12.6,16.1,150.0,1.7,84.0,1.2
2026-04-14 07:00:00,2026,4,14,7,Cà Mau,Xã Hưng Mỹ,9.0017723,104.9994014,47.0,Good,0.0,25.9,89,0.0,4.3,138,1010.9,0,12.7,16.2,152.0,1.6,85.0,1.3
2026-04-14 08:00:00,2026,4,14,8,Cà Mau,Xã Hưng Mỹ,9.0017723,104.9994014,48.0,Good,0.0,28.3,76,0.0,6.2,144,1011.6,0,12.7,16.4,151.0,1.4,89.0,1.4
2026-04-14 09:00:00,2026,4,14,9,Cà Mau,Xã Hưng Mỹ,9.0017723,104.9994014,48.0,Good,0.0,30.0,67,0.0,9.0,151,1011.9,34,13.2,17.0,150.0,1.1,94.0,1.4
2026-04-14 10:00:00,2026,4,14,10,Cà Mau,Xã Hưng Mỹ,9.0017723,104.9994014,48.0,Good,0.0,31.8,60,0.0,8.4,149,1011.7,28,13.7,17.6,150.0,0.8,97.0,1.4
2026-04-14 11:00:00,2026,4,14,11,Cà Mau,Xã Hưng Mỹ,9.0017723,104.9994014,49.0,Good,0.0,33.4,54,0.0,7.7,152,1011.3,45,13.8,17.8,154.0,0.7,98.0,1.3
