timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Cần Thơ,Phường Ngã Năm,9.5814914,105.6074517,89.0,Moderate,1.0,27.9,79,0.0,6.8,183,1009.1,43,28.8,31.1,189.0,13.8,56.0,4.9
2026-04-14 22:00:00,2026,4,14,22,Cần Thơ,Phường Ngã Năm,9.5814914,105.6074517,89.0,Moderate,1.0,27.3,83,0.0,6.1,183,1009.3,36,28.6,30.9,189.0,13.0,53.0,4.6
2026-04-14 23:00:00,2026,4,14,23,Cần Thơ,Phường Ngã Năm,9.5814914,105.6074517,89.0,Moderate,1.0,26.9,86,0.0,5.8,180,1009.3,35,29.1,31.4,190.0,12.7,52.0,4.2
2026-04-15 00:00:00,2026,4,15,0,Cần Thơ,Phường Ngã Năm,9.5814914,105.6074517,89.0,Moderate,1.0,26.5,88,0.0,5.8,180,1009.2,33,29.1,31.4,192.0,12.8,52.0,3.7
2026-04-15 01:00:00,2026,4,15,1,Cần Thơ,Phường Ngã Năm,9.5814914,105.6074517,88.0,Moderate,1.0,26.4,88,0.0,4.7,180,1008.3,39,29.5,31.8,192.0,13.6,52.0,3.5
2026-04-15 02:00:00,2026,4,15,2,Cần Thơ,Phường Ngã Năm,9.5814914,105.6074517,88.0,Moderate,1.0,26.0,90,0.0,4.7,189,1007.6,38,31.2,33.6,188.0,15.9,49.0,3.7
2026-04-15 03:00:00,2026,4,15,3,Cần Thơ,Phường Ngã Năm,9.5814914,105.6074517,88.0,Moderate,1.0,25.7,91,0.0,4.9,197,1007.3,34,35.7,38.5,183.0,18.8,46.0,4.1
2026-04-15 04:00:00,2026,4,15,4,Cần Thơ,Phường Ngã Năm,9.5814914,105.6074517,88.0,Moderate,1.0,25.5,92,0.0,5.0,201,1007.4,51,42.7,45.8,182.0,20.5,44.0,4.5
2026-04-15 05:00:00,2026,4,15,5,Cần Thơ,Phường Ngã Năm,9.5814914,105.6074517,87.0,Moderate,1.0,25.3,92,0.0,5.2,205,1008.1,51,45.8,48.8,193.0,20.1,43.0,5.0
2026-04-15 06:00:00,2026,4,15,6,Cần Thơ,Phường Ngã Năm,9.5814914,105.6074517,86.0,Moderate,1.0,25.2,92,0.0,4.8,207,1008.2,44,44.4,47.3,209.0,18.5,45.0,5.6
2026-04-15 07:00:00,2026,4,15,7,Cần Thơ,Phường Ngã Năm,9.5814914,105.6074517,84.0,Moderate,1.0,26.5,89,0.0,4.2,200,1009.2,56,39.6,42.3,216.0,15.8,50.0,5.6
