timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 09:00:00,2026,4,14,9,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,85.0,Moderate,1.0,29.7,69,0.0,8.7,163,1012.0,48,19.4,23.9,160.0,8.2,82.0,3.5
2026-04-14 10:00:00,2026,4,14,10,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,86.0,Moderate,1.0,31.0,63,0.0,8.9,153,1011.7,53,19.4,23.3,157.0,1.9,100.0,1.8
2026-04-14 11:00:00,2026,4,14,11,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,86.0,Moderate,1.0,32.0,59,0.0,9.8,152,1011.3,50,18.9,21.7,157.0,0.1,107.0,1.3
2026-04-14 12:00:00,2026,4,14,12,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,87.0,Moderate,1.0,32.9,55,0.0,10.3,151,1010.4,36,19.3,21.7,158.0,0.7,109.0,1.5
2026-04-14 13:00:00,2026,4,14,13,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,87.0,Moderate,1.0,33.3,53,0.0,11.3,149,1009.5,66,18.3,20.4,159.0,1.4,109.0,1.6
2026-04-14 14:00:00,2026,4,14,14,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,88.0,Moderate,1.0,33.5,52,0.0,12.9,150,1008.6,46,18.0,20.1,157.0,1.3,110.0,1.5
2026-04-14 15:00:00,2026,4,14,15,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,88.0,Moderate,1.0,33.0,54,0.0,14.2,153,1008.0,40,19.6,21.7,155.0,1.3,110.0,1.5
2026-04-14 16:00:00,2026,4,14,16,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,89.0,Moderate,1.0,32.3,55,0.0,14.3,155,1007.6,22,17.8,19.7,154.0,2.3,106.0,1.7
2026-04-14 17:00:00,2026,4,14,17,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,89.0,Moderate,1.0,31.3,57,0.0,14.3,152,1007.7,0,18.7,20.6,157.0,5.3,94.0,2.4
2026-04-14 18:00:00,2026,4,14,18,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,89.0,Moderate,1.0,29.8,63,0.0,13.5,151,1007.8,0,24.6,26.1,161.0,9.2,78.0,3.4
2026-04-14 19:00:00,2026,4,14,19,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,90.0,Moderate,1.0,28.7,70,0.0,10.2,157,1008.5,0,26.7,28.1,166.0,12.2,66.0,4.1
2026-04-14 20:00:00,2026,4,14,20,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,89.0,Moderate,1.0,27.9,75,0.0,7.2,177,1008.7,0,26.3,28.2,171.0,13.1,60.0,4.5
2026-04-14 21:00:00,2026,4,14,21,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,89.0,Moderate,1.0,27.4,80,0.0,6.3,193,1009.2,23,26.7,28.8,176.0,13.1,57.0,4.6
2026-04-14 22:00:00,2026,4,14,22,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,89.0,Moderate,1.0,27.0,83,0.0,6.4,196,1009.4,24,27.8,29.9,179.0,12.9,56.0,4.6
2026-04-14 23:00:00,2026,4,14,23,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,89.0,Moderate,1.0,26.7,84,0.0,5.7,198,1009.7,27,28.5,30.7,178.0,12.7,56.0,4.3
2026-04-15 00:00:00,2026,4,15,0,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,89.0,Moderate,1.0,26.4,87,0.0,5.0,201,1009.5,41,28.5,30.9,175.0,12.5,56.0,3.8
2026-04-15 01:00:00,2026,4,15,1,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,89.0,Moderate,1.0,26.2,88,0.0,4.2,200,1009.0,57,28.5,30.9,173.0,12.8,56.0,3.5
2026-04-15 02:00:00,2026,4,15,2,Cần Thơ,Xã Phú Lộc,9.4351088,105.7112648,88.0,Moderate,1.0,26.0,88,0.0,4.7,212,1008.5,62,29.3,31.7,173.0,14.2,53.0,3.5
