timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 01:00:00,2026,4,14,1,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,152.0,Unhealthy,3.0,23.9,75,0.0,4.4,261,974.3,21,70.3,82.2,475.0,12.4,119.0,10.9
2026-04-14 02:00:00,2026,4,14,2,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,153.0,Unhealthy,3.0,23.7,78,0.0,3.7,259,973.8,27,72.6,83.4,428.0,11.5,119.0,11.7
2026-04-14 03:00:00,2026,4,14,3,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,153.0,Unhealthy,3.0,23.8,79,0.0,3.0,256,973.6,15,73.3,82.4,388.0,10.8,117.0,12.4
2026-04-14 04:00:00,2026,4,14,4,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,153.0,Unhealthy,3.0,23.5,80,0.0,2.4,243,973.8,14,72.9,81.0,359.0,10.4,113.0,12.7
2026-04-14 05:00:00,2026,4,14,5,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,153.0,Unhealthy,3.0,23.2,80,0.0,2.8,230,974.6,15,72.4,79.6,348.0,11.0,101.0,12.1
2026-04-14 06:00:00,2026,4,14,6,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,153.0,Unhealthy,3.0,23.2,79,0.0,3.1,225,974.9,0,72.2,78.9,349.0,11.9,87.0,11.2
2026-04-14 07:00:00,2026,4,14,7,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,153.0,Unhealthy,3.0,25.3,76,0.0,1.8,217,975.8,30,69.4,74.0,353.0,11.6,86.0,10.9
2026-04-14 08:00:00,2026,4,14,8,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,152.0,Unhealthy,3.0,26.5,72,0.0,3.6,135,976.4,24,55.5,60.8,359.0,8.9,109.0,12.4
2026-04-14 09:00:00,2026,4,14,9,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,152.0,Unhealthy,3.0,27.8,69,0.0,4.3,138,976.8,36,44.7,50.2,369.0,5.1,144.0,14.6
2026-04-14 10:00:00,2026,4,14,10,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,151.0,Unhealthy,3.0,29.6,63,0.0,5.6,140,976.7,35,47.3,53.8,374.0,2.2,171.0,15.6
2026-04-14 11:00:00,2026,4,14,11,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,150.0,Unhealthy for Sensitive Groups,2.0,31.2,57,0.0,6.5,177,976.2,56,51.8,60.3,372.0,1.2,180.0,14.1
2026-04-14 12:00:00,2026,4,14,12,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,150.0,Unhealthy for Sensitive Groups,2.0,32.5,49,0.0,9.1,187,975.3,41,49.7,58.8,367.0,1.2,181.0,11.3
2026-04-14 13:00:00,2026,4,14,13,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,150.0,Unhealthy for Sensitive Groups,2.0,33.3,46,0.0,11.1,205,974.1,27,42.6,51.0,357.0,1.3,179.0,8.9
2026-04-14 14:00:00,2026,4,14,14,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,150.0,Unhealthy for Sensitive Groups,2.0,33.7,44,0.0,12.8,212,972.7,0,38.3,46.0,334.0,0.9,177.0,7.2
2026-04-14 15:00:00,2026,4,14,15,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,150.0,Unhealthy for Sensitive Groups,2.0,33.8,41,0.0,13.3,213,971.7,0,36.0,43.4,307.0,0.7,174.0,5.9
2026-04-14 16:00:00,2026,4,14,16,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,150.0,Unhealthy for Sensitive Groups,2.0,33.3,40,0.0,12.7,215,971.3,0,35.4,42.8,307.0,1.6,167.0,5.1
2026-04-14 17:00:00,2026,4,14,17,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,156.0,Unhealthy,3.0,32.2,44,0.0,11.8,200,971.1,0,37.1,44.2,353.0,4.7,156.0,5.2
2026-04-14 18:00:00,2026,4,14,18,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,158.0,Unhealthy,3.0,30.2,54,0.0,6.1,177,971.4,0,40.5,47.6,426.0,9.0,141.0,6.0
2026-04-14 19:00:00,2026,4,14,19,Cao Bằng,Xã Nam Tuấn,22.784338,106.1116731,154.0,Unhealthy,3.0,28.1,63,0.0,5.1,176,972.1,5,44.6,51.9,496.0,12.2,130.0,6.8
