timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 01:00:00,2026,4,14,1,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,95.0,Moderate,1.0,26.9,95,0.0,2.3,162,1006.9,60,20.8,24.6,334.0,14.5,62.0,3.2
2026-04-14 02:00:00,2026,4,14,2,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,95.0,Moderate,1.0,26.9,94,0.0,2.7,157,1006.3,76,22.0,25.7,374.0,15.6,55.0,3.4
2026-04-14 03:00:00,2026,4,14,3,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,94.0,Moderate,1.0,26.9,92,0.0,2.6,164,1006.2,73,24.2,27.9,423.0,17.2,49.0,3.6
2026-04-14 04:00:00,2026,4,14,4,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,93.0,Moderate,1.0,26.9,91,0.0,2.6,164,1006.5,70,26.8,30.3,472.0,18.5,48.0,3.8
2026-04-14 05:00:00,2026,4,14,5,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,93.0,Moderate,1.0,26.8,91,0.0,2.6,146,1007.0,67,29.3,32.7,532.0,19.5,52.0,4.0
2026-04-14 06:00:00,2026,4,14,6,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,92.0,Moderate,1.0,26.7,92,0.0,2.6,146,1007.5,73,31.8,35.4,592.0,20.2,62.0,4.2
2026-04-14 07:00:00,2026,4,14,7,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,91.0,Moderate,1.0,27.9,86,0.0,3.3,139,1008.3,40,36.2,40.5,612.0,19.4,83.0,4.4
2026-04-14 08:00:00,2026,4,14,8,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,91.0,Moderate,1.0,29.3,82,0.0,4.8,117,1009.1,27,38.8,43.8,562.0,15.9,124.0,4.8
2026-04-14 09:00:00,2026,4,14,9,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,89.0,Moderate,1.0,30.9,76,0.0,6.0,107,1009.4,44,40.0,45.5,472.0,10.9,176.0,5.3
2026-04-14 09:00:00,2026,4,14,9,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,98.0,Moderate,1.0,30.2,79,0.0,5.4,110,1010.2,77,46.1,50.5,472.0,11.6,180.0,5.6
2026-04-14 10:00:00,2026,4,14,10,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,88.0,Moderate,1.0,32.6,70,0.0,7.3,101,1009.2,54,40.2,45.8,395.0,7.1,218.0,5.5
2026-04-14 10:00:00,2026,4,14,10,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,97.0,Moderate,1.0,31.8,75,0.0,6.2,100,1009.8,74,43.4,47.7,395.0,6.9,220.0,5.8
2026-04-14 11:00:00,2026,4,14,11,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,97.0,Moderate,1.0,33.2,69,0.0,7.6,95,1009.1,63,39.5,44.1,349.0,5.1,241.0,5.3
2026-04-14 11:00:00,2026,4,14,11,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,87.0,Moderate,1.0,33.9,67,0.0,9.4,92,1008.8,54,39.8,45.1,349.0,5.5,241.0,5.1
2026-04-14 12:00:00,2026,4,14,12,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,104.0,Unhealthy for Sensitive Groups,2.0,34.5,62,0.0,11.2,88,1008.4,24,35.5,40.6,314.0,4.8,252.0,4.3
2026-04-14 12:00:00,2026,4,14,12,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,106.0,Unhealthy for Sensitive Groups,2.0,34.8,60,0.0,13.3,88,1008.1,11,36.9,42.1,314.0,4.9,254.0,4.3
2026-04-14 13:00:00,2026,4,14,13,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,128.0,Unhealthy for Sensitive Groups,2.0,34.7,59,0.0,14.6,80,1007.4,5,31.1,35.9,288.0,5.0,253.0,3.4
2026-04-14 13:00:00,2026,4,14,13,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,124.0,Unhealthy for Sensitive Groups,2.0,35.0,57,0.0,14.3,78,1007.0,0,32.9,38.0,288.0,5.0,256.0,3.5
2026-04-14 14:00:00,2026,4,14,14,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,165.0,Unhealthy,3.0,34.3,57,0.0,15.4,79,1006.8,0,27.7,32.0,268.0,5.7,243.0,2.7
2026-04-14 14:00:00,2026,4,14,14,Đà Nẵng,Phường An Thắng,15.9059975,108.2253705,163.0,Unhealthy,3.0,34.7,57,0.0,16.0,82,1006.2,0,31.5,35.9,268.0,5.5,246.0,2.8
