timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Đà Nẵng,Phường Hội An,15.8795863,108.3319406,173.0,Unhealthy,3.0,26.9,90,0.0,3.2,63,1006.9,15,18.7,22.1,301.0,12.5,81.0,2.8
2026-04-14 22:00:00,2026,4,14,22,Đà Nẵng,Phường Hội An,15.8795863,108.3319406,142.0,Unhealthy for Sensitive Groups,2.0,26.6,92,0.0,2.6,74,1006.9,28,19.7,23.0,316.0,13.5,70.0,3.0
2026-04-14 23:00:00,2026,4,14,23,Đà Nẵng,Phường Hội An,15.8795863,108.3319406,102.0,Unhealthy for Sensitive Groups,2.0,26.4,94,0.0,2.5,90,1006.9,32,20.5,23.7,318.0,14.8,61.0,3.1
2026-04-15 00:00:00,2026,4,15,0,Đà Nẵng,Phường Hội An,15.8795863,108.3319406,99.0,Moderate,1.0,26.1,95,0.0,2.3,108,1006.1,9,22.1,24.9,313.0,16.4,54.0,3.1
2026-04-15 01:00:00,2026,4,15,1,Đà Nẵng,Phường Hội An,15.8795863,108.3319406,99.0,Moderate,1.0,26.0,97,0.0,1.8,127,1005.5,13,23.9,26.5,305.0,18.0,47.0,3.1
2026-04-15 02:00:00,2026,4,15,2,Đà Nẵng,Phường Hội An,15.8795863,108.3319406,99.0,Moderate,1.0,25.8,97,0.0,2.1,121,1004.8,38,26.2,28.7,293.0,20.2,39.0,3.1
2026-04-15 03:00:00,2026,4,15,3,Đà Nẵng,Phường Hội An,15.8795863,108.3319406,99.0,Moderate,1.0,25.6,97,0.0,2.8,140,1004.5,46,28.9,31.2,278.0,22.4,31.0,3.0
2026-04-15 04:00:00,2026,4,15,4,Đà Nẵng,Phường Hội An,15.8795863,108.3319406,98.0,Moderate,1.0,25.5,97,0.0,2.5,135,1004.7,47,31.3,33.5,267.0,23.0,31.0,3.2
2026-04-15 05:00:00,2026,4,15,5,Đà Nẵng,Phường Hội An,15.8795863,108.3319406,98.0,Moderate,1.0,25.5,96,0.0,3.1,135,1005.3,55,33.3,35.5,265.0,20.9,41.0,3.8
2026-04-15 06:00:00,2026,4,15,6,Đà Nẵng,Phường Hội An,15.8795863,108.3319406,98.0,Moderate,1.0,25.5,95,0.0,2.8,130,1006.1,68,36.1,38.4,267.0,17.3,58.0,4.7
