timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 01:00:00,2026,4,14,1,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,123.0,Unhealthy for Sensitive Groups,2.0,25.9,97,0.0,3.6,143,1007.2,81,44.9,48.4,232.0,21.7,45.0,7.4
2026-04-14 02:00:00,2026,4,14,2,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,122.0,Unhealthy for Sensitive Groups,2.0,25.8,96,0.0,3.6,143,1006.7,74,51.5,54.8,235.0,25.0,32.0,7.0
2026-04-14 03:00:00,2026,4,14,3,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,121.0,Unhealthy for Sensitive Groups,2.0,25.8,97,0.0,3.6,143,1006.6,86,57.3,60.5,236.0,28.7,18.0,6.6
2026-04-14 04:00:00,2026,4,14,4,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,121.0,Unhealthy for Sensitive Groups,2.0,25.9,97,0.0,3.8,139,1006.9,88,61.2,63.8,238.0,30.1,16.0,6.3
2026-04-14 05:00:00,2026,4,14,5,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,120.0,Unhealthy for Sensitive Groups,2.0,25.9,96,0.0,3.8,131,1007.4,89,64.5,66.6,246.0,27.8,30.0,6.1
2026-04-14 06:00:00,2026,4,14,6,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,120.0,Unhealthy for Sensitive Groups,2.0,26.0,96,0.0,4.1,135,1007.9,86,67.5,69.6,257.0,23.4,56.0,6.0
2026-04-14 07:00:00,2026,4,14,7,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,120.0,Unhealthy for Sensitive Groups,2.0,26.9,94,0.0,5.1,135,1008.7,79,67.1,69.2,262.0,18.7,86.0,6.0
2026-04-14 08:00:00,2026,4,14,8,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,121.0,Unhealthy for Sensitive Groups,2.0,28.5,89,0.0,5.5,122,1009.5,61,50.5,53.2,259.0,13.9,123.0,6.4
2026-04-14 09:00:00,2026,4,14,9,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,121.0,Unhealthy for Sensitive Groups,2.0,30.4,82,0.0,6.6,112,1009.8,50,46.4,49.5,251.0,8.8,165.0,7.0
2026-04-14 10:00:00,2026,4,14,10,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,121.0,Unhealthy for Sensitive Groups,2.0,32.1,74,0.0,8.3,108,1009.7,48,45.3,48.3,241.0,5.1,200.0,7.3
2026-04-14 11:00:00,2026,4,14,11,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,121.0,Unhealthy for Sensitive Groups,2.0,33.7,66,0.0,10.4,104,1009.2,53,43.4,46.6,231.0,3.8,226.0,6.9
2026-04-14 12:00:00,2026,4,14,12,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,121.0,Unhealthy for Sensitive Groups,2.0,34.6,61,0.0,14.7,101,1008.6,12,41.3,44.2,220.0,3.9,245.0,6.2
2026-04-14 13:00:00,2026,4,14,13,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,121.0,Unhealthy for Sensitive Groups,2.0,34.9,59,0.0,14.8,96,1007.4,0,39.0,41.6,208.0,4.1,252.0,5.6
2026-04-14 14:00:00,2026,4,14,14,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,153.0,Unhealthy,3.0,34.5,61,0.0,15.6,98,1006.6,0,35.9,38.2,193.0,4.0,242.0,5.2
2026-04-14 15:00:00,2026,4,14,15,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,183.0,Unhealthy,3.0,34.0,60,0.0,16.4,105,1005.8,100,32.4,34.7,178.0,4.1,220.0,4.8
2026-04-14 16:00:00,2026,4,14,16,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,202.0,Very Unhealthy,4.0,33.2,61,0.0,12.9,117,1005.7,100,29.2,31.4,169.0,4.5,195.0,4.7
2026-04-14 17:00:00,2026,4,14,17,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,207.0,Very Unhealthy,4.0,31.9,65,0.0,8.4,115,1005.8,100,27.1,29.5,172.0,5.3,170.0,4.8
2026-04-14 18:00:00,2026,4,14,18,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,207.0,Very Unhealthy,4.0,30.4,71,0.0,5.7,108,1006.1,100,26.4,28.8,182.0,6.5,142.0,5.0
2026-04-14 19:00:00,2026,4,14,19,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,203.0,Very Unhealthy,4.0,29.2,78,0.0,3.8,73,1006.7,100,27.7,30.5,192.0,8.3,117.0,5.5
2026-04-14 20:00:00,2026,4,14,20,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,190.0,Unhealthy,3.0,28.1,84,0.0,3.7,61,1007.0,100,30.9,34.0,201.0,10.9,97.0,6.4
2026-04-14 21:00:00,2026,4,14,21,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,166.0,Unhealthy,3.0,27.4,87,0.0,2.9,83,1007.4,68,33.9,37.0,210.0,14.0,81.0,7.5
2026-04-14 22:00:00,2026,4,14,22,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,135.0,Unhealthy for Sensitive Groups,2.0,27.0,90,0.0,2.5,98,1007.3,50,38.4,41.6,217.0,17.1,66.0,8.2
2026-04-14 23:00:00,2026,4,14,23,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,119.0,Unhealthy for Sensitive Groups,2.0,26.5,92,0.0,3.1,111,1006.9,31,43.4,46.6,219.0,20.0,53.0,8.3
2026-04-15 00:00:00,2026,4,15,0,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,120.0,Unhealthy for Sensitive Groups,2.0,26.0,94,0.0,3.3,131,1006.5,40,48.2,51.3,218.0,22.9,42.0,8.1
2026-04-15 01:00:00,2026,4,15,1,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,121.0,Unhealthy for Sensitive Groups,2.0,25.7,95,0.0,2.9,120,1006.2,52,52.6,55.5,219.0,25.2,33.0,7.6
2026-04-15 02:00:00,2026,4,15,2,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,122.0,Unhealthy for Sensitive Groups,2.0,25.6,95,0.0,3.9,124,1006.0,59,56.2,58.2,225.0,27.2,23.0,6.8
2026-04-15 03:00:00,2026,4,15,3,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,122.0,Unhealthy for Sensitive Groups,2.0,25.5,95,0.0,4.1,128,1005.7,77,58.2,60.3,233.0,28.8,14.0,5.7
2026-04-15 04:00:00,2026,4,15,4,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,122.0,Unhealthy for Sensitive Groups,2.0,25.4,95,0.0,3.6,127,1005.8,70,59.4,61.2,240.0,28.6,15.0,4.9
2026-04-15 05:00:00,2026,4,15,5,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,122.0,Unhealthy for Sensitive Groups,2.0,25.3,96,0.0,4.1,128,1006.2,68,59.4,61.2,247.0,25.8,29.0,4.7
2026-04-15 06:00:00,2026,4,15,6,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,122.0,Unhealthy for Sensitive Groups,2.0,25.3,96,0.0,2.9,120,1007.0,70,61.2,63.3,252.0,21.4,52.0,4.8
2026-04-15 07:00:00,2026,4,15,7,Đà Nẵng,Xã Thăng An,15.7721507,108.4033532,121.0,Unhealthy for Sensitive Groups,2.0,26.4,91,0.0,3.7,119,1007.9,90,60.8,62.6,252.0,16.9,80.0,5.0
