timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Đắk Lắk,Phường Tân An,12.7269309,108.1133392,150.0,Unhealthy for Sensitive Groups,2.0,25.9,78,1.1,2.8,140,949.2,100,59.5,60.5,547.0,12.0,84.0,9.6
2026-04-14 22:00:00,2026,4,14,22,Đắk Lắk,Phường Tân An,12.7269309,108.1133392,150.0,Unhealthy for Sensitive Groups,2.0,25.3,83,0.3,3.7,151,948.9,100,58.2,59.1,499.0,12.0,77.0,10.0
2026-04-14 23:00:00,2026,4,14,23,Đắk Lắk,Phường Tân An,12.7269309,108.1133392,150.0,Unhealthy for Sensitive Groups,2.0,25.1,86,0.0,4.1,142,948.7,100,57.2,58.2,466.0,11.5,75.0,10.0
2026-04-15 00:00:00,2026,4,15,0,Đắk Lắk,Phường Tân An,12.7269309,108.1133392,150.0,Unhealthy for Sensitive Groups,2.0,24.8,89,0.0,4.7,122,948.3,99,57.0,58.2,434.0,10.5,76.0,9.8
2026-04-15 01:00:00,2026,4,15,1,Đắk Lắk,Phường Tân An,12.7269309,108.1133392,150.0,Unhealthy for Sensitive Groups,2.0,24.8,89,0.0,5.4,110,947.8,84,58.1,59.3,405.0,10.0,74.0,9.4
2026-04-15 02:00:00,2026,4,15,2,Đắk Lắk,Phường Tân An,12.7269309,108.1133392,150.0,Unhealthy for Sensitive Groups,2.0,24.8,90,0.0,5.4,110,947.1,75,60.3,61.5,378.0,10.4,64.0,8.8
2026-04-15 03:00:00,2026,4,15,3,Đắk Lắk,Phường Tân An,12.7269309,108.1133392,151.0,Unhealthy,3.0,24.8,90,0.0,5.4,110,946.6,84,60.8,61.7,355.0,11.1,51.0,8.1
2026-04-15 04:00:00,2026,4,15,4,Đắk Lắk,Phường Tân An,12.7269309,108.1133392,151.0,Unhealthy,3.0,24.8,90,0.0,5.0,111,946.8,73,61.5,62.2,344.0,11.6,44.0,7.8
2026-04-15 05:00:00,2026,4,15,5,Đắk Lắk,Phường Tân An,12.7269309,108.1133392,151.0,Unhealthy,3.0,24.9,90,0.0,4.8,103,947.4,71,62.2,62.9,357.0,11.7,46.0,8.4
2026-04-15 06:00:00,2026,4,15,6,Đắk Lắk,Phường Tân An,12.7269309,108.1133392,151.0,Unhealthy,3.0,25.0,89,0.0,4.7,99,947.8,86,63.8,64.5,381.0,11.4,55.0,9.4
2026-04-15 07:00:00,2026,4,15,7,Đắk Lắk,Phường Tân An,12.7269309,108.1133392,151.0,Unhealthy,3.0,26.2,87,0.0,4.7,94,948.7,85,65.4,66.4,388.0,10.4,70.0,9.9
2026-04-15 08:00:00,2026,4,15,8,Đắk Lắk,Phường Tân An,12.7269309,108.1133392,151.0,Unhealthy,3.0,28.1,77,0.0,2.3,108,949.7,72,63.3,64.3,358.0,7.9,97.0,9.3
