timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 23:00:00,2026,4,13,23,Đắk Lắk,Xã Cuôr Đăng,12.7754073,108.1770878,97.0,Moderate,1.0,25.6,84,0.0,6.0,115,939.7,100,38.1,38.6,510.0,9.9,62.0,7.7
2026-04-14 00:00:00,2026,4,14,0,Đắk Lắk,Xã Cuôr Đăng,12.7754073,108.1770878,97.0,Moderate,1.0,25.4,86,0.0,5.2,115,939.2,100,37.0,37.6,453.0,10.0,56.0,7.2
2026-04-14 01:00:00,2026,4,14,1,Đắk Lắk,Xã Cuôr Đăng,12.7754073,108.1770878,96.0,Moderate,1.0,25.2,88,0.0,4.2,110,938.7,100,36.0,36.6,398.0,10.2,50.0,6.8
2026-04-14 02:00:00,2026,4,14,2,Đắk Lắk,Xã Cuôr Đăng,12.7754073,108.1770878,96.0,Moderate,1.0,24.9,89,0.0,4.8,103,938.2,100,35.3,35.9,349.0,10.8,42.0,6.6
2026-04-14 03:00:00,2026,4,14,3,Đắk Lắk,Xã Cuôr Đăng,12.7754073,108.1770878,95.0,Moderate,1.0,24.7,89,0.0,5.2,106,937.9,100,35.2,35.6,302.0,11.5,34.0,6.5
2026-04-14 04:00:00,2026,4,14,4,Đắk Lắk,Xã Cuôr Đăng,12.7754073,108.1770878,95.0,Moderate,1.0,24.6,89,0.0,5.4,110,938.2,100,35.3,35.7,275.0,11.9,32.0,6.7
2026-04-14 05:00:00,2026,4,14,5,Đắk Lắk,Xã Cuôr Đăng,12.7754073,108.1770878,94.0,Moderate,1.0,24.5,89,0.0,5.4,110,938.6,80,36.0,36.3,290.0,11.9,39.0,7.5
2026-04-14 06:00:00,2026,4,14,6,Đắk Lắk,Xã Cuôr Đăng,12.7754073,108.1770878,94.0,Moderate,1.0,24.4,89,0.0,4.9,107,939.1,82,37.7,38.1,325.0,11.4,53.0,8.6
2026-04-14 07:00:00,2026,4,14,7,Đắk Lắk,Xã Cuôr Đăng,12.7754073,108.1770878,94.0,Moderate,1.0,25.9,88,0.0,3.8,107,940.1,79,39.5,39.9,342.0,10.3,72.0,9.1
2026-04-14 08:00:00,2026,4,14,8,Đắk Lắk,Xã Cuôr Đăng,12.7754073,108.1770878,95.0,Moderate,1.0,27.9,75,0.0,1.1,180,941.1,60,36.3,37.1,316.0,7.8,101.0,8.6
