timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Đắk Lắk,Xã Dray Bhăng,12.5441124,108.1717212,143.0,Unhealthy for Sensitive Groups,2.0,26.5,79,0.1,3.7,259,958.0,100,57.5,58.4,322.0,18.3,54.0,9.4
2026-04-14 22:00:00,2026,4,14,22,Đắk Lắk,Xã Dray Bhăng,12.5441124,108.1717212,143.0,Unhealthy for Sensitive Groups,2.0,25.8,84,0.0,2.6,254,957.8,100,61.7,62.4,304.0,19.7,42.0,9.7
2026-04-14 23:00:00,2026,4,14,23,Đắk Lắk,Xã Dray Bhăng,12.5441124,108.1717212,144.0,Unhealthy for Sensitive Groups,2.0,25.4,85,0.0,2.9,180,957.7,100,63.8,64.5,293.0,21.4,32.0,9.2
2026-04-15 00:00:00,2026,4,15,0,Đắk Lắk,Xã Dray Bhăng,12.5441124,108.1717212,145.0,Unhealthy for Sensitive Groups,2.0,25.2,86,0.0,3.1,159,957.2,96,64.5,65.2,283.0,22.9,24.0,8.2
2026-04-15 01:00:00,2026,4,15,1,Đắk Lắk,Xã Dray Bhăng,12.5441124,108.1717212,146.0,Unhealthy for Sensitive Groups,2.0,24.9,87,0.0,3.1,159,956.7,56,64.5,65.2,277.0,23.2,19.0,7.1
2026-04-15 02:00:00,2026,4,15,2,Đắk Lắk,Xã Dray Bhăng,12.5441124,108.1717212,147.0,Unhealthy for Sensitive Groups,2.0,24.7,87,0.0,3.1,159,956.0,46,61.9,62.4,278.0,21.6,16.0,5.8
2026-04-15 03:00:00,2026,4,15,3,Đắk Lắk,Xã Dray Bhăng,12.5441124,108.1717212,148.0,Unhealthy for Sensitive Groups,2.0,24.4,88,0.0,3.2,153,955.6,53,59.0,59.5,284.0,18.8,16.0,4.3
2026-04-15 04:00:00,2026,4,15,4,Đắk Lắk,Xã Dray Bhăng,12.5441124,108.1717212,149.0,Unhealthy for Sensitive Groups,2.0,24.2,89,0.0,3.1,144,955.6,54,56.3,56.8,288.0,16.2,21.0,3.3
2026-04-15 05:00:00,2026,4,15,5,Đắk Lắk,Xã Dray Bhăng,12.5441124,108.1717212,150.0,Unhealthy for Sensitive Groups,2.0,24.0,90,0.0,3.3,139,956.2,55,53.8,54.1,289.0,14.4,32.0,3.1
2026-04-15 06:00:00,2026,4,15,6,Đắk Lắk,Xã Dray Bhăng,12.5441124,108.1717212,150.0,Unhealthy for Sensitive Groups,2.0,23.8,92,0.0,3.1,135,956.6,62,52.4,52.7,288.0,12.8,48.0,3.3
2026-04-15 07:00:00,2026,4,15,7,Đắk Lắk,Xã Dray Bhăng,12.5441124,108.1717212,150.0,Unhealthy for Sensitive Groups,2.0,25.5,90,0.0,2.3,129,957.5,81,50.8,51.2,282.0,10.8,68.0,3.5
