timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,89.0,Moderate,1.0,24.6,87,0.0,1.5,256,988.5,0,14.8,18.1,224.0,11.8,69.0,2.0
2026-04-14 22:00:00,2026,4,14,22,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,82.0,Moderate,1.0,24.0,89,0.0,2.9,277,988.4,0,17.1,20.4,248.0,13.6,64.0,2.3
2026-04-14 23:00:00,2026,4,14,23,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,82.0,Moderate,1.0,23.2,93,0.0,3.3,276,988.3,0,19.8,23.1,253.0,15.7,58.0,2.5
2026-04-15 00:00:00,2026,4,15,0,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,82.0,Moderate,1.0,22.5,96,0.0,3.2,270,987.9,41,22.6,25.6,248.0,17.8,54.0,2.5
2026-04-15 01:00:00,2026,4,15,1,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,81.0,Moderate,1.0,22.1,97,0.0,3.3,257,987.4,62,26.0,29.0,241.0,18.8,50.0,2.4
2026-04-15 02:00:00,2026,4,15,2,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,81.0,Moderate,1.0,21.9,96,0.0,3.0,256,986.8,99,25.4,27.9,234.0,17.9,47.0,1.9
2026-04-15 03:00:00,2026,4,15,3,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,81.0,Moderate,1.0,21.7,97,0.0,2.6,254,986.5,100,27.9,30.3,226.0,15.9,45.0,1.3
2026-04-15 04:00:00,2026,4,15,4,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,81.0,Moderate,1.0,21.6,97,0.0,2.5,262,986.8,86,28.1,30.5,221.0,13.8,46.0,0.8
2026-04-15 05:00:00,2026,4,15,5,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,81.0,Moderate,1.0,21.4,97,0.0,2.6,254,987.5,77,28.9,30.7,221.0,11.9,48.0,0.6
2026-04-15 06:00:00,2026,4,15,6,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,81.0,Moderate,1.0,21.6,97,0.0,2.6,254,987.9,80,30.2,31.7,223.0,9.8,54.0,0.5
2026-04-15 07:00:00,2026,4,15,7,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,81.0,Moderate,1.0,24.4,93,0.0,0.7,180,988.7,56,30.9,32.0,224.0,7.9,66.0,0.6
2026-04-15 08:00:00,2026,4,15,8,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,80.0,Moderate,1.0,26.5,82,0.0,3.9,124,989.4,51,28.9,29.8,226.0,6.1,92.0,0.9
2026-04-15 09:00:00,2026,4,15,9,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,80.0,Moderate,1.0,28.5,73,0.0,5.3,118,989.9,65,29.5,30.5,226.0,4.4,126.0,1.4
2026-04-15 10:00:00,2026,4,15,10,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,79.0,Moderate,1.0,30.1,68,0.0,7.1,105,989.5,94,31.8,33.1,221.0,3.2,151.0,1.7
2026-04-15 11:00:00,2026,4,15,11,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,78.0,Moderate,1.0,31.4,63,0.0,10.2,113,989.0,92,32.1,36.0,204.0,2.6,162.0,1.7
2026-04-15 12:00:00,2026,4,15,12,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,78.0,Moderate,1.0,32.2,59,0.0,12.6,110,988.1,73,28.6,32.8,181.0,2.4,166.0,1.6
2026-04-15 13:00:00,2026,4,15,13,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,77.0,Moderate,1.0,32.6,57,0.0,13.1,122,987.2,46,27.0,31.5,162.0,2.4,164.0,1.5
2026-04-15 14:00:00,2026,4,15,14,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,77.0,Moderate,1.0,32.2,55,0.0,13.8,118,986.2,53,23.8,28.3,152.0,2.3,157.0,1.3
2026-04-15 15:00:00,2026,4,15,15,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,97.0,Moderate,1.0,31.5,54,0.0,11.0,128,985.9,48,20.8,24.9,146.0,2.4,144.0,1.1
2026-04-15 16:00:00,2026,4,15,16,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,114.0,Unhealthy for Sensitive Groups,2.0,30.6,55,0.0,10.0,128,985.9,100,17.5,21.4,146.0,2.9,129.0,1.0
2026-04-15 17:00:00,2026,4,15,17,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,122.0,Unhealthy for Sensitive Groups,2.0,29.4,59,0.0,5.7,108,986.4,100,14.1,17.8,152.0,4.0,111.0,1.0
2026-04-15 18:00:00,2026,4,15,18,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,118.0,Unhealthy for Sensitive Groups,2.0,27.6,65,0.0,6.3,121,987.2,100,12.6,16.4,164.0,5.6,92.0,1.1
2026-04-15 19:00:00,2026,4,15,19,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,106.0,Unhealthy for Sensitive Groups,2.0,26.0,74,0.0,4.2,121,987.8,100,12.0,15.7,181.0,7.1,76.0,1.2
2026-04-15 20:00:00,2026,4,15,20,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,88.0,Moderate,1.0,25.1,81,0.0,2.3,108,988.1,100,12.5,16.1,206.0,8.5,68.0,1.4
2026-04-15 21:00:00,2026,4,15,21,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,74.0,Moderate,1.0,24.5,84,0.0,1.4,90,988.5,11,13.4,17.1,236.0,9.8,64.0,1.7
2026-04-15 22:00:00,2026,4,15,22,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,74.0,Moderate,1.0,24.2,86,0.0,1.0,225,988.6,84,14.6,18.1,258.0,11.2,60.0,1.9
2026-04-15 23:00:00,2026,4,15,23,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,74.0,Moderate,1.0,23.9,87,0.0,1.9,248,988.4,100,15.7,19.2,268.0,12.9,55.0,2.1
2026-04-16 00:00:00,2026,4,16,0,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,74.0,Moderate,1.0,23.7,89,0.0,2.4,243,988.1,100,17.4,20.7,271.0,14.6,51.0,2.4
2026-04-16 01:00:00,2026,4,16,1,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,73.0,Moderate,1.0,23.5,91,0.0,2.3,252,987.8,100,19.9,23.0,270.0,15.9,46.0,2.4
2026-04-16 02:00:00,2026,4,16,2,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,73.0,Moderate,1.0,23.4,92,0.0,2.4,243,987.4,100,22.5,25.3,263.0,16.8,40.0,2.1
2026-04-16 03:00:00,2026,4,16,3,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,72.0,Moderate,1.0,23.3,93,0.0,2.4,243,987.2,100,23.9,26.5,253.0,17.3,34.0,1.6
2026-04-16 04:00:00,2026,4,16,4,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,72.0,Moderate,1.0,23.2,93,0.0,2.6,254,987.5,100,26.4,28.2,252.0,17.1,32.0,1.3
2026-04-16 05:00:00,2026,4,16,5,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,72.0,Moderate,1.0,23.1,94,0.0,2.9,263,987.9,100,27.9,30.0,273.0,16.0,35.0,1.2
2026-04-16 06:00:00,2026,4,16,6,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,72.0,Moderate,1.0,23.0,94,0.0,2.9,263,988.4,78,32.2,33.4,303.0,14.1,43.0,1.2
2026-04-16 07:00:00,2026,4,16,7,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,72.0,Moderate,1.0,25.5,90,0.0,1.3,236,989.3,90,35.4,36.6,321.0,11.9,59.0,1.3
2026-04-16 08:00:00,2026,4,16,8,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,72.0,Moderate,1.0,28.0,75,0.0,2.2,180,990.2,58,31.8,32.9,316.0,8.9,92.0,1.6
2026-04-16 09:00:00,2026,4,16,9,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,73.0,Moderate,1.0,30.5,66,0.0,2.6,236,990.5,57,33.2,34.2,299.0,5.6,133.0,2.0
2026-04-16 10:00:00,2026,4,16,10,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,73.0,Moderate,1.0,32.5,55,0.0,4.0,265,990.1,56,32.1,33.3,278.0,3.1,164.0,2.2
2026-04-16 11:00:00,2026,4,16,11,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,73.0,Moderate,1.0,34.0,48,0.0,4.0,280,989.4,58,30.5,32.7,254.0,2.2,176.0,2.1
2026-04-16 12:00:00,2026,4,16,12,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,73.0,Moderate,1.0,35.0,44,0.0,1.5,284,988.4,63,28.4,32.5,225.0,2.2,177.0,1.9
2026-04-16 13:00:00,2026,4,16,13,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,73.0,Moderate,1.0,35.7,39,0.0,4.7,113,987.3,76,25.3,29.3,201.0,2.4,173.0,1.7
2026-04-16 14:00:00,2026,4,16,14,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,83.0,Moderate,1.0,34.8,44,0.0,14.4,112,986.5,78,22.4,26.5,183.0,2.4,165.0,1.5
2026-04-16 15:00:00,2026,4,16,15,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,109.0,Unhealthy for Sensitive Groups,2.0,31.7,63,0.0,14.5,113,986.3,55,20.5,24.4,168.0,2.6,153.0,1.3
2026-04-16 16:00:00,2026,4,16,16,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,129.0,Unhealthy for Sensitive Groups,2.0,30.7,60,0.0,11.6,116,986.2,0,18.0,21.8,160.0,3.1,138.0,1.2
2026-04-16 17:00:00,2026,4,16,17,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,139.0,Unhealthy for Sensitive Groups,2.0,29.2,62,0.0,8.2,119,986.7,0,15.0,18.5,161.0,4.2,119.0,1.1
2026-04-16 18:00:00,2026,4,16,18,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,136.0,Unhealthy for Sensitive Groups,2.0,27.3,70,0.0,6.8,115,987.7,0,13.1,16.4,168.0,5.7,96.0,1.1
2026-04-16 19:00:00,2026,4,16,19,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,121.0,Unhealthy for Sensitive Groups,2.0,25.7,80,0.0,4.3,114,988.6,0,12.4,15.8,174.0,7.1,79.0,1.2
2026-04-16 20:00:00,2026,4,16,20,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,101.0,Unhealthy for Sensitive Groups,2.0,24.6,87,0.0,2.3,108,989.0,0,12.3,15.8,177.0,8.1,70.0,1.4
2026-04-16 21:00:00,2026,4,16,21,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,78.0,Moderate,1.0,24.1,89,0.0,1.1,90,989.2,0,12.8,16.4,178.0,9.0,66.0,1.6
2026-04-16 22:00:00,2026,4,16,22,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,73.0,Moderate,1.0,23.7,91,0.0,0.5,315,989.3,0,13.6,17.2,182.0,9.9,63.0,1.7
2026-04-16 23:00:00,2026,4,16,23,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,73.0,Moderate,1.0,23.3,92,0.0,1.0,315,989.0,0,14.7,18.3,189.0,11.2,59.0,1.7
2026-04-17 00:00:00,2026,4,17,0,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,72.0,Moderate,1.0,22.8,94,0.0,1.8,307,988.8,0,16.3,19.8,199.0,12.5,56.0,1.6
2026-04-17 01:00:00,2026,4,17,1,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,72.0,Moderate,1.0,22.3,95,0.0,2.3,288,988.3,0,17.8,21.2,205.0,13.3,53.0,1.5
2026-04-17 02:00:00,2026,4,17,2,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,72.0,Moderate,1.0,21.8,97,0.0,3.8,287,987.9,0,21.1,23.7,205.0,13.3,50.0,1.3
2026-04-17 03:00:00,2026,4,17,3,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,72.0,Moderate,1.0,21.3,98,0.0,4.0,280,987.9,39,21.8,24.3,202.0,12.7,47.0,1.1
2026-04-17 04:00:00,2026,4,17,4,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,72.0,Moderate,1.0,20.8,99,0.0,4.0,275,988.2,52,21.2,23.7,204.0,11.7,48.0,1.0
2026-04-17 05:00:00,2026,4,17,5,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,71.0,Moderate,1.0,20.6,98,0.0,3.8,287,988.8,50,20.1,22.6,218.0,10.0,52.0,1.0
2026-04-17 06:00:00,2026,4,17,6,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,71.0,Moderate,1.0,20.7,98,0.0,3.9,292,989.5,51,19.6,21.4,236.0,7.9,59.0,1.1
2026-04-17 07:00:00,2026,4,17,7,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,70.0,Moderate,1.0,24.0,91,0.0,1.6,297,990.3,0,18.6,20.5,250.0,6.0,71.0,1.2
2026-04-17 08:00:00,2026,4,17,8,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,68.0,Moderate,1.0,26.4,76,0.0,3.0,104,991.2,30,18.6,20.1,255.0,4.5,92.0,1.4
2026-04-17 09:00:00,2026,4,17,9,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,67.0,Moderate,1.0,28.4,69,0.0,4.7,113,991.2,52,20.1,21.5,254.0,3.3,118.0,1.7
2026-04-17 10:00:00,2026,4,17,10,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,66.0,Moderate,1.0,30.1,62,0.0,5.5,113,990.7,50,21.6,23.2,248.0,2.4,138.0,1.9
2026-04-17 11:00:00,2026,4,17,11,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,65.0,Moderate,1.0,31.6,56,0.0,8.8,109,990.0,45,25.0,28.1,233.0,2.0,149.0,1.9
2026-04-17 12:00:00,2026,4,17,12,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,64.0,Moderate,1.0,32.4,54,0.0,11.1,115,989.0,52,23.2,27.2,211.0,2.0,154.0,1.8
2026-04-17 13:00:00,2026,4,17,13,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,64.0,Moderate,1.0,32.6,53,0.0,13.9,115,988.2,42,19.7,23.8,192.0,2.1,155.0,1.6
2026-04-17 14:00:00,2026,4,17,14,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,66.0,Moderate,1.0,32.2,52,0.0,15.5,115,987.6,31,17.5,21.4,176.0,2.2,151.0,1.4
2026-04-17 15:00:00,2026,4,17,15,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,85.0,Moderate,1.0,31.5,51,0.0,15.5,121,987.1,5,16.2,20.1,162.0,2.6,142.0,1.2
2026-04-17 16:00:00,2026,4,17,16,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,100.0,Moderate,1.0,30.1,56,0.0,14.2,126,986.9,0,14.2,17.6,154.0,3.2,130.0,1.0
2026-04-17 17:00:00,2026,4,17,17,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,108.0,Unhealthy for Sensitive Groups,2.0,28.6,60,0.0,10.0,120,987.3,3,13.0,16.5,154.0,4.4,113.0,1.0
2026-04-17 18:00:00,2026,4,17,18,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,107.0,Unhealthy for Sensitive Groups,2.0,26.9,65,0.0,6.1,118,988.3,25,12.4,16.0,161.0,6.0,92.0,1.0
2026-04-17 19:00:00,2026,4,17,19,Đắk Lắk,Xã Xuân Thọ,13.4887329,109.1629012,98.0,Moderate,1.0,25.4,72,0.0,3.9,112,989.0,100,11.8,15.2,167.0,7.4,76.0,1.1
