timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 09:00:00,2026,4,14,9,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,174.0,Unhealthy,3.0,28.4,51,0.0,2.7,203,944.1,30,128.1,151.3,654.0,10.4,174.0,9.2
2026-04-14 10:00:00,2026,4,14,10,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,175.0,Unhealthy,3.0,31.8,38,0.0,5.3,242,944.2,0,102.7,128.5,600.0,4.0,207.0,8.5
2026-04-14 11:00:00,2026,4,14,11,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,176.0,Unhealthy,3.0,33.2,30,0.0,12.5,258,943.8,32,85.9,110.1,552.0,2.0,214.0,8.2
2026-04-14 12:00:00,2026,4,14,12,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,176.0,Unhealthy,3.0,34.4,28,0.0,14.3,260,943.2,10,75.9,96.6,508.0,2.3,209.0,8.1
2026-04-14 13:00:00,2026,4,14,13,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,177.0,Unhealthy,3.0,35.2,25,0.0,15.4,259,941.9,40,71.5,88.9,478.0,2.9,204.0,7.9
2026-04-14 14:00:00,2026,4,14,14,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,177.0,Unhealthy,3.0,35.6,23,0.0,16.5,250,940.7,30,68.7,83.1,465.0,3.0,208.0,7.3
2026-04-14 15:00:00,2026,4,14,15,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,177.0,Unhealthy,3.0,35.6,23,0.0,17.1,245,939.8,36,66.8,79.2,466.0,3.4,213.0,6.6
2026-04-14 16:00:00,2026,4,14,16,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,186.0,Unhealthy,3.0,35.1,22,0.0,16.6,246,939.4,31,65.9,76.8,484.0,4.4,213.0,6.2
2026-04-14 17:00:00,2026,4,14,17,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,199.0,Unhealthy,3.0,34.3,23,0.0,14.6,254,939.3,2,64.5,74.5,524.0,6.2,203.0,6.4
2026-04-14 18:00:00,2026,4,14,18,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,202.0,Very Unhealthy,4.0,32.7,27,0.0,9.9,260,939.4,23,64.0,73.1,581.0,8.5,187.0,6.9
2026-04-14 19:00:00,2026,4,14,19,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,200.0,Unhealthy,3.0,30.4,34,0.0,3.4,288,939.8,34,69.2,77.5,637.0,10.7,170.0,7.4
2026-04-14 20:00:00,2026,4,14,20,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,194.0,Unhealthy,3.0,28.8,41,0.0,3.4,302,940.2,66,74.7,83.1,696.0,12.7,153.0,8.0
2026-04-14 21:00:00,2026,4,14,21,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,185.0,Unhealthy,3.0,27.5,43,0.0,3.4,302,940.7,35,77.8,85.9,753.0,14.5,135.0,8.7
2026-04-14 22:00:00,2026,4,14,22,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,175.0,Unhealthy,3.0,26.8,44,0.0,2.5,315,940.8,24,79.2,87.1,781.0,16.1,119.0,9.1
2026-04-14 23:00:00,2026,4,14,23,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,174.0,Unhealthy,3.0,25.7,46,0.0,2.9,270,940.5,6,79.9,87.8,755.0,17.2,107.0,9.0
2026-04-15 00:00:00,2026,4,15,0,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,173.0,Unhealthy,3.0,24.2,49,0.0,2.3,288,940.1,0,80.3,88.0,698.0,17.9,97.0,8.7
2026-04-15 01:00:00,2026,4,15,1,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,172.0,Unhealthy,3.0,23.0,52,0.0,2.6,304,939.7,0,81.7,89.2,654.0,18.8,89.0,8.4
2026-04-15 02:00:00,2026,4,15,2,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,172.0,Unhealthy,3.0,22.3,54,0.0,2.4,333,939.1,0,83.8,91.3,638.0,20.0,80.0,8.2
2026-04-15 03:00:00,2026,4,15,3,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,171.0,Unhealthy,3.0,22.3,53,0.0,1.5,346,938.5,0,86.6,94.1,634.0,21.2,72.0,8.1
2026-04-15 04:00:00,2026,4,15,4,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,170.0,Unhealthy,3.0,22.4,51,0.0,0.7,360,938.6,0,90.3,98.3,641.0,22.2,69.0,8.1
2026-04-15 05:00:00,2026,4,15,5,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,169.0,Unhealthy,3.0,22.3,52,0.0,1.0,225,939.0,0,95.5,104.3,673.0,23.4,72.0,8.6
2026-04-15 06:00:00,2026,4,15,6,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,168.0,Unhealthy,3.0,21.9,54,0.0,0.7,180,939.6,0,101.0,110.6,716.0,24.3,79.0,9.2
2026-04-15 07:00:00,2026,4,15,7,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,167.0,Unhealthy,3.0,23.2,56,0.0,1.1,90,940.6,15,108.0,118.3,725.0,22.9,94.0,9.6
2026-04-15 08:00:00,2026,4,15,8,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,166.0,Unhealthy,3.0,25.1,56,0.0,1.6,153,941.4,31,104.1,112.0,670.0,17.0,123.0,9.5
2026-04-15 09:00:00,2026,4,15,9,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,165.0,Unhealthy,3.0,28.0,52,0.0,4.1,165,942.6,29,74.3,82.7,580.0,8.9,159.0,9.0
2026-04-15 10:00:00,2026,4,15,10,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,164.0,Unhealthy,3.0,31.0,41,0.0,6.8,198,942.6,19,53.1,61.2,503.0,2.9,185.0,8.5
2026-04-15 11:00:00,2026,4,15,11,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,163.0,Unhealthy,3.0,33.2,36,0.0,14.8,221,942.2,16,41.9,49.9,450.0,1.3,189.0,7.8
2026-04-15 12:00:00,2026,4,15,12,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,162.0,Unhealthy,3.0,34.2,31,0.0,18.6,227,941.2,0,38.6,47.3,408.0,1.9,183.0,7.0
2026-04-15 13:00:00,2026,4,15,13,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,161.0,Unhealthy,3.0,35.0,28,0.0,19.2,230,940.1,0,39.8,48.9,388.0,2.7,179.0,6.3
2026-04-15 14:00:00,2026,4,15,14,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,160.0,Unhealthy,3.0,35.5,26,0.0,20.1,234,938.5,48,43.0,51.9,400.0,2.9,186.0,5.9
2026-04-15 15:00:00,2026,4,15,15,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,159.0,Unhealthy,3.0,35.7,24,0.0,20.7,235,937.5,73,45.5,54.1,433.0,3.3,196.0,5.7
2026-04-15 16:00:00,2026,4,15,16,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,161.0,Unhealthy,3.0,34.9,25,0.0,19.5,240,937.1,46,47.4,55.8,461.0,4.1,200.0,5.7
2026-04-15 17:00:00,2026,4,15,17,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,173.0,Unhealthy,3.0,34.4,26,0.0,17.7,232,937.3,0,47.8,55.8,473.0,5.3,193.0,5.9
2026-04-15 18:00:00,2026,4,15,18,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,178.0,Unhealthy,3.0,33.0,30,0.0,11.0,212,937.5,44,48.4,55.8,480.0,6.8,181.0,6.2
2026-04-15 19:00:00,2026,4,15,19,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,178.0,Unhealthy,3.0,30.7,35,0.0,7.1,221,938.2,43,50.1,57.2,492.0,8.6,166.0,6.6
2026-04-15 20:00:00,2026,4,15,20,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,174.0,Unhealthy,3.0,29.2,39,0.0,4.5,209,939.0,58,56.9,64.0,512.0,11.0,149.0,7.2
2026-04-15 21:00:00,2026,4,15,21,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,169.0,Unhealthy,3.0,28.4,42,0.0,3.9,214,939.5,67,61.0,68.5,537.0,13.8,130.0,8.0
2026-04-15 22:00:00,2026,4,15,22,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,161.0,Unhealthy,3.0,27.8,47,0.0,2.8,220,939.7,64,63.8,71.2,560.0,16.1,114.0,8.5
2026-04-15 23:00:00,2026,4,15,23,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,156.0,Unhealthy,3.0,26.9,51,0.0,2.1,211,939.4,47,66.4,74.3,579.0,17.6,102.0,8.6
2026-04-16 00:00:00,2026,4,16,0,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,156.0,Unhealthy,3.0,25.9,55,0.0,1.3,304,939.4,51,69.4,77.8,597.0,18.7,93.0,8.4
2026-04-16 01:00:00,2026,4,16,1,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,156.0,Unhealthy,3.0,24.8,57,0.0,3.7,331,939.4,69,72.4,81.0,614.0,19.9,85.0,8.2
2026-04-16 02:00:00,2026,4,16,2,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,156.0,Unhealthy,3.0,23.3,61,0.0,5.2,344,939.1,67,75.9,84.5,631.0,21.4,76.0,8.1
2026-04-16 03:00:00,2026,4,16,3,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,155.0,Unhealthy,3.0,22.8,59,0.0,6.4,344,939.1,54,80.1,88.9,647.0,23.0,68.0,8.0
2026-04-16 04:00:00,2026,4,16,4,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,155.0,Unhealthy,3.0,22.7,59,0.0,5.9,346,939.5,30,84.5,93.4,664.0,24.1,66.0,8.1
2026-04-16 05:00:00,2026,4,16,5,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,155.0,Unhealthy,3.0,21.9,64,0.0,4.7,351,939.8,49,89.4,98.5,692.0,25.0,70.0,8.5
2026-04-16 06:00:00,2026,4,16,6,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,155.0,Unhealthy,3.0,21.0,72,0.0,4.8,347,940.4,62,94.8,104.1,721.0,25.4,78.0,9.1
2026-04-16 07:00:00,2026,4,16,7,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,155.0,Unhealthy,3.0,21.9,79,0.0,4.0,350,941.3,47,102.2,112.0,716.0,23.6,94.0,9.4
2026-04-16 08:00:00,2026,4,16,8,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,155.0,Unhealthy,3.0,26.5,62,0.0,3.1,324,942.8,44,99.4,106.6,649.0,17.5,123.0,9.2
2026-04-16 09:00:00,2026,4,16,9,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,155.0,Unhealthy,3.0,28.9,54,0.0,2.3,309,943.9,45,69.2,76.8,548.0,9.2,159.0,8.7
2026-04-16 10:00:00,2026,4,16,10,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,155.0,Unhealthy,3.0,31.1,44,0.0,2.5,225,944.0,32,48.2,54.7,470.0,3.1,185.0,8.1
2026-04-16 11:00:00,2026,4,16,11,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,154.0,Unhealthy,3.0,32.8,35,0.0,7.4,227,943.4,41,39.6,46.2,439.0,1.5,190.0,7.2
2026-04-16 12:00:00,2026,4,16,12,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,154.0,Unhealthy,3.0,33.8,33,0.0,10.3,234,942.5,64,38.1,45.9,431.0,2.1,186.0,6.0
2026-04-16 13:00:00,2026,4,16,13,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,154.0,Unhealthy,3.0,34.6,30,0.0,12.4,240,941.4,41,39.6,47.6,423.0,2.9,183.0,5.2
2026-04-16 14:00:00,2026,4,16,14,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,154.0,Unhealthy,3.0,35.2,27,0.0,14.1,251,940.4,71,42.7,51.1,396.0,2.8,189.0,4.8
2026-04-16 15:00:00,2026,4,16,15,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,154.0,Unhealthy,3.0,35.3,26,0.0,14.3,245,939.5,49,45.2,53.4,369.0,2.9,198.0,4.7
2026-04-16 16:00:00,2026,4,16,16,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,163.0,Unhealthy,3.0,35.1,26,0.0,15.0,243,939.0,47,46.7,54.8,386.0,4.0,201.0,4.9
2026-04-16 17:00:00,2026,4,16,17,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,175.0,Unhealthy,3.0,34.5,26,0.0,14.3,245,938.9,43,48.0,55.9,482.0,7.0,194.0,5.6
2026-04-16 18:00:00,2026,4,16,18,Điện Biên,Xã Mường Pồn,21.5869655,103.0296833,181.0,Unhealthy,3.0,33.2,28,0.0,7.6,245,939.3,47,49.6,56.7,621.0,11.1,181.0,6.7
