timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,183.0,Unhealthy,3.0,28.8,46,0.0,3.5,204,935.4,71,93.6,109.2,630.0,13.5,132.0,9.2
2026-04-14 22:00:00,2026,4,14,22,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,175.0,Unhealthy,3.0,27.4,49,0.0,4.2,211,935.7,38,95.7,110.4,661.0,14.1,120.0,9.6
2026-04-14 23:00:00,2026,4,14,23,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,175.0,Unhealthy,3.0,26.1,55,0.0,3.2,207,935.6,0,97.1,111.3,680.0,14.5,112.0,9.7
2026-04-15 00:00:00,2026,4,15,0,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,175.0,Unhealthy,3.0,25.3,58,0.0,3.5,204,935.2,14,97.8,111.3,688.0,14.8,107.0,9.6
2026-04-15 01:00:00,2026,4,15,1,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,174.0,Unhealthy,3.0,24.3,61,0.0,3.4,198,934.6,0,98.7,111.5,690.0,15.2,102.0,9.5
2026-04-15 02:00:00,2026,4,15,2,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,174.0,Unhealthy,3.0,23.5,64,0.0,3.5,204,933.9,0,99.4,112.2,681.0,16.0,94.0,9.4
2026-04-15 03:00:00,2026,4,15,3,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,174.0,Unhealthy,3.0,22.9,66,0.0,3.5,204,933.6,0,100.4,112.7,666.0,16.9,86.0,9.2
2026-04-15 04:00:00,2026,4,15,4,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,174.0,Unhealthy,3.0,22.5,67,0.0,3.3,186,933.5,0,101.0,112.9,661.0,17.6,82.0,9.1
2026-04-15 05:00:00,2026,4,15,5,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,174.0,Unhealthy,3.0,22.3,67,0.0,3.3,186,933.7,0,102.4,114.1,692.0,18.5,82.0,9.3
2026-04-15 06:00:00,2026,4,15,6,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,173.0,Unhealthy,3.0,22.1,68,0.0,3.3,186,934.3,0,103.8,115.3,733.0,19.3,85.0,9.7
2026-04-15 07:00:00,2026,4,15,7,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,173.0,Unhealthy,3.0,23.4,69,0.0,2.9,187,935.2,0,106.2,117.1,728.0,18.2,96.0,9.7
2026-04-15 08:00:00,2026,4,15,8,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,172.0,Unhealthy,3.0,28.2,69,0.0,2.6,196,936.5,22,100.4,109.0,632.0,13.6,122.0,9.2
2026-04-15 09:00:00,2026,4,15,9,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,171.0,Unhealthy,3.0,32.0,47,0.0,4.7,203,937.5,6,87.8,97.3,491.0,7.3,157.0,8.4
2026-04-15 10:00:00,2026,4,15,10,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,170.0,Unhealthy,3.0,33.8,37,0.0,11.0,229,937.6,3,63.6,74.0,380.0,2.6,181.0,7.6
2026-04-15 11:00:00,2026,4,15,11,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,169.0,Unhealthy,3.0,34.4,34,0.0,20.6,241,937.3,52,49.8,60.8,332.0,1.2,185.0,6.7
2026-04-15 12:00:00,2026,4,15,12,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,168.0,Unhealthy,3.0,35.4,32,0.0,22.1,244,936.6,4,42.7,53.9,316.0,1.5,179.0,5.7
2026-04-15 13:00:00,2026,4,15,13,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,167.0,Unhealthy,3.0,36.0,30,0.0,22.9,240,935.3,46,40.9,52.3,311.0,2.0,176.0,5.0
2026-04-15 14:00:00,2026,4,15,14,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,166.0,Unhealthy,3.0,36.6,27,0.0,22.9,240,933.8,2,41.8,53.0,313.0,2.1,182.0,4.8
2026-04-15 15:00:00,2026,4,15,15,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,166.0,Unhealthy,3.0,36.4,27,0.0,22.6,236,932.9,0,44.2,54.7,327.0,2.3,192.0,4.9
2026-04-15 16:00:00,2026,4,15,16,Điện Biên,Xã Tuần Giáo,21.6307492,103.4439122,165.0,Unhealthy,3.0,36.0,28,0.0,21.6,240,932.5,74,47.1,57.2,352.0,3.3,195.0,5.2
