timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 01:00:00,2026,4,14,1,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,79.0,Moderate,1,26.0,87,0.0,6.2,159,983.6,0,18.3,19.2,163.0,3.9,63.0,2.8
2026-04-14 02:00:00,2026,4,14,2,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,79.0,Moderate,1,25.6,88,0.0,6.1,177,983.3,17,17.8,18.8,160.0,4.1,59.0,2.6
2026-04-14 03:00:00,2026,4,14,3,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,78.0,Moderate,1,25.2,89,0.0,6.9,186,983.2,33,17.8,18.9,162.0,4.3,55.0,2.3
2026-04-14 04:00:00,2026,4,14,4,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,78.0,Moderate,1,24.9,90,0.0,6.2,173,983.7,52,19.1,20.3,164.0,4.3,55.0,2.1
2026-04-14 05:00:00,2026,4,14,5,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,77.0,Moderate,1,24.8,91,0.0,5.6,165,984.3,67,20.8,22.0,166.0,4.0,58.0,1.9
2026-04-14 06:00:00,2026,4,14,6,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,78.0,Moderate,1,24.8,92,0.0,4.6,162,984.9,72,21.9,23.3,168.0,3.5,64.0,1.7
2026-04-14 07:00:00,2026,4,14,7,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,78.0,Moderate,1,25.7,88,0.0,8.1,167,985.9,75,18.3,20.0,171.0,2.9,73.0,1.6
2026-04-14 08:00:00,2026,4,14,8,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,78.0,Moderate,1,27.1,81,0.0,9.0,175,986.6,85,17.3,19.2,174.0,2.3,86.0,1.5
2026-04-14 09:00:00,2026,4,14,9,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,77.0,Moderate,1,28.0,76,0.0,8.6,180,987.0,90,17.5,19.0,178.0,1.7,102.0,1.5
2026-04-14 09:00:00,2026,4,14,9,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,95.0,Moderate,1,28.8,73,0.0,8.7,175,987.3,72,26.9,29.1,178.0,1.5,100.0,1.3
2026-04-14 10:00:00,2026,4,14,10,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,77.0,Moderate,1,29.3,70,0.0,7.6,175,986.9,86,20.0,21.5,182.0,1.2,115.0,1.5
2026-04-14 10:00:00,2026,4,14,10,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,95.0,Moderate,1,30.2,66,0.0,8.0,172,987.0,89,28.9,31.1,182.0,0.9,113.0,1.3
2026-04-14 11:00:00,2026,4,14,11,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,95.0,Moderate,1,31.6,60,0.0,8.0,162,986.5,100,30.5,32.5,187.0,0.7,118.0,1.3
2026-04-14 11:00:00,2026,4,14,11,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,76.0,Moderate,1,30.9,63,0.0,7.6,172,986.5,91,22.2,23.6,187.0,1.0,124.0,1.5
2026-04-14 12:00:00,2026,4,14,12,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,95.0,Moderate,1,33.0,55,0.0,7.0,168,985.4,95,32.4,34.2,193.0,0.7,118.0,1.2
2026-04-14 12:00:00,2026,4,14,12,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,75.0,Moderate,1,32.7,56,0.0,6.9,174,985.5,80,23.9,25.3,193.0,1.1,130.0,1.4
2026-04-14 13:00:00,2026,4,14,13,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,95.0,Moderate,1,34.2,50,0.0,6.9,174,984.0,75,31.8,33.5,198.0,0.8,118.0,1.2
2026-04-14 13:00:00,2026,4,14,13,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,74.0,Moderate,1,34.0,51,0.0,7.2,177,984.0,51,25.4,26.7,198.0,1.1,134.0,1.4
2026-04-14 14:00:00,2026,4,14,14,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,95.0,Moderate,1,35.3,46,0.0,5.4,176,983.0,51,32.6,34.5,196.0,0.8,121.0,1.2
2026-04-14 14:00:00,2026,4,14,14,Đồng Nai,Xã Phú Nghĩa,11.8588057,107.0327464,74.0,Moderate,1,34.9,49,0.0,6.6,189,982.9,50,25.7,27.0,196.0,1.0,139.0,1.3
