timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 01:00:00,2026,4,14,1,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,63.0,Moderate,1.0,25.2,90,0.0,3.1,135,999.1,3,15.8,18.5,162.0,8.0,58.0,3.7
2026-04-14 02:00:00,2026,4,14,2,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,63.0,Moderate,1.0,24.9,91,0.0,3.0,166,998.7,0,15.8,18.2,165.0,8.4,53.0,3.5
2026-04-14 03:00:00,2026,4,14,3,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,63.0,Moderate,1.0,24.5,93,0.0,3.0,194,998.6,25,16.1,18.5,169.0,9.0,48.0,3.3
2026-04-14 04:00:00,2026,4,14,4,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,63.0,Moderate,1.0,24.4,95,0.0,2.9,180,999.1,40,16.7,19.0,172.0,9.1,46.0,3.2
2026-04-14 05:00:00,2026,4,14,5,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,63.0,Moderate,1.0,24.4,95,0.0,2.7,157,999.7,69,17.6,20.0,173.0,8.4,49.0,3.4
2026-04-14 06:00:00,2026,4,14,6,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,63.0,Moderate,1.0,24.6,95,0.0,2.3,129,1000.2,82,19.0,21.4,172.0,7.3,56.0,3.8
2026-04-14 07:00:00,2026,4,14,7,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,63.0,Moderate,1.0,25.9,91,0.0,3.4,122,1001.0,86,18.0,21.0,170.0,6.0,65.0,3.9
2026-04-14 08:00:00,2026,4,14,8,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,63.0,Moderate,1.0,27.2,83,0.0,7.6,155,1001.7,77,16.3,20.3,165.0,4.6,78.0,3.5
2026-04-14 09:00:00,2026,4,14,9,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,64.0,Moderate,1.0,28.4,76,0.0,8.3,162,1002.1,85,15.8,19.8,160.0,3.1,92.0,2.9
2026-04-14 10:00:00,2026,4,14,10,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,63.0,Moderate,1.0,29.4,72,0.0,7.5,163,1002.0,92,16.1,19.0,160.0,2.0,106.0,2.4
2026-04-14 11:00:00,2026,4,14,11,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,63.0,Moderate,1.0,30.5,66,0.0,6.8,162,1001.6,73,17.0,18.7,170.0,1.5,117.0,2.3
2026-04-14 12:00:00,2026,4,14,12,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,63.0,Moderate,1.0,32.7,58,0.0,5.4,172,1000.4,69,18.1,19.7,186.0,1.5,127.0,2.4
2026-04-14 13:00:00,2026,4,14,13,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,62.0,Moderate,1.0,34.0,53,0.0,5.8,173,998.9,58,18.9,20.4,198.0,1.5,134.0,2.5
2026-04-14 14:00:00,2026,4,14,14,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,62.0,Moderate,1.0,34.6,50,0.0,7.6,175,997.7,54,18.7,20.2,205.0,1.4,137.0,2.4
2026-04-14 15:00:00,2026,4,14,15,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,62.0,Moderate,1.0,34.6,50,0.0,8.4,173,996.8,33,18.3,19.7,209.0,1.4,136.0,2.4
2026-04-14 16:00:00,2026,4,14,16,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,64.0,Moderate,1.0,34.3,50,0.0,7.6,172,996.3,30,17.5,18.8,209.0,1.8,131.0,2.4
2026-04-14 17:00:00,2026,4,14,17,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,75.0,Moderate,1.0,33.4,53,0.0,5.5,169,996.3,47,19.1,20.5,202.0,2.8,119.0,2.7
2026-04-14 18:00:00,2026,4,14,18,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,81.0,Moderate,1.0,31.5,62,0.0,4.4,171,996.7,58,17.3,18.5,190.0,4.3,103.0,3.1
2026-04-14 19:00:00,2026,4,14,19,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,80.0,Moderate,1.0,29.7,68,0.0,8.2,151,997.7,56,16.4,17.5,180.0,5.5,88.0,3.5
2026-04-14 20:00:00,2026,4,14,20,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,74.0,Moderate,1.0,28.6,76,0.0,8.6,147,998.3,7,15.9,17.1,175.0,6.3,78.0,3.8
2026-04-14 21:00:00,2026,4,14,21,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,64.0,Moderate,1.0,27.6,79,0.0,7.2,143,998.7,16,16.1,17.8,171.0,7.0,69.0,4.1
2026-04-14 22:00:00,2026,4,14,22,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,61.0,Moderate,1.0,26.9,83,0.0,6.0,147,998.9,38,16.4,18.2,170.0,7.7,62.0,4.3
2026-04-14 23:00:00,2026,4,14,23,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,61.0,Moderate,1.0,26.4,85,0.0,5.1,141,998.9,43,16.4,18.2,172.0,8.5,56.0,4.4
2026-04-15 00:00:00,2026,4,15,0,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,61.0,Moderate,1.0,26.0,87,0.0,5.1,141,998.8,42,16.2,18.1,175.0,9.2,52.0,4.3
2026-04-15 01:00:00,2026,4,15,1,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,61.0,Moderate,1.0,25.7,87,0.0,4.8,138,998.5,57,16.2,18.1,179.0,9.8,49.0,4.2
2026-04-15 02:00:00,2026,4,15,2,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,61.0,Moderate,1.0,25.5,88,0.0,4.2,149,998.2,71,16.2,18.0,182.0,10.3,46.0,4.0
2026-04-15 03:00:00,2026,4,15,3,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,61.0,Moderate,1.0,25.3,90,0.0,3.7,169,998.0,69,16.5,18.3,185.0,10.5,43.0,3.8
2026-04-15 04:00:00,2026,4,15,4,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,61.0,Moderate,1.0,25.0,91,0.0,3.2,180,998.0,69,16.6,18.9,187.0,10.3,43.0,3.6
2026-04-15 05:00:00,2026,4,15,5,Đồng Nai,Xã Thanh Sơn,11.2955027,107.2486137,61.0,Moderate,1.0,24.9,92,0.0,2.5,172,998.5,62,16.8,19.2,186.0,9.3,46.0,3.7
