timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 22:00:00,2026,4,13,22,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,85.0,Moderate,1.0,27.2,82,0.0,6.6,167,1010.4,0,26.0,28.3,223.0,14.6,61.0,6.1
2026-04-13 23:00:00,2026,4,13,23,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,85.0,Moderate,1.0,26.6,86,0.0,5.4,180,1010.4,12,27.8,30.2,234.0,15.2,56.0,5.6
2026-04-14 00:00:00,2026,4,14,0,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,84.0,Moderate,1.0,26.2,88,0.0,5.4,180,1009.9,23,29.5,31.8,248.0,16.2,52.0,5.0
2026-04-14 01:00:00,2026,4,14,1,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,84.0,Moderate,1.0,26.0,90,0.0,5.8,180,1009.6,27,32.1,34.5,259.0,17.7,48.0,4.8
2026-04-14 02:00:00,2026,4,14,2,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,84.0,Moderate,1.0,25.7,91,0.0,5.4,176,1009.1,29,35.6,38.0,262.0,20.2,42.0,5.2
2026-04-14 03:00:00,2026,4,14,3,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,84.0,Moderate,1.0,25.5,92,0.0,5.0,180,1009.1,30,40.3,42.7,261.0,23.2,36.0,6.0
2026-04-14 04:00:00,2026,4,14,4,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,84.0,Moderate,1.0,25.3,92,0.0,4.3,185,1009.5,30,45.6,48.1,266.0,25.5,32.0,6.9
2026-04-14 05:00:00,2026,4,14,5,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,85.0,Moderate,1.0,25.2,93,0.0,3.6,180,1009.8,24,51.1,53.8,286.0,27.2,30.0,8.4
2026-04-14 06:00:00,2026,4,14,6,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,85.0,Moderate,1.0,25.0,94,0.0,2.9,173,1010.3,19,58.8,61.7,311.0,28.0,31.0,10.0
2026-04-14 07:00:00,2026,4,14,7,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,86.0,Moderate,1.0,26.1,90,0.0,4.0,170,1011.1,13,55.8,58.9,318.0,26.3,39.0,10.6
2026-04-14 08:00:00,2026,4,14,8,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,87.0,Moderate,1.0,28.0,79,0.0,7.2,177,1012.0,39,30.9,35.0,289.0,19.6,61.0,9.2
2026-04-14 09:00:00,2026,4,14,9,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,29.5,68,0.0,8.3,175,1012.3,53,23.4,27.9,243.0,10.4,90.0,6.7
2026-04-14 10:00:00,2026,4,14,10,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,30.9,61,0.0,6.4,153,1011.8,70,21.5,25.2,209.0,3.5,113.0,4.7
2026-04-14 11:00:00,2026,4,14,11,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,32.3,56,0.0,6.1,130,1011.3,50,20.3,22.8,202.0,1.4,125.0,3.9
2026-04-14 12:00:00,2026,4,14,12,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,33.7,51,0.0,6.4,117,1010.2,57,20.2,22.4,208.0,1.7,130.0,3.5
2026-04-14 13:00:00,2026,4,14,13,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,34.7,47,0.0,7.3,110,1009.1,60,20.0,22.3,211.0,2.3,132.0,3.3
2026-04-14 14:00:00,2026,4,14,14,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,35.3,44,0.0,8.0,117,1007.8,51,19.7,22.0,204.0,2.1,130.0,2.9
2026-04-14 15:00:00,2026,4,14,15,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,35.4,43,0.0,9.0,127,1007.0,40,18.7,21.0,194.0,2.1,123.0,2.5
2026-04-14 16:00:00,2026,4,14,16,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,34.9,46,0.0,10.2,129,1006.4,27,18.3,20.4,190.0,3.2,114.0,2.6
2026-04-14 17:00:00,2026,4,14,17,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,33.7,49,0.0,11.2,135,1006.5,28,18.4,20.4,196.0,6.1,100.0,3.3
2026-04-14 18:00:00,2026,4,14,18,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,31.8,55,0.0,11.3,143,1007.0,0,21.9,23.7,207.0,10.0,82.0,4.5
2026-04-14 19:00:00,2026,4,14,19,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,87.0,Moderate,1.0,29.9,62,0.0,10.7,140,1007.6,0,24.0,25.5,217.0,13.3,68.0,5.5
2026-04-14 20:00:00,2026,4,14,20,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,87.0,Moderate,1.0,28.4,70,0.0,9.7,141,1008.1,0,25.4,27.0,225.0,15.4,59.0,6.2
2026-04-14 21:00:00,2026,4,14,21,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,87.0,Moderate,1.0,27.4,75,0.0,8.3,146,1008.6,0,27.9,29.5,233.0,16.9,53.0,6.8
2026-04-14 22:00:00,2026,4,14,22,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,26.6,80,0.0,6.9,152,1008.9,0,31.9,33.6,239.0,18.0,49.0,7.1
2026-04-14 23:00:00,2026,4,14,23,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,26.0,84,0.0,5.5,191,1009.0,0,34.5,36.3,242.0,18.5,46.0,6.9
2026-04-15 00:00:00,2026,4,15,0,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,89.0,Moderate,1.0,25.5,87,0.0,5.2,214,1009.1,0,35.2,37.0,243.0,18.5,44.0,6.3
2026-04-15 01:00:00,2026,4,15,1,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,89.0,Moderate,1.0,25.2,89,0.0,4.3,204,1008.8,5,35.3,37.1,245.0,18.9,43.0,6.0
2026-04-15 02:00:00,2026,4,15,2,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,90.0,Moderate,1.0,25.0,91,0.0,3.7,191,1008.4,22,35.5,37.4,249.0,19.9,41.0,5.9
2026-04-15 03:00:00,2026,4,15,3,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,90.0,Moderate,1.0,24.8,93,0.0,4.0,175,1008.2,23,37.0,38.9,253.0,21.2,39.0,6.0
2026-04-15 04:00:00,2026,4,15,4,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,89.0,Moderate,1.0,24.7,94,0.0,4.3,180,1008.1,36,40.5,42.6,259.0,22.4,38.0,6.5
2026-04-15 05:00:00,2026,4,15,5,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,89.0,Moderate,1.0,24.6,94,0.0,4.3,185,1008.5,50,46.9,49.1,272.0,24.3,36.0,7.9
2026-04-15 06:00:00,2026,4,15,6,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,24.7,94,0.0,3.3,193,1009.0,51,56.2,58.8,286.0,26.1,35.0,9.7
2026-04-15 07:00:00,2026,4,15,7,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,25.9,89,0.0,3.4,198,1009.8,32,53.9,56.5,288.0,25.2,41.0,10.4
2026-04-15 08:00:00,2026,4,15,8,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,27.9,79,0.0,5.7,198,1010.7,33,30.2,33.9,267.0,19.0,61.0,9.0
2026-04-15 09:00:00,2026,4,15,9,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,29.4,68,0.0,7.9,183,1010.9,62,20.8,23.2,234.0,10.1,89.0,6.5
2026-04-15 10:00:00,2026,4,15,10,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,30.9,63,0.0,6.8,177,1010.7,60,19.4,21.1,210.0,3.4,111.0,4.5
2026-04-15 11:00:00,2026,4,15,11,Đồng Tháp,Xã Mỹ Thọ,10.3596314,106.3615421,88.0,Moderate,1.0,32.5,57,0.0,6.5,180,1010.1,58,18.8,20.4,205.0,1.3,121.0,3.6
