timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 01:00:00,2026,4,14,1,Gia Lai,Xã Ayun,14.1427488,108.3094671,110.0,Unhealthy for Sensitive Groups,2.0,24.3,84,0.0,1.1,162,930.0,63,41.1,41.9,287.0,14.9,37.0,4.3
2026-04-14 02:00:00,2026,4,14,2,Gia Lai,Xã Ayun,14.1427488,108.3094671,109.0,Unhealthy for Sensitive Groups,2.0,23.9,85,0.0,1.5,194,929.5,49,41.9,42.8,292.0,14.8,38.0,4.1
2026-04-14 03:00:00,2026,4,14,3,Gia Lai,Xã Ayun,14.1427488,108.3094671,108.0,Unhealthy for Sensitive Groups,2.0,23.5,87,0.0,1.3,214,929.3,98,41.7,42.7,303.0,14.1,40.0,3.8
2026-04-14 04:00:00,2026,4,14,4,Gia Lai,Xã Ayun,14.1427488,108.3094671,107.0,Unhealthy for Sensitive Groups,2.0,23.1,88,0.0,0.8,207,929.6,69,40.9,41.9,310.0,13.0,44.0,3.7
2026-04-14 05:00:00,2026,4,14,5,Gia Lai,Xã Ayun,14.1427488,108.3094671,106.0,Unhealthy for Sensitive Groups,2.0,22.8,89,0.0,0.0,270,929.9,60,40.3,41.2,311.0,11.2,48.0,4.0
2026-04-14 06:00:00,2026,4,14,6,Gia Lai,Xã Ayun,14.1427488,108.3094671,105.0,Unhealthy for Sensitive Groups,2.0,22.7,90,0.0,0.8,27,930.5,62,40.5,41.3,308.0,9.0,54.0,4.4
2026-04-14 07:00:00,2026,4,14,7,Gia Lai,Xã Ayun,14.1427488,108.3094671,104.0,Unhealthy for Sensitive Groups,2.0,24.5,89,0.0,0.4,360,931.4,57,38.0,38.5,303.0,6.8,66.0,4.8
2026-04-14 08:00:00,2026,4,14,8,Gia Lai,Xã Ayun,14.1427488,108.3094671,104.0,Unhealthy for Sensitive Groups,2.0,26.8,75,0.0,2.9,270,932.4,59,35.2,36.0,295.0,4.6,92.0,5.2
2026-04-14 09:00:00,2026,4,14,9,Gia Lai,Xã Ayun,14.1427488,108.3094671,104.0,Unhealthy for Sensitive Groups,2.0,28.7,66,0.0,5.7,288,932.8,70,34.1,35.0,284.0,2.6,125.0,5.5
2026-04-14 10:00:00,2026,4,14,10,Gia Lai,Xã Ayun,14.1427488,108.3094671,104.0,Unhealthy for Sensitive Groups,2.0,29.8,59,0.0,6.6,292,932.8,60,34.5,35.5,275.0,1.1,149.0,5.6
2026-04-14 11:00:00,2026,4,14,11,Gia Lai,Xã Ayun,14.1427488,108.3094671,104.0,Unhealthy for Sensitive Groups,2.0,30.6,57,0.1,6.2,280,932.7,57,34.7,35.9,270.0,0.7,156.0,5.2
2026-04-14 12:00:00,2026,4,14,12,Gia Lai,Xã Ayun,14.1427488,108.3094671,105.0,Unhealthy for Sensitive Groups,2.0,31.7,53,0.0,5.0,270,931.9,53,35.3,36.7,267.0,0.9,155.0,4.6
2026-04-14 13:00:00,2026,4,14,13,Gia Lai,Xã Ayun,14.1427488,108.3094671,105.0,Unhealthy for Sensitive Groups,2.0,32.4,50,0.0,4.7,266,930.6,82,35.0,36.4,265.0,1.2,152.0,4.0
2026-04-14 14:00:00,2026,4,14,14,Gia Lai,Xã Ayun,14.1427488,108.3094671,105.0,Unhealthy for Sensitive Groups,2.0,32.2,51,0.0,4.5,256,929.7,86,34.9,36.3,261.0,1.2,153.0,3.6
2026-04-14 15:00:00,2026,4,14,15,Gia Lai,Xã Ayun,14.1427488,108.3094671,105.0,Unhealthy for Sensitive Groups,2.0,29.9,63,0.9,1.3,214,929.3,100,34.6,36.0,257.0,1.2,154.0,3.3
2026-04-14 16:00:00,2026,4,14,16,Gia Lai,Xã Ayun,14.1427488,108.3094671,108.0,Unhealthy for Sensitive Groups,2.0,26.2,77,6.1,7.1,75,929.3,100,34.0,35.3,262.0,1.8,147.0,3.1
2026-04-14 17:00:00,2026,4,14,17,Gia Lai,Xã Ayun,14.1427488,108.3094671,120.0,Unhealthy for Sensitive Groups,2.0,26.1,78,0.0,4.3,204,929.0,100,33.2,34.2,281.0,3.3,127.0,3.2
2026-04-14 18:00:00,2026,4,14,18,Gia Lai,Xã Ayun,14.1427488,108.3094671,120.0,Unhealthy for Sensitive Groups,2.0,25.3,84,0.0,1.9,248,929.1,100,32.1,32.9,308.0,5.3,101.0,3.5
2026-04-14 19:00:00,2026,4,14,19,Gia Lai,Xã Ayun,14.1427488,108.3094671,110.0,Unhealthy for Sensitive Groups,2.0,24.8,88,0.0,1.1,342,929.6,100,32.8,33.5,337.0,7.3,78.0,3.7
2026-04-14 20:00:00,2026,4,14,20,Gia Lai,Xã Ayun,14.1427488,108.3094671,104.0,Unhealthy for Sensitive Groups,2.0,24.4,90,0.0,1.1,342,929.8,100,35.2,35.9,374.0,9.2,64.0,4.0
2026-04-14 21:00:00,2026,4,14,21,Gia Lai,Xã Ayun,14.1427488,108.3094671,103.0,Unhealthy for Sensitive Groups,2.0,23.9,93,0.0,2.9,360,930.0,90,38.3,39.0,412.0,11.1,54.0,4.2
2026-04-14 22:00:00,2026,4,14,22,Gia Lai,Xã Ayun,14.1427488,108.3094671,104.0,Unhealthy for Sensitive Groups,2.0,23.4,96,0.0,3.3,6,929.8,63,40.3,41.1,431.0,12.7,46.0,4.1
2026-04-14 23:00:00,2026,4,14,23,Gia Lai,Xã Ayun,14.1427488,108.3094671,104.0,Unhealthy for Sensitive Groups,2.0,23.2,96,0.0,1.9,22,929.5,57,42.4,43.2,416.0,14.0,41.0,3.4
2026-04-15 00:00:00,2026,4,15,0,Gia Lai,Xã Ayun,14.1427488,108.3094671,104.0,Unhealthy for Sensitive Groups,2.0,23.0,96,0.0,1.5,45,929.1,64,44.2,45.2,382.0,15.0,38.0,2.3
2026-04-15 01:00:00,2026,4,15,1,Gia Lai,Xã Ayun,14.1427488,108.3094671,104.0,Unhealthy for Sensitive Groups,2.0,23.0,96,0.0,0.4,90,928.9,80,49.0,49.9,347.0,15.7,35.0,1.4
2026-04-15 02:00:00,2026,4,15,2,Gia Lai,Xã Ayun,14.1427488,108.3094671,105.0,Unhealthy for Sensitive Groups,2.0,23.1,95,0.0,1.5,315,928.6,79,50.5,51.3,313.0,16.1,28.0,0.8
2026-04-15 03:00:00,2026,4,15,3,Gia Lai,Xã Ayun,14.1427488,108.3094671,106.0,Unhealthy for Sensitive Groups,2.0,22.9,95,0.0,2.9,330,928.4,78,49.9,50.8,279.0,16.1,20.0,0.5
2026-04-15 04:00:00,2026,4,15,4,Gia Lai,Xã Ayun,14.1427488,108.3094671,107.0,Unhealthy for Sensitive Groups,2.0,22.5,97,0.0,3.1,324,928.4,69,47.7,48.5,258.0,15.2,19.0,0.5
2026-04-15 05:00:00,2026,4,15,5,Gia Lai,Xã Ayun,14.1427488,108.3094671,108.0,Unhealthy for Sensitive Groups,2.0,22.1,97,0.0,3.0,346,928.8,66,44.1,44.9,263.0,12.7,30.0,1.2
2026-04-15 06:00:00,2026,4,15,6,Gia Lai,Xã Ayun,14.1427488,108.3094671,108.0,Unhealthy for Sensitive Groups,2.0,21.9,98,0.0,2.9,360,929.2,75,42.3,43.1,281.0,9.3,48.0,2.2
2026-04-15 07:00:00,2026,4,15,7,Gia Lai,Xã Ayun,14.1427488,108.3094671,108.0,Unhealthy for Sensitive Groups,2.0,23.8,93,0.0,2.4,333,930.4,73,39.3,40.0,290.0,6.3,68.0,3.2
2026-04-15 08:00:00,2026,4,15,8,Gia Lai,Xã Ayun,14.1427488,108.3094671,108.0,Unhealthy for Sensitive Groups,2.0,25.8,81,0.0,5.4,274,931.4,63,36.6,37.5,279.0,4.1,92.0,4.0
2026-04-15 09:00:00,2026,4,15,9,Gia Lai,Xã Ayun,14.1427488,108.3094671,109.0,Unhealthy for Sensitive Groups,2.0,26.8,72,0.1,9.1,288,931.7,84,34.8,35.9,260.0,2.4,118.0,4.8
2026-04-15 10:00:00,2026,4,15,10,Gia Lai,Xã Ayun,14.1427488,108.3094671,109.0,Unhealthy for Sensitive Groups,2.0,27.8,69,0.1,10.3,299,931.6,52,33.8,34.7,245.0,1.2,137.0,5.1
2026-04-15 11:00:00,2026,4,15,11,Gia Lai,Xã Ayun,14.1427488,108.3094671,109.0,Unhealthy for Sensitive Groups,2.0,29.1,64,0.1,10.7,303,931.3,100,32.7,33.5,241.0,0.7,146.0,4.8
2026-04-15 12:00:00,2026,4,15,12,Gia Lai,Xã Ayun,14.1427488,108.3094671,108.0,Unhealthy for Sensitive Groups,2.0,30.2,59,0.2,10.0,300,930.5,67,31.8,32.6,243.0,0.8,149.0,4.0
