timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Gia Lai,Xã Chư Păh,14.1372212,107.9653031,153.0,Unhealthy,3.0,23.5,87,0.7,3.2,90,922.9,100,47.8,49.1,495.0,7.9,90.0,5.8
2026-04-14 22:00:00,2026,4,14,22,Gia Lai,Xã Chư Păh,14.1372212,107.9653031,152.0,Unhealthy,3.0,22.9,88,0.5,3.6,90,922.8,92,45.6,46.9,522.0,8.5,81.0,5.8
2026-04-14 23:00:00,2026,4,14,23,Gia Lai,Xã Chư Păh,14.1372212,107.9653031,152.0,Unhealthy,3.0,22.5,89,0.3,4.0,117,922.7,100,47.6,49.0,507.0,9.7,71.0,5.9
2026-04-15 00:00:00,2026,4,15,0,Gia Lai,Xã Chư Păh,14.1372212,107.9653031,152.0,Unhealthy,3.0,22.5,88,0.0,2.7,113,922.1,56,49.4,50.8,468.0,11.2,60.0,6.0
2026-04-15 01:00:00,2026,4,15,1,Gia Lai,Xã Chư Păh,14.1372212,107.9653031,152.0,Unhealthy,3.0,22.8,88,0.0,2.1,121,921.5,86,52.4,53.9,432.0,12.4,51.0,5.9
2026-04-15 02:00:00,2026,4,15,2,Gia Lai,Xã Chư Păh,14.1372212,107.9653031,151.0,Unhealthy,3.0,22.9,85,0.5,1.3,146,920.8,89,54.4,55.9,412.0,12.9,43.0,5.4
2026-04-15 03:00:00,2026,4,15,3,Gia Lai,Xã Chư Păh,14.1372212,107.9653031,151.0,Unhealthy,3.0,22.9,85,0.5,1.5,135,920.6,100,56.5,58.0,396.0,13.2,36.0,4.7
2026-04-15 04:00:00,2026,4,15,4,Gia Lai,Xã Chư Păh,14.1372212,107.9653031,151.0,Unhealthy,3.0,22.6,86,0.5,2.6,106,920.7,100,59.1,60.8,375.0,13.7,34.0,4.3
2026-04-15 05:00:00,2026,4,15,5,Gia Lai,Xã Chư Păh,14.1372212,107.9653031,151.0,Unhealthy,3.0,22.4,87,0.5,2.4,117,921.2,100,62.4,64.0,342.0,15.5,35.0,4.6
2026-04-15 06:00:00,2026,4,15,6,Gia Lai,Xã Chư Păh,14.1372212,107.9653031,151.0,Unhealthy,3.0,22.4,88,0.5,1.8,180,921.8,100,66.4,68.0,305.0,17.5,41.0,5.2
2026-04-15 07:00:00,2026,4,15,7,Gia Lai,Xã Chư Păh,14.1372212,107.9653031,151.0,Unhealthy,3.0,23.3,88,0.3,1.8,233,922.8,100,68.2,69.6,276.0,17.4,55.0,5.7
2026-04-15 08:00:00,2026,4,15,8,Gia Lai,Xã Chư Păh,14.1372212,107.9653031,151.0,Unhealthy,3.0,24.6,81,0.0,3.3,264,923.8,100,55.9,58.0,260.0,13.0,87.0,5.8
