timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,152.0,Unhealthy,3.0,27.2,81,0.0,2.5,82,961.3,36,58.6,59.8,338.0,6.0,101.0,5.9
2026-04-14 22:00:00,2026,4,14,22,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,152.0,Unhealthy,3.0,26.6,85,0.0,2.6,106,961.1,46,56.6,58.0,374.0,6.4,92.0,6.1
2026-04-14 23:00:00,2026,4,14,23,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,152.0,Unhealthy,3.0,26.3,88,0.0,2.6,106,961.1,43,56.6,58.1,407.0,7.2,86.0,6.4
2026-04-15 00:00:00,2026,4,15,0,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,152.0,Unhealthy,3.0,26.1,89,0.0,2.7,113,960.7,25,59.0,60.5,436.0,8.2,81.0,6.8
2026-04-15 01:00:00,2026,4,15,1,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,152.0,Unhealthy,3.0,25.8,89,0.0,2.7,113,960.2,23,61.7,63.3,450.0,9.4,76.0,7.2
2026-04-15 02:00:00,2026,4,15,2,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,152.0,Unhealthy,3.0,25.4,91,0.0,3.2,63,959.7,62,63.1,64.7,441.0,11.0,67.0,7.4
2026-04-15 03:00:00,2026,4,15,3,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,152.0,Unhealthy,3.0,24.9,93,0.0,3.8,49,959.2,53,65.4,67.1,416.0,12.8,58.0,7.5
2026-04-15 04:00:00,2026,4,15,4,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,152.0,Unhealthy,3.0,24.6,94,0.0,4.3,42,959.4,76,67.8,69.6,387.0,13.7,54.0,7.8
2026-04-15 05:00:00,2026,4,15,5,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,153.0,Unhealthy,3.0,24.6,93,0.0,3.8,41,960.1,83,69.8,71.7,353.0,13.4,60.0,8.6
2026-04-15 06:00:00,2026,4,15,6,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,153.0,Unhealthy,3.0,24.7,94,0.0,3.3,41,960.5,81,73.1,75.0,314.0,12.2,71.0,9.6
2026-04-15 07:00:00,2026,4,15,7,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,153.0,Unhealthy,3.0,26.4,93,0.0,2.8,40,961.5,73,70.1,71.9,280.0,10.4,86.0,9.7
2026-04-15 08:00:00,2026,4,15,8,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,153.0,Unhealthy,3.0,28.6,73,0.0,2.1,301,962.4,43,60.3,62.2,254.0,7.5,106.0,8.3
2026-04-15 09:00:00,2026,4,15,9,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,152.0,Unhealthy,3.0,30.0,68,0.0,9.7,272,963.0,70,51.5,53.4,234.0,3.9,130.0,6.0
2026-04-15 10:00:00,2026,4,15,10,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,152.0,Unhealthy,3.0,30.1,69,0.4,12.1,282,963.0,73,46.9,48.8,221.0,1.3,147.0,4.2
2026-04-15 11:00:00,2026,4,15,11,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,152.0,Unhealthy,3.0,30.9,65,0.8,12.0,286,962.8,87,45.5,47.5,219.0,0.5,152.0,3.5
2026-04-15 12:00:00,2026,4,15,12,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,152.0,Unhealthy,3.0,32.1,60,0.2,13.6,281,961.9,75,45.9,47.8,224.0,0.8,151.0,3.2
2026-04-15 13:00:00,2026,4,15,13,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,151.0,Unhealthy,3.0,32.8,59,0.2,13.3,283,960.7,100,44.1,46.1,228.0,1.1,149.0,3.0
2026-04-15 14:00:00,2026,4,15,14,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,151.0,Unhealthy,3.0,33.2,57,0.1,12.4,278,959.5,100,42.7,44.6,225.0,1.0,149.0,2.7
2026-04-15 15:00:00,2026,4,15,15,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,151.0,Unhealthy,3.0,33.5,54,0.1,11.3,277,958.9,76,41.1,43.1,220.0,1.1,147.0,2.4
2026-04-15 16:00:00,2026,4,15,16,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,151.0,Unhealthy,3.0,33.2,55,0.0,9.7,272,958.5,55,40.3,42.4,221.0,1.8,141.0,2.6
2026-04-15 17:00:00,2026,4,15,17,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,150.0,Unhealthy for Sensitive Groups,2.0,31.7,60,0.3,6.1,315,959.0,100,39.8,41.6,229.0,3.8,127.0,3.5
2026-04-15 18:00:00,2026,4,15,18,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,150.0,Unhealthy for Sensitive Groups,2.0,28.0,74,1.6,9.9,33,959.9,100,43.3,45.1,242.0,6.4,109.0,4.9
2026-04-15 19:00:00,2026,4,15,19,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,149.0,Unhealthy for Sensitive Groups,2.0,27.5,79,0.1,3.8,139,960.4,100,46.7,48.4,264.0,8.5,93.0,6.1
2026-04-15 20:00:00,2026,4,15,20,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,148.0,Unhealthy for Sensitive Groups,2.0,27.0,82,0.0,5.2,168,961.0,100,48.7,50.2,305.0,9.6,82.0,7.0
2026-04-15 21:00:00,2026,4,15,21,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,147.0,Unhealthy for Sensitive Groups,2.0,26.4,85,0.3,4.3,156,961.4,100,48.9,50.3,354.0,10.2,72.0,7.7
2026-04-15 22:00:00,2026,4,15,22,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,146.0,Unhealthy for Sensitive Groups,2.0,26.1,87,0.0,4.7,176,961.7,61,47.8,49.1,386.0,10.2,66.0,7.9
2026-04-15 23:00:00,2026,4,15,23,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,145.0,Unhealthy for Sensitive Groups,2.0,25.7,89,0.0,4.3,180,961.6,36,46.1,47.3,388.0,9.4,63.0,7.1
2026-04-16 00:00:00,2026,4,16,0,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,144.0,Unhealthy for Sensitive Groups,2.0,25.4,90,0.0,1.4,180,961.3,50,42.7,43.9,373.0,8.0,64.0,5.8
2026-04-16 01:00:00,2026,4,16,1,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,142.0,Unhealthy for Sensitive Groups,2.0,25.1,91,0.0,3.3,49,961.0,54,39.3,40.3,351.0,6.9,64.0,4.6
2026-04-16 02:00:00,2026,4,16,2,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,139.0,Unhealthy for Sensitive Groups,2.0,24.7,94,0.0,4.1,38,960.6,76,39.2,40.3,321.0,6.3,63.0,3.8
2026-04-16 03:00:00,2026,4,16,3,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,137.0,Unhealthy for Sensitive Groups,2.0,24.6,93,0.0,4.3,42,960.4,79,41.0,42.0,283.0,5.9,62.0,3.2
2026-04-16 04:00:00,2026,4,16,4,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,134.0,Unhealthy for Sensitive Groups,2.0,24.5,92,0.0,4.1,38,960.6,63,40.3,41.3,255.0,5.6,64.0,2.9
2026-04-16 05:00:00,2026,4,16,5,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,132.0,Unhealthy for Sensitive Groups,2.0,24.4,92,0.0,3.6,37,961.0,56,40.0,41.0,243.0,5.3,69.0,3.0
2026-04-16 06:00:00,2026,4,16,6,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,128.0,Unhealthy for Sensitive Groups,2.0,24.4,92,0.0,3.5,24,961.5,58,40.9,41.8,239.0,5.1,77.0,3.4
2026-04-16 07:00:00,2026,4,16,7,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,125.0,Unhealthy for Sensitive Groups,2.0,26.0,90,0.0,3.2,360,962.6,62,39.3,40.4,237.0,4.6,87.0,3.8
2026-04-16 08:00:00,2026,4,16,8,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,122.0,Unhealthy for Sensitive Groups,2.0,27.7,78,0.0,5.4,307,963.8,71,34.9,36.1,233.0,3.6,102.0,4.1
2026-04-16 09:00:00,2026,4,16,9,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,119.0,Unhealthy for Sensitive Groups,2.0,28.7,70,0.0,11.4,288,964.1,65,27.7,28.9,231.0,2.5,120.0,4.4
2026-04-16 10:00:00,2026,4,16,10,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,117.0,Unhealthy for Sensitive Groups,2.0,30.0,66,0.0,13.4,284,964.0,70,29.8,31.0,231.0,1.6,134.0,4.4
2026-04-16 11:00:00,2026,4,16,11,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,115.0,Unhealthy for Sensitive Groups,2.0,31.6,60,0.0,13.1,278,963.6,56,31.8,32.9,235.0,1.3,141.0,3.9
2026-04-16 12:00:00,2026,4,16,12,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,114.0,Unhealthy for Sensitive Groups,2.0,33.0,54,0.0,11.6,275,962.6,48,31.8,32.9,241.0,1.3,145.0,3.2
2026-04-16 13:00:00,2026,4,16,13,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,112.0,Unhealthy for Sensitive Groups,2.0,34.1,49,0.0,9.4,274,961.5,50,31.9,32.9,244.0,1.3,147.0,2.6
2026-04-16 14:00:00,2026,4,16,14,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,111.0,Unhealthy for Sensitive Groups,2.0,34.9,45,0.0,7.9,273,960.2,46,31.7,32.8,238.0,1.2,150.0,2.3
2026-04-16 15:00:00,2026,4,16,15,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,110.0,Unhealthy for Sensitive Groups,2.0,34.9,44,0.1,5.2,282,959.3,45,31.3,32.6,229.0,1.2,151.0,2.2
2026-04-16 16:00:00,2026,4,16,16,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,109.0,Unhealthy for Sensitive Groups,2.0,34.7,44,0.0,2.9,277,958.7,32,31.1,32.6,233.0,1.6,148.0,2.4
2026-04-16 17:00:00,2026,4,16,17,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,108.0,Unhealthy for Sensitive Groups,2.0,33.9,46,0.0,2.1,301,958.9,66,31.3,32.8,267.0,2.8,138.0,3.0
2026-04-16 18:00:00,2026,4,16,18,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,112.0,Unhealthy for Sensitive Groups,2.0,32.0,52,0.0,7.5,35,959.9,49,32.9,34.3,314.0,4.4,125.0,4.0
2026-04-16 19:00:00,2026,4,16,19,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,110.0,Unhealthy for Sensitive Groups,2.0,29.7,62,0.0,9.5,37,960.4,19,34.5,35.5,341.0,6.0,111.0,4.9
2026-04-16 20:00:00,2026,4,16,20,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,104.0,Unhealthy for Sensitive Groups,2.0,28.6,67,0.0,7.9,39,960.6,26,36.3,37.4,330.0,7.3,99.0,5.8
2026-04-16 21:00:00,2026,4,16,21,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,103.0,Unhealthy for Sensitive Groups,2.0,27.5,72,0.0,6.4,52,960.7,33,38.1,39.2,300.0,8.4,86.0,6.8
2026-04-16 22:00:00,2026,4,16,22,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,102.0,Unhealthy for Sensitive Groups,2.0,26.8,75,0.0,5.8,68,961.0,28,40.2,41.3,274.0,9.6,74.0,7.3
2026-04-16 23:00:00,2026,4,16,23,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,101.0,Unhealthy for Sensitive Groups,2.0,26.5,77,0.0,5.2,74,960.9,6,41.1,42.5,261.0,10.7,62.0,7.1
2026-04-17 00:00:00,2026,4,17,0,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,101.0,Unhealthy for Sensitive Groups,2.0,26.1,82,0.0,5.0,69,960.7,0,41.8,43.2,253.0,11.8,51.0,6.6
2026-04-17 01:00:00,2026,4,17,1,Gia Lai,Xã Ia Ko,13.5951389,108.0144452,101.0,Unhealthy for Sensitive Groups,2.0,25.8,85,0.0,5.0,69,960.2,15,42.6,44.2,251.0,13.0,41.0,6.1
