timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 09:00:00,2026,4,14,9,Gia Lai,Xã Kbang,14.1822418,108.5591649,121.0,Unhealthy for Sensitive Groups,2.0,29.4,64,0.0,5.8,266,956.8,62,47.3,48.9,285.0,2.7,116.0,4.9
2026-04-14 10:00:00,2026,4,14,10,Gia Lai,Xã Kbang,14.1822418,108.5591649,123.0,Unhealthy for Sensitive Groups,2.0,30.9,57,0.0,5.1,262,956.4,64,46.6,48.3,262.0,1.2,138.0,4.8
2026-04-14 11:00:00,2026,4,14,11,Gia Lai,Xã Kbang,14.1822418,108.5591649,124.0,Unhealthy for Sensitive Groups,2.0,32.1,48,0.0,0.4,270,955.7,64,48.2,50.1,254.0,0.7,146.0,4.4
2026-04-14 12:00:00,2026,4,14,12,Gia Lai,Xã Kbang,14.1822418,108.5591649,126.0,Unhealthy for Sensitive Groups,2.0,33.1,44,0.0,2.3,129,955.1,78,45.6,47.5,254.0,0.9,147.0,3.8
2026-04-14 13:00:00,2026,4,14,13,Gia Lai,Xã Kbang,14.1822418,108.5591649,127.0,Unhealthy for Sensitive Groups,2.0,33.7,44,0.0,5.9,133,954.2,79,44.7,46.4,254.0,1.1,148.0,3.4
2026-04-14 14:00:00,2026,4,14,14,Gia Lai,Xã Kbang,14.1822418,108.5591649,128.0,Unhealthy for Sensitive Groups,2.0,33.1,47,0.0,9.7,135,953.3,80,44.9,46.7,250.0,1.0,153.0,3.2
2026-04-14 15:00:00,2026,4,14,15,Gia Lai,Xã Kbang,14.1822418,108.5591649,129.0,Unhealthy for Sensitive Groups,2.0,29.2,64,1.0,8.3,90,953.1,81,44.2,46.0,247.0,1.0,157.0,3.2
2026-04-14 16:00:00,2026,4,14,16,Gia Lai,Xã Kbang,14.1822418,108.5591649,130.0,Unhealthy for Sensitive Groups,2.0,27.9,71,0.7,4.8,27,953.4,100,43.1,44.7,251.0,1.5,153.0,3.3
2026-04-14 17:00:00,2026,4,14,17,Gia Lai,Xã Kbang,14.1822418,108.5591649,131.0,Unhealthy for Sensitive Groups,2.0,27.2,73,0.0,5.9,52,953.3,100,42.0,43.3,269.0,2.9,135.0,3.4
2026-04-14 18:00:00,2026,4,14,18,Gia Lai,Xã Kbang,14.1822418,108.5591649,132.0,Unhealthy for Sensitive Groups,2.0,26.2,78,0.0,4.3,24,953.6,100,38.9,40.0,295.0,4.9,108.0,3.7
2026-04-14 19:00:00,2026,4,14,19,Gia Lai,Xã Kbang,14.1822418,108.5591649,132.0,Unhealthy for Sensitive Groups,2.0,24.9,84,0.0,3.9,22,954.2,71,37.8,38.8,317.0,6.8,85.0,3.9
