timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 09:00:00,2026,4,14,9,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,86.0,Moderate,1.0,30.3,76,0.0,4.1,135,1008.8,54,33.6,37.6,252.0,6.2,144.0,3.8
2026-04-14 10:00:00,2026,4,14,10,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,86.0,Moderate,1.0,32.0,68,0.0,4.6,135,1008.3,56,33.8,37.7,261.0,4.6,175.0,4.1
2026-04-14 11:00:00,2026,4,14,11,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,86.0,Moderate,1.0,33.6,64,0.0,6.7,126,1007.5,48,34.3,38.6,254.0,3.6,187.0,3.8
2026-04-14 12:00:00,2026,4,14,12,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,86.0,Moderate,1.0,34.9,60,0.0,10.2,122,1006.5,31,31.1,35.3,240.0,3.1,188.0,3.1
2026-04-14 13:00:00,2026,4,14,13,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,87.0,Moderate,1.0,35.2,57,0.0,13.4,121,1005.4,35,28.3,32.4,225.0,2.8,185.0,2.5
2026-04-14 14:00:00,2026,4,14,14,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,102.0,Unhealthy for Sensitive Groups,2.0,34.6,56,0.0,14.1,122,1005.0,25,25.8,29.7,213.0,2.7,178.0,2.2
2026-04-14 15:00:00,2026,4,14,15,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,128.0,Unhealthy for Sensitive Groups,2.0,33.8,58,0.0,11.5,122,1004.6,30,23.2,27.0,201.0,3.0,166.0,2.0
2026-04-14 16:00:00,2026,4,14,16,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,149.0,Unhealthy for Sensitive Groups,2.0,32.3,62,0.0,10.3,119,1004.6,31,20.1,23.8,192.0,3.7,152.0,1.9
2026-04-14 17:00:00,2026,4,14,17,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,157.0,Unhealthy,3.0,30.5,66,0.0,9.0,119,1004.9,100,17.5,21.1,187.0,5.2,133.0,1.8
2026-04-14 18:00:00,2026,4,14,18,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,155.0,Unhealthy,3.0,28.4,72,0.0,7.4,119,1005.5,14,16.7,20.5,185.0,7.3,111.0,1.8
2026-04-14 19:00:00,2026,4,14,19,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,143.0,Unhealthy for Sensitive Groups,2.0,26.9,78,0.0,5.3,118,1006.5,5,17.1,21.1,187.0,8.9,94.0,2.0
2026-04-14 20:00:00,2026,4,14,20,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,123.0,Unhealthy for Sensitive Groups,2.0,25.8,84,0.0,3.4,122,1006.7,0,17.1,21.4,195.0,9.7,85.0,2.4
2026-04-14 21:00:00,2026,4,14,21,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,101.0,Unhealthy for Sensitive Groups,2.0,25.1,88,0.0,2.5,135,1006.7,0,18.0,22.2,206.0,10.1,81.0,3.0
2026-04-14 22:00:00,2026,4,14,22,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,85.0,Moderate,1.0,24.5,90,0.0,2.3,162,1006.6,0,19.6,23.7,215.0,10.8,77.0,3.5
2026-04-14 23:00:00,2026,4,14,23,Gia Lai,Xã Phù Mỹ,14.1718483,109.0489581,85.0,Moderate,1.0,24.0,93,0.0,2.9,180,1006.6,5,22.1,26.1,218.0,12.2,72.0,3.9
