timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 01:00:00,2026,4,14,1,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,113.0,Unhealthy for Sensitive Groups,2.0,26.4,94,0.0,8.2,119,1006.2,89,28.3,31.9,199.0,12.1,96.0,7.0
2026-04-14 02:00:00,2026,4,14,2,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,113.0,Unhealthy for Sensitive Groups,2.0,26.4,94,0.0,9.0,127,1005.4,88,27.4,30.9,196.0,11.7,96.0,6.5
2026-04-14 03:00:00,2026,4,14,3,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,112.0,Unhealthy for Sensitive Groups,2.0,26.4,93,0.0,9.8,126,1005.1,91,27.6,31.0,195.0,11.8,96.0,6.5
2026-04-14 04:00:00,2026,4,14,4,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,111.0,Unhealthy for Sensitive Groups,2.0,26.3,93,0.0,10.8,120,1005.3,88,28.5,31.7,197.0,12.3,95.0,6.9
2026-04-14 05:00:00,2026,4,14,5,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,110.0,Unhealthy for Sensitive Groups,2.0,26.3,92,0.0,9.8,114,1006.0,84,29.9,33.1,204.0,14.0,87.0,7.9
2026-04-14 06:00:00,2026,4,14,6,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,109.0,Unhealthy for Sensitive Groups,2.0,26.2,92,0.0,10.2,113,1006.5,88,32.4,35.5,214.0,16.1,78.0,9.3
2026-04-14 07:00:00,2026,4,14,7,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,108.0,Unhealthy for Sensitive Groups,2.0,26.7,92,0.0,11.8,117,1007.0,86,37.3,40.2,221.0,16.8,78.0,10.6
2026-04-14 08:00:00,2026,4,14,8,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,106.0,Unhealthy for Sensitive Groups,2.0,27.6,87,0.0,13.5,136,1007.7,83,35.3,39.5,221.0,14.8,94.0,11.7
2026-04-14 09:00:00,2026,4,14,9,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,105.0,Unhealthy for Sensitive Groups,2.0,28.4,83,0.0,13.4,149,1008.1,85,35.0,40.6,218.0,11.3,120.0,12.7
2026-04-14 10:00:00,2026,4,14,10,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,104.0,Unhealthy for Sensitive Groups,2.0,29.6,77,0.0,13.4,156,1008.3,76,37.0,43.8,215.0,8.3,143.0,13.1
2026-04-14 11:00:00,2026,4,14,11,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,103.0,Unhealthy for Sensitive Groups,2.0,30.6,73,0.0,14.0,154,1008.1,66,37.8,44.0,215.0,6.4,163.0,12.7
2026-04-14 12:00:00,2026,4,14,12,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,101.0,Unhealthy for Sensitive Groups,2.0,31.0,71,0.0,14.0,151,1007.7,66,37.5,42.6,215.0,4.9,182.0,11.7
2026-04-14 13:00:00,2026,4,14,13,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,100.0,Moderate,1.0,30.6,74,0.0,15.3,137,1006.6,63,37.1,42.1,213.0,4.3,191.0,10.8
2026-04-14 14:00:00,2026,4,14,14,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,99.0,Moderate,1.0,30.3,75,0.0,19.9,125,1005.4,57,35.5,40.5,207.0,4.6,185.0,10.0
2026-04-14 15:00:00,2026,4,14,15,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,112.0,Unhealthy for Sensitive Groups,2.0,29.5,78,0.0,20.8,124,1004.6,57,32.6,37.3,199.0,5.7,170.0,9.2
2026-04-14 16:00:00,2026,4,14,16,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,132.0,Unhealthy for Sensitive Groups,2.0,28.5,82,0.0,21.4,119,1004.1,66,29.8,34.2,193.0,7.4,153.0,8.8
2026-04-14 17:00:00,2026,4,14,17,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,145.0,Unhealthy for Sensitive Groups,2.0,27.8,84,0.0,18.5,127,1004.3,100,29.2,33.3,191.0,10.4,133.0,9.0
2026-04-14 18:00:00,2026,4,14,18,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,147.0,Unhealthy for Sensitive Groups,2.0,27.1,88,0.0,17.2,127,1004.3,100,29.9,33.6,190.0,14.1,111.0,9.6
2026-04-14 19:00:00,2026,4,14,19,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,140.0,Unhealthy for Sensitive Groups,2.0,26.6,90,0.0,16.2,122,1004.5,100,31.3,35.0,189.0,16.6,95.0,10.0
2026-04-14 20:00:00,2026,4,14,20,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,126.0,Unhealthy for Sensitive Groups,2.0,26.5,91,0.0,15.7,122,1004.9,82,32.1,35.9,187.0,16.8,89.0,10.2
2026-04-14 21:00:00,2026,4,14,21,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,106.0,Unhealthy for Sensitive Groups,2.0,26.5,92,0.0,12.9,117,1005.5,86,32.1,35.9,185.0,15.9,89.0,10.2
2026-04-14 22:00:00,2026,4,14,22,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,94.0,Moderate,1.0,26.5,92,0.0,10.7,123,1005.7,87,32.4,36.1,182.0,15.0,89.0,10.0
2026-04-14 23:00:00,2026,4,14,23,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,94.0,Moderate,1.0,26.5,93,0.0,8.6,123,1005.8,89,32.4,36.2,178.0,14.6,85.0,9.3
2026-04-15 00:00:00,2026,4,15,0,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,94.0,Moderate,1.0,26.5,93,0.0,10.4,124,1005.2,90,31.1,35.0,173.0,14.4,81.0,8.4
2026-04-15 01:00:00,2026,4,15,1,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,94.0,Moderate,1.0,26.4,93,0.0,8.3,124,1004.9,91,29.7,33.6,170.0,14.2,78.0,7.7
2026-04-15 02:00:00,2026,4,15,2,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,94.0,Moderate,1.0,26.3,94,0.0,8.5,118,1004.5,90,28.5,32.2,169.0,14.1,76.0,7.3
2026-04-15 03:00:00,2026,4,15,3,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,94.0,Moderate,1.0,26.3,94,0.0,9.4,113,1004.0,92,28.1,31.8,170.0,14.0,76.0,7.2
2026-04-15 04:00:00,2026,4,15,4,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,94.0,Moderate,1.0,26.3,93,0.0,10.2,113,1004.2,92,28.5,32.1,172.0,14.2,74.0,7.4
2026-04-15 05:00:00,2026,4,15,5,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,94.0,Moderate,1.0,26.3,92,0.0,10.6,114,1004.6,93,29.2,32.8,175.0,15.2,68.0,8.3
2026-04-15 06:00:00,2026,4,15,6,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,94.0,Moderate,1.0,26.2,92,0.0,11.4,114,1005.3,91,30.4,34.0,178.0,16.3,61.0,9.5
2026-04-15 07:00:00,2026,4,15,7,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,94.0,Moderate,1.0,26.7,92,0.0,13.0,118,1006.0,85,33.4,36.7,180.0,16.2,63.0,10.4
2026-04-15 08:00:00,2026,4,15,8,Hải Phòng,Xã Nguyễn Bỉnh Khiêm,20.640481,106.5682834,93.0,Moderate,1.0,27.4,88,0.0,15.8,133,1006.8,84,30.0,35.0,179.0,13.5,81.0,10.5
