timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 09:00:00,2026,4,14,9,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,115.0,Unhealthy for Sensitive Groups,2.0,29.0,82,0.0,10.5,158,1008.6,85,41.4,46.9,329.0,10.8,119.0,11.3
2026-04-14 10:00:00,2026,4,14,10,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,115.0,Unhealthy for Sensitive Groups,2.0,30.2,76,0.0,10.1,163,1008.3,92,42.5,49.0,328.0,8.0,141.0,11.4
2026-04-14 11:00:00,2026,4,14,11,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,114.0,Unhealthy for Sensitive Groups,2.0,31.5,71,0.0,8.4,173,1008.0,92,42.6,48.9,335.0,6.3,161.0,11.1
2026-04-14 12:00:00,2026,4,14,12,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,113.0,Unhealthy for Sensitive Groups,2.0,32.8,65,0.0,9.4,157,1007.3,58,41.7,46.9,344.0,5.1,181.0,10.4
2026-04-14 13:00:00,2026,4,14,13,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,113.0,Unhealthy for Sensitive Groups,2.0,33.7,62,0.0,12.1,143,1005.9,38,40.9,45.6,345.0,4.6,191.0,9.8
2026-04-14 14:00:00,2026,4,14,14,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,112.0,Unhealthy for Sensitive Groups,2.0,33.7,62,0.0,15.6,130,1004.7,35,39.1,43.7,330.0,5.0,188.0,9.3
2026-04-14 15:00:00,2026,4,14,15,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,113.0,Unhealthy for Sensitive Groups,2.0,32.6,68,0.0,16.3,135,1004.3,58,36.4,40.6,308.0,6.2,175.0,8.7
2026-04-14 16:00:00,2026,4,14,16,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,133.0,Unhealthy for Sensitive Groups,2.0,31.2,73,0.0,18.1,131,1003.7,59,34.3,38.5,290.0,7.9,160.0,8.5
2026-04-14 17:00:00,2026,4,14,17,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,146.0,Unhealthy for Sensitive Groups,2.0,29.8,77,0.0,15.6,130,1003.8,51,34.5,38.6,282.0,10.7,141.0,8.8
2026-04-14 18:00:00,2026,4,14,18,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,151.0,Unhealthy,3.0,28.3,83,0.0,14.3,131,1004.0,54,34.7,38.4,279.0,14.0,119.0,9.3
2026-04-14 19:00:00,2026,4,14,19,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,146.0,Unhealthy for Sensitive Groups,2.0,27.2,87,0.0,12.0,131,1004.6,56,34.8,38.6,279.0,16.2,102.0,9.7
2026-04-14 20:00:00,2026,4,14,20,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,134.0,Unhealthy for Sensitive Groups,2.0,26.5,92,0.0,8.0,126,1005.2,99,35.0,38.9,286.0,16.2,96.0,9.8
2026-04-14 21:00:00,2026,4,14,21,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,116.0,Unhealthy for Sensitive Groups,2.0,26.3,93,0.0,6.5,124,1005.9,89,34.9,38.8,295.0,14.9,96.0,9.7
2026-04-14 22:00:00,2026,4,14,22,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,107.0,Unhealthy for Sensitive Groups,2.0,26.2,94,0.0,5.4,138,1006.4,86,34.8,38.6,294.0,13.8,95.0,9.3
2026-04-14 23:00:00,2026,4,14,23,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,106.0,Unhealthy for Sensitive Groups,2.0,26.2,94,0.0,5.7,108,1006.5,91,33.9,37.8,270.0,13.0,92.0,8.4
2026-04-15 00:00:00,2026,4,15,0,Hưng Yên,Xã Minh Thọ,20.6864123,106.3372682,105.0,Unhealthy for Sensitive Groups,2.0,26.1,94,0.0,8.1,103,1005.7,94,31.9,35.7,235.0,12.3,88.0,7.3
