timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,114.0,Unhealthy for Sensitive Groups,2.0,26.2,93,0.0,5.2,124,1006.2,83,32.1,37.1,240.0,7.3,103.0,3.0
2026-04-14 22:00:00,2026,4,14,22,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,114.0,Unhealthy for Sensitive Groups,2.0,26.0,94,0.0,4.8,138,1006.7,82,29.6,34.3,234.0,6.5,100.0,2.8
2026-04-14 23:00:00,2026,4,14,23,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,113.0,Unhealthy for Sensitive Groups,2.0,26.0,95,0.0,5.9,133,1006.8,84,26.1,30.6,229.0,6.1,95.0,2.4
2026-04-15 00:00:00,2026,4,15,0,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,112.0,Unhealthy for Sensitive Groups,2.0,26.0,95,0.0,5.9,128,1006.0,89,22.9,27.4,223.0,5.9,89.0,2.0
2026-04-15 01:00:00,2026,4,15,1,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,111.0,Unhealthy for Sensitive Groups,2.0,25.9,94,0.0,5.8,112,1005.6,88,21.4,25.7,218.0,6.0,84.0,1.7
2026-04-15 02:00:00,2026,4,15,2,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,111.0,Unhealthy for Sensitive Groups,2.0,25.9,94,0.0,6.0,115,1004.7,92,20.7,25.0,211.0,6.4,83.0,1.7
2026-04-15 03:00:00,2026,4,15,3,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,110.0,Unhealthy for Sensitive Groups,2.0,25.8,95,0.0,5.6,117,1004.3,91,21.3,25.6,203.0,7.0,83.0,2.0
2026-04-15 04:00:00,2026,4,15,4,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,109.0,Unhealthy for Sensitive Groups,2.0,25.8,95,0.0,5.4,110,1004.7,92,22.9,27.2,202.0,7.8,82.0,2.3
2026-04-15 05:00:00,2026,4,15,5,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,108.0,Unhealthy for Sensitive Groups,2.0,25.8,95,0.0,6.3,114,1005.0,90,25.0,29.3,213.0,9.1,77.0,2.8
2026-04-15 06:00:00,2026,4,15,6,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,107.0,Unhealthy for Sensitive Groups,2.0,25.8,94,0.0,6.9,118,1005.9,92,26.5,31.0,229.0,10.4,71.0,3.4
2026-04-15 07:00:00,2026,4,15,7,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,106.0,Unhealthy for Sensitive Groups,2.0,26.2,93,0.0,7.2,117,1006.5,90,27.6,31.8,240.0,10.7,71.0,3.9
2026-04-15 08:00:00,2026,4,15,8,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,103.0,Unhealthy for Sensitive Groups,2.0,27.0,89,0.0,11.5,139,1007.6,90,26.3,31.9,239.0,8.8,83.0,4.0
2026-04-15 09:00:00,2026,4,15,9,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,100.0,Moderate,1.0,27.9,84,0.0,13.5,151,1008.1,85,26.4,32.7,232.0,5.8,100.0,4.0
2026-04-15 10:00:00,2026,4,15,10,Hưng Yên,Xã Nam Thụy Anh,20.5503726,106.4686809,97.0,Moderate,1.0,29.1,78,0.0,15.2,158,1008.4,89,27.8,34.5,227.0,3.5,117.0,3.9
