timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 01:00:00,2026,4,14,1,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,94.0,Moderate,1.0,26.3,95,0.0,5.2,124,1006.2,91,21.4,25.0,225.0,4.6,118.0,1.8
2026-04-14 02:00:00,2026,4,14,2,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,93.0,Moderate,1.0,26.2,95,0.0,5.8,112,1005.4,94,21.4,24.9,218.0,4.6,119.0,1.8
2026-04-14 03:00:00,2026,4,14,3,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,92.0,Moderate,1.0,26.2,95,0.0,6.6,119,1005.1,90,21.8,25.1,216.0,4.8,122.0,1.9
2026-04-14 04:00:00,2026,4,14,4,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,91.0,Moderate,1.0,26.1,95,0.0,6.6,119,1005.3,84,22.4,25.7,222.0,5.3,123.0,2.1
2026-04-14 05:00:00,2026,4,14,5,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,90.0,Moderate,1.0,26.0,95,0.0,6.2,111,1006.1,87,23.3,26.7,239.0,6.3,119.0,2.5
2026-04-14 06:00:00,2026,4,14,6,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,90.0,Moderate,1.0,26.0,95,0.0,5.9,104,1006.6,87,24.6,28.1,262.0,7.6,113.0,3.1
2026-04-14 07:00:00,2026,4,14,7,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,89.0,Moderate,1.0,26.5,94,0.0,7.9,114,1007.1,83,26.5,30.2,284.0,8.1,111.0,3.5
2026-04-14 08:00:00,2026,4,14,8,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,88.0,Moderate,1.0,27.5,89,0.0,8.0,144,1007.9,83,27.1,31.4,301.0,7.0,118.0,3.6
2026-04-14 09:00:00,2026,4,14,9,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,87.0,Moderate,1.0,29.1,82,0.0,8.3,162,1008.1,83,26.7,31.7,316.0,5.2,129.0,3.6
2026-04-14 10:00:00,2026,4,14,10,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,86.0,Moderate,1.0,30.5,76,0.0,7.5,163,1008.1,83,26.4,31.8,326.0,3.7,138.0,3.6
2026-04-14 11:00:00,2026,4,14,11,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,85.0,Moderate,1.0,32.0,70,0.0,6.7,164,1007.9,73,25.8,31.2,329.0,3.1,145.0,3.6
2026-04-14 12:00:00,2026,4,14,12,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,85.0,Moderate,1.0,33.0,66,0.0,6.9,152,1007.2,82,25.5,30.9,327.0,3.0,150.0,3.6
2026-04-14 13:00:00,2026,4,14,13,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,84.0,Moderate,1.0,33.4,65,0.0,10.5,128,1005.8,60,25.3,30.5,319.0,3.1,152.0,3.5
2026-04-14 14:00:00,2026,4,14,14,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,91.0,Moderate,1.0,32.9,69,0.0,14.5,125,1004.6,43,25.1,30.2,303.0,3.5,147.0,3.2
2026-04-14 15:00:00,2026,4,14,15,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,98.0,Moderate,1.0,32.1,71,0.0,15.2,121,1003.9,46,25.1,29.9,281.0,4.2,138.0,2.8
2026-04-14 16:00:00,2026,4,14,16,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,104.0,Unhealthy for Sensitive Groups,2.0,30.9,76,0.0,14.4,122,1003.7,77,25.4,30.2,265.0,5.1,130.0,2.6
2026-04-14 17:00:00,2026,4,14,17,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,107.0,Unhealthy for Sensitive Groups,2.0,29.5,78,0.0,14.0,134,1003.9,100,26.1,30.6,259.0,6.4,124.0,2.7
2026-04-14 18:00:00,2026,4,14,18,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,106.0,Unhealthy for Sensitive Groups,2.0,28.4,84,0.0,12.3,128,1003.9,100,26.9,31.2,257.0,8.0,119.0,3.0
2026-04-14 19:00:00,2026,4,14,19,Hưng Yên,Xã Tiên Hưng,20.5402714,106.2637139,102.0,Unhealthy for Sensitive Groups,2.0,27.4,87,0.0,11.2,123,1004.3,75,26.5,30.7,255.0,8.8,114.0,3.2
