timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,108.0,Unhealthy for Sensitive Groups,2.0,22.3,100,0.0,1.9,202,942.4,73,32.5,33.5,343.0,14.5,53.0,5.0
2026-04-14 22:00:00,2026,4,14,22,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,108.0,Unhealthy for Sensitive Groups,2.0,21.8,99,0.0,4.5,256,942.5,63,39.0,40.3,349.0,17.0,44.0,5.1
2026-04-14 23:00:00,2026,4,14,23,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,107.0,Unhealthy for Sensitive Groups,2.0,21.5,98,0.0,5.4,262,942.5,53,46.4,46.8,337.0,18.0,38.0,4.2
2026-04-15 00:00:00,2026,4,15,0,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,108.0,Unhealthy for Sensitive Groups,2.0,21.1,96,0.0,5.4,262,942.0,45,50.9,51.2,315.0,18.3,33.0,2.8
2026-04-15 01:00:00,2026,4,15,1,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,108.0,Unhealthy for Sensitive Groups,2.0,20.1,98,0.0,4.3,246,941.1,51,51.2,51.5,296.0,17.8,30.0,1.7
2026-04-15 02:00:00,2026,4,15,2,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,108.0,Unhealthy for Sensitive Groups,2.0,19.7,97,0.0,4.8,243,940.4,47,47.5,47.8,285.0,16.5,28.0,1.3
2026-04-15 03:00:00,2026,4,15,3,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,108.0,Unhealthy for Sensitive Groups,2.0,19.3,96,0.0,5.0,249,940.1,41,45.2,45.5,279.0,14.6,28.0,1.3
2026-04-15 04:00:00,2026,4,15,4,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,108.0,Unhealthy for Sensitive Groups,2.0,19.1,95,0.0,5.0,249,940.2,44,43.2,43.4,275.0,12.5,32.0,1.4
2026-04-15 05:00:00,2026,4,15,5,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,107.0,Unhealthy for Sensitive Groups,2.0,18.8,95,0.0,5.4,250,940.8,38,42.1,42.4,277.0,10.3,42.0,1.7
2026-04-15 06:00:00,2026,4,15,6,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,107.0,Unhealthy for Sensitive Groups,2.0,18.7,95,0.0,5.2,254,941.1,40,41.1,41.3,283.0,7.9,55.0,2.1
2026-04-15 07:00:00,2026,4,15,7,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,106.0,Unhealthy for Sensitive Groups,2.0,21.9,89,0.0,3.5,246,942.1,0,31.1,31.4,285.0,5.8,71.0,2.5
2026-04-15 08:00:00,2026,4,15,8,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,104.0,Unhealthy for Sensitive Groups,2.0,25.5,64,0.0,3.8,49,943.0,0,26.6,27.2,279.0,4.0,90.0,2.8
2026-04-15 09:00:00,2026,4,15,9,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,102.0,Unhealthy for Sensitive Groups,2.0,26.9,59,0.0,5.4,48,943.8,3,22.5,23.8,269.0,2.5,110.0,3.1
2026-04-15 10:00:00,2026,4,15,10,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,101.0,Unhealthy for Sensitive Groups,2.0,28.2,57,0.0,8.0,54,943.6,40,22.7,25.4,261.0,1.4,126.0,3.3
2026-04-15 11:00:00,2026,4,15,11,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,99.0,Moderate,1.0,29.4,52,0.0,10.0,52,943.6,59,22.8,26.3,258.0,1.0,134.0,3.2
2026-04-15 12:00:00,2026,4,15,12,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,98.0,Moderate,1.0,29.8,49,0.0,10.5,49,942.5,74,22.6,26.5,256.0,1.1,136.0,2.9
2026-04-15 13:00:00,2026,4,15,13,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,96.0,Moderate,1.0,30.3,47,0.0,10.0,49,941.7,87,22.4,26.0,253.0,1.3,137.0,2.7
2026-04-15 14:00:00,2026,4,15,14,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,95.0,Moderate,1.0,29.7,48,0.0,11.1,54,940.4,93,21.7,24.9,241.0,1.2,137.0,2.6
2026-04-15 15:00:00,2026,4,15,15,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,94.0,Moderate,1.0,27.1,73,0.5,11.2,75,940.2,100,20.5,23.3,227.0,1.2,136.0,2.5
2026-04-15 16:00:00,2026,4,15,16,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,93.0,Moderate,1.0,26.1,77,1.6,8.8,99,939.8,100,19.4,22.2,226.0,1.7,129.0,2.5
2026-04-15 17:00:00,2026,4,15,17,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,93.0,Moderate,1.0,25.2,78,1.1,6.4,106,940.5,100,18.1,20.7,249.0,3.0,113.0,2.6
2026-04-15 18:00:00,2026,4,15,18,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,92.0,Moderate,1.0,24.1,82,0.2,2.8,130,941.2,100,18.0,20.0,284.0,4.8,92.0,2.9
2026-04-15 19:00:00,2026,4,15,19,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,92.0,Moderate,1.0,23.2,89,0.0,2.6,34,941.8,100,18.7,20.7,314.0,6.9,74.0,3.3
2026-04-15 20:00:00,2026,4,15,20,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,91.0,Moderate,1.0,22.6,94,0.0,1.8,360,942.0,100,21.8,24.2,333.0,9.6,64.0,4.2
2026-04-15 21:00:00,2026,4,15,21,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,91.0,Moderate,1.0,22.1,96,0.0,3.3,264,942.1,100,26.6,28.8,346.0,12.7,56.0,5.3
2026-04-15 22:00:00,2026,4,15,22,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,90.0,Moderate,1.0,21.3,97,0.0,4.6,252,942.3,78,32.6,34.7,352.0,15.3,49.0,5.8
2026-04-15 23:00:00,2026,4,15,23,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,90.0,Moderate,1.0,20.6,98,0.0,4.3,246,942.1,53,38.2,40.0,349.0,17.6,39.0,5.2
2026-04-16 00:00:00,2026,4,16,0,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,89.0,Moderate,1.0,20.2,97,0.0,4.7,247,942.0,51,42.8,44.4,338.0,19.5,29.0,4.0
2026-04-16 01:00:00,2026,4,16,1,Khánh Hòa,Xã Nam Khánh Vĩnh,12.2091376,108.8002324,88.0,Moderate,1.0,19.8,97,0.0,5.2,245,941.2,47,44.0,45.3,326.0,20.0,22.0,3.0
