timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 22:00:00,2026,4,13,22,Lai Châu,Xã Mường Mô,22.176696,102.8509769,136.0,Unhealthy for Sensitive Groups,2.0,20.2,59,0.0,4.0,270,909.2,29,60.3,73.6,295.0,12.8,94.0,5.0
2026-04-13 23:00:00,2026,4,13,23,Lai Châu,Xã Mường Mô,22.176696,102.8509769,138.0,Unhealthy for Sensitive Groups,2.0,19.1,63,0.0,4.6,288,909.2,36,64.0,77.5,295.0,14.0,85.0,5.1
2026-04-14 00:00:00,2026,4,14,0,Lai Châu,Xã Mường Mô,22.176696,102.8509769,140.0,Unhealthy for Sensitive Groups,2.0,18.4,65,0.0,3.8,311,909.0,36,66.8,80.3,291.0,15.0,78.0,5.2
2026-04-14 01:00:00,2026,4,14,1,Lai Châu,Xã Mường Mô,22.176696,102.8509769,142.0,Unhealthy for Sensitive Groups,2.0,17.8,68,0.0,4.0,297,908.5,49,68.9,82.4,291.0,16.0,71.0,5.1
2026-04-14 02:00:00,2026,4,14,2,Lai Châu,Xã Mường Mô,22.176696,102.8509769,145.0,Unhealthy for Sensitive Groups,2.0,17.4,70,0.0,3.5,294,908.1,27,71.0,84.5,297.0,17.6,61.0,5.0
2026-04-14 03:00:00,2026,4,14,3,Lai Châu,Xã Mường Mô,22.176696,102.8509769,147.0,Unhealthy for Sensitive Groups,2.0,16.5,75,0.0,2.9,300,907.8,21,73.1,86.4,306.0,19.3,52.0,4.7
2026-04-14 04:00:00,2026,4,14,4,Lai Châu,Xã Mường Mô,22.176696,102.8509769,149.0,Unhealthy for Sensitive Groups,2.0,15.8,80,0.0,3.1,324,907.8,37,75.0,88.2,312.0,20.3,48.0,4.6
2026-04-14 05:00:00,2026,4,14,5,Lai Châu,Xã Mường Mô,22.176696,102.8509769,150.0,Unhealthy for Sensitive Groups,2.0,15.4,82,0.0,3.1,306,908.4,39,77.5,90.8,307.0,20.5,52.0,4.5
2026-04-14 06:00:00,2026,4,14,6,Lai Châu,Xã Mường Mô,22.176696,102.8509769,151.0,Unhealthy,3.0,15.2,84,0.0,2.8,310,909.0,35,80.8,94.1,299.0,19.9,62.0,4.6
2026-04-14 07:00:00,2026,4,14,7,Lai Châu,Xã Mường Mô,22.176696,102.8509769,151.0,Unhealthy,3.0,16.8,86,0.0,2.9,300,909.9,51,85.0,98.3,307.0,17.8,80.0,4.7
2026-04-14 08:00:00,2026,4,14,8,Lai Châu,Xã Mường Mô,22.176696,102.8509769,151.0,Unhealthy,3.0,22.7,64,0.0,1.5,346,911.9,21,82.4,92.2,352.0,12.9,113.0,5.2
2026-04-14 09:00:00,2026,4,14,9,Lai Châu,Xã Mường Mô,22.176696,102.8509769,152.0,Unhealthy,3.0,25.6,50,0.0,1.3,34,912.9,61,71.2,84.1,413.0,6.4,154.0,5.8
2026-04-14 10:00:00,2026,4,14,10,Lai Châu,Xã Mường Mô,22.176696,102.8509769,152.0,Unhealthy,3.0,28.2,43,0.0,0.4,360,913.5,44,57.6,71.7,445.0,1.7,182.0,6.0
2026-04-14 11:00:00,2026,4,14,11,Lai Châu,Xã Mường Mô,22.176696,102.8509769,152.0,Unhealthy,3.0,31.3,36,0.0,1.5,256,913.6,28,43.0,55.3,420.0,0.4,185.0,5.4
2026-04-14 12:00:00,2026,4,14,12,Lai Châu,Xã Mường Mô,22.176696,102.8509769,152.0,Unhealthy,3.0,33.3,30,0.0,10.5,262,913.0,51,36.9,47.7,367.0,0.8,175.0,4.3
2026-04-14 13:00:00,2026,4,14,13,Lai Châu,Xã Mường Mô,22.176696,102.8509769,152.0,Unhealthy,3.0,34.6,23,0.0,14.2,249,911.9,9,35.5,45.6,327.0,1.3,168.0,3.5
2026-04-14 14:00:00,2026,4,14,14,Lai Châu,Xã Mường Mô,22.176696,102.8509769,152.0,Unhealthy,3.0,35.0,21,0.0,16.3,252,910.5,23,35.3,45.1,319.0,1.3,170.0,3.3
2026-04-14 15:00:00,2026,4,14,15,Lai Châu,Xã Mường Mô,22.176696,102.8509769,152.0,Unhealthy,3.0,34.9,21,0.0,16.9,246,909.5,15,35.5,44.9,324.0,1.4,175.0,3.4
2026-04-14 16:00:00,2026,4,14,16,Lai Châu,Xã Mường Mô,22.176696,102.8509769,151.0,Unhealthy,3.0,34.5,21,0.0,16.8,247,908.9,33,35.6,44.5,329.0,1.9,175.0,3.6
2026-04-14 17:00:00,2026,4,14,17,Lai Châu,Xã Mường Mô,22.176696,102.8509769,158.0,Unhealthy,3.0,33.5,20,0.0,15.4,254,908.7,15,36.0,43.5,330.0,3.2,166.0,3.7
2026-04-14 18:00:00,2026,4,14,18,Lai Châu,Xã Mường Mô,22.176696,102.8509769,160.0,Unhealthy,3.0,31.6,21,0.0,9.8,264,908.5,0,36.8,43.3,331.0,5.0,151.0,3.9
2026-04-14 19:00:00,2026,4,14,19,Lai Châu,Xã Mường Mô,22.176696,102.8509769,155.0,Unhealthy,3.0,27.6,28,0.0,5.9,281,908.4,16,40.3,46.7,333.0,6.7,137.0,4.1
2026-04-14 20:00:00,2026,4,14,20,Lai Châu,Xã Mường Mô,22.176696,102.8509769,151.0,Unhealthy,3.0,24.2,38,0.0,4.7,279,908.4,26,43.4,49.6,337.0,8.3,124.0,4.4
2026-04-14 21:00:00,2026,4,14,21,Lai Châu,Xã Mường Mô,22.176696,102.8509769,151.0,Unhealthy,3.0,21.6,50,0.0,4.3,275,908.4,0,46.1,52.3,343.0,9.9,111.0,4.8
