timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 09:00:00,2026,4,14,9,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,156.0,Unhealthy,3.0,28.0,56,0.0,2.6,254,967.9,76,89.6,113.9,459.0,6.3,183.0,8.0
2026-04-14 10:00:00,2026,4,14,10,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,157.0,Unhealthy,3.0,31.0,46,0.0,5.0,270,968.1,51,86.8,110.8,457.0,2.7,195.0,7.6
2026-04-14 11:00:00,2026,4,14,11,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,158.0,Unhealthy,3.0,33.8,33,0.0,9.0,270,967.6,54,77.5,103.1,443.0,1.5,200.0,6.9
2026-04-14 12:00:00,2026,4,14,12,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,159.0,Unhealthy,3.0,35.0,26,0.0,12.3,263,966.7,13,70.5,95.0,423.0,1.5,200.0,6.0
2026-04-14 13:00:00,2026,4,14,13,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,161.0,Unhealthy,3.0,36.0,24,0.0,15.2,263,965.4,0,68.5,91.3,405.0,1.7,201.0,5.4
2026-04-14 14:00:00,2026,4,14,14,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,169.0,Unhealthy,3.0,36.6,24,0.0,17.0,257,964.0,0,66.8,87.8,392.0,1.6,204.0,5.2
2026-04-14 15:00:00,2026,4,14,15,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,177.0,Unhealthy,3.0,36.7,22,0.0,16.9,254,963.0,2,65.0,83.8,381.0,1.7,208.0,5.3
2026-04-14 16:00:00,2026,4,14,16,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,186.0,Unhealthy,3.0,36.4,23,0.0,16.7,256,962.5,37,64.0,81.5,375.0,2.5,207.0,5.6
2026-04-14 17:00:00,2026,4,14,17,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,192.0,Unhealthy,3.0,35.4,25,0.0,15.9,257,962.5,52,65.0,80.6,375.0,4.8,198.0,6.1
2026-04-14 18:00:00,2026,4,14,18,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,195.0,Unhealthy,3.0,33.8,26,0.0,11.0,251,962.8,46,67.3,82.0,381.0,7.9,184.0,6.7
2026-04-14 19:00:00,2026,4,14,19,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,193.0,Unhealthy,3.0,31.7,27,0.0,7.9,246,963.3,0,68.9,83.6,389.0,10.1,173.0,7.2
2026-04-14 20:00:00,2026,4,14,20,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,189.0,Unhealthy,3.0,30.0,29,0.0,5.2,236,963.9,7,69.4,84.3,401.0,10.6,169.0,7.5
2026-04-14 21:00:00,2026,4,14,21,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,184.0,Unhealthy,3.0,29.3,34,0.0,3.6,225,964.2,30,69.4,83.8,415.0,10.2,169.0,7.7
2026-04-14 22:00:00,2026,4,14,22,Lai Châu,Xã Nậm Mạ,22.1499064,103.4388058,179.0,Unhealthy,3.0,28.3,38,0.0,4.7,203,964.4,0,69.2,82.9,430.0,9.9,168.0,7.9
