timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 22:00:00,2026,4,13,22,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,119.0,Unhealthy for Sensitive Groups,2.0,25.9,34,0.0,4.7,270,915.3,42,44.6,60.1,262.0,11.7,124.0,4.8
2026-04-13 23:00:00,2026,4,13,23,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,113.0,Unhealthy for Sensitive Groups,2.0,25.6,35,0.0,5.4,270,915.3,49,46.7,62.9,259.0,12.4,121.0,5.0
2026-04-14 00:00:00,2026,4,14,0,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,105.0,Unhealthy for Sensitive Groups,2.0,25.3,35,0.0,6.1,270,915.2,51,48.2,65.0,261.0,12.7,120.0,5.1
2026-04-14 01:00:00,2026,4,14,1,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,105.0,Unhealthy for Sensitive Groups,2.0,25.2,37,0.0,5.8,274,914.7,55,49.5,66.6,270.0,13.1,119.0,5.2
2026-04-14 02:00:00,2026,4,14,2,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,106.0,Unhealthy for Sensitive Groups,2.0,24.9,38,0.0,6.5,276,914.2,49,50.6,68.2,291.0,13.9,116.0,5.3
2026-04-14 03:00:00,2026,4,14,3,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,108.0,Unhealthy for Sensitive Groups,2.0,24.6,39,0.0,5.8,274,913.9,30,51.7,69.4,320.0,14.7,113.0,5.4
2026-04-14 04:00:00,2026,4,14,4,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,110.0,Unhealthy for Sensitive Groups,2.0,23.9,42,0.0,5.4,278,913.9,33,52.9,70.5,342.0,15.3,112.0,5.5
2026-04-14 05:00:00,2026,4,14,5,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,112.0,Unhealthy for Sensitive Groups,2.0,23.5,43,0.0,5.3,298,914.5,6,54.8,72.9,351.0,15.8,113.0,5.9
2026-04-14 06:00:00,2026,4,14,6,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,115.0,Unhealthy for Sensitive Groups,2.0,23.2,45,0.0,5.2,286,914.9,0,56.7,74.7,353.0,15.9,117.0,6.3
2026-04-14 07:00:00,2026,4,14,7,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,117.0,Unhealthy for Sensitive Groups,2.0,24.3,47,0.0,4.6,288,915.8,35,59.4,77.3,355.0,14.7,124.0,6.5
2026-04-14 08:00:00,2026,4,14,8,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,117.0,Unhealthy for Sensitive Groups,2.0,26.1,48,0.0,5.7,252,916.8,55,56.6,71.7,363.0,10.8,139.0,6.2
2026-04-14 09:00:00,2026,4,14,9,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,118.0,Unhealthy for Sensitive Groups,2.0,27.2,46,0.0,8.9,238,917.5,56,57.4,72.6,371.0,5.5,159.0,5.7
2026-04-14 10:00:00,2026,4,14,10,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,118.0,Unhealthy for Sensitive Groups,2.0,29.0,40,0.0,12.9,240,918.0,28,47.3,60.8,372.0,1.6,172.0,5.0
2026-04-14 11:00:00,2026,4,14,11,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,119.0,Unhealthy for Sensitive Groups,2.0,30.3,34,0.0,15.8,243,917.8,0,35.2,46.2,360.0,0.5,173.0,4.1
2026-04-14 12:00:00,2026,4,14,12,Lai Châu,Xã Pa Tần,22.4051231,103.1087574,120.0,Unhealthy for Sensitive Groups,2.0,31.0,32,0.0,18.7,247,917.3,0,31.3,41.2,341.0,0.7,168.0,3.2
