timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-15 00:00:00,2026,4,15,0,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,163.0,Unhealthy,3.0,23.9,49,0.0,3.4,342,906.6,51,85.0,103.6,506.0,10.1,163.0,7.8
2026-04-15 01:00:00,2026,4,15,1,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,163.0,Unhealthy,3.0,23.5,48,0.0,3.1,324,906.0,0,85.9,103.8,516.0,10.5,161.0,7.9
2026-04-15 02:00:00,2026,4,15,2,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,163.0,Unhealthy,3.0,22.2,53,0.0,1.9,338,905.2,0,86.4,104.1,518.0,11.1,157.0,8.0
2026-04-15 03:00:00,2026,4,15,3,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,163.0,Unhealthy,3.0,22.5,51,0.0,2.3,309,904.9,0,87.1,104.3,517.0,11.7,152.0,8.0
2026-04-15 04:00:00,2026,4,15,4,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,163.0,Unhealthy,3.0,22.1,50,0.0,3.8,319,905.1,29,87.8,104.5,517.0,12.3,148.0,8.1
2026-04-15 05:00:00,2026,4,15,5,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,164.0,Unhealthy,3.0,21.3,54,0.0,2.2,360,905.0,48,88.2,104.5,522.0,13.2,146.0,8.5
2026-04-15 06:00:00,2026,4,15,6,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,164.0,Unhealthy,3.0,21.4,53,0.0,1.3,326,905.7,72,88.9,104.8,528.0,14.1,144.0,9.0
2026-04-15 07:00:00,2026,4,15,7,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,164.0,Unhealthy,3.0,22.8,54,0.0,1.9,338,907.0,71,90.1,105.2,528.0,13.6,147.0,9.2
2026-04-15 08:00:00,2026,4,15,8,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,163.0,Unhealthy,3.0,24.2,56,0.0,0.8,243,908.1,49,87.5,99.4,517.0,10.3,156.0,8.8
2026-04-15 09:00:00,2026,4,15,9,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,163.0,Unhealthy,3.0,26.3,51,0.0,2.9,180,909.0,43,82.4,93.6,499.0,5.5,170.0,8.1
2026-04-15 10:00:00,2026,4,15,10,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,163.0,Unhealthy,3.0,28.3,44,0.0,5.1,188,909.3,0,61.0,71.7,480.0,2.0,179.0,7.3
2026-04-15 11:00:00,2026,4,15,11,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,162.0,Unhealthy,3.0,29.9,38,0.0,7.6,199,909.2,4,49.7,60.8,458.0,1.0,181.0,6.4
2026-04-15 12:00:00,2026,4,15,12,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,161.0,Unhealthy,3.0,30.4,34,0.0,8.2,221,908.2,42,43.8,56.1,434.0,1.2,179.0,5.4
2026-04-15 13:00:00,2026,4,15,13,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,161.0,Unhealthy,3.0,30.8,32,0.0,11.3,233,906.6,86,41.0,54.2,419.0,1.6,178.0,4.7
2026-04-15 14:00:00,2026,4,15,14,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,160.0,Unhealthy,3.0,31.7,29,0.0,14.5,235,905.5,66,39.6,52.6,418.0,1.5,181.0,4.3
2026-04-15 15:00:00,2026,4,15,15,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,160.0,Unhealthy,3.0,31.6,27,0.0,15.9,231,904.5,86,39.3,51.6,426.0,1.6,184.0,4.2
2026-04-15 16:00:00,2026,4,15,16,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,162.0,Unhealthy,3.0,30.7,29,0.0,15.9,237,904.3,65,40.3,51.7,438.0,2.3,184.0,4.3
2026-04-15 17:00:00,2026,4,15,17,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,166.0,Unhealthy,3.0,30.4,30,0.0,13.0,226,904.4,89,42.5,52.6,458.0,4.3,177.0,4.7
2026-04-15 18:00:00,2026,4,15,18,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,168.0,Unhealthy,3.0,28.9,34,0.0,10.2,203,904.7,59,45.2,54.9,483.0,7.0,166.0,5.3
2026-04-15 19:00:00,2026,4,15,19,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,165.0,Unhealthy,3.0,27.4,37,0.0,6.0,205,904.9,57,47.5,57.2,498.0,9.0,158.0,5.8
2026-04-15 20:00:00,2026,4,15,20,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,162.0,Unhealthy,3.0,26.3,40,0.1,4.5,209,905.3,72,49.4,59.3,494.0,9.7,155.0,6.2
2026-04-15 21:00:00,2026,4,15,21,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,158.0,Unhealthy,3.0,25.2,51,0.2,4.2,59,905.7,50,50.9,61.0,480.0,9.8,154.0,6.7
2026-04-15 22:00:00,2026,4,15,22,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,156.0,Unhealthy,3.0,25.2,49,0.0,2.5,90,906.1,53,52.4,62.4,470.0,10.0,153.0,7.0
2026-04-15 23:00:00,2026,4,15,23,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,155.0,Unhealthy,3.0,24.7,51,0.0,1.5,76,906.2,70,53.8,63.8,471.0,10.4,150.0,7.2
2026-04-16 00:00:00,2026,4,16,0,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,154.0,Unhealthy,3.0,24.5,53,0.0,2.2,351,906.0,76,54.8,64.7,476.0,11.0,147.0,7.4
2026-04-16 01:00:00,2026,4,16,1,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,154.0,Unhealthy,3.0,24.3,50,0.0,6.3,301,905.9,82,55.3,65.2,477.0,11.5,144.0,7.5
2026-04-16 02:00:00,2026,4,16,2,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,153.0,Unhealthy,3.0,23.2,50,0.0,10.3,299,906.2,79,55.6,65.7,470.0,12.1,140.0,7.5
2026-04-16 03:00:00,2026,4,16,3,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,152.0,Unhealthy,3.0,22.9,53,0.1,8.5,306,906.3,95,56.1,66.1,459.0,12.8,135.0,7.5
2026-04-16 04:00:00,2026,4,16,4,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,152.0,Unhealthy,3.0,21.5,62,0.3,7.5,325,906.5,95,56.6,66.6,451.0,13.4,131.0,7.6
2026-04-16 05:00:00,2026,4,16,5,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,151.0,Unhealthy,3.0,20.0,74,0.6,4.2,329,906.6,86,57.2,67.1,452.0,14.3,128.0,7.9
2026-04-16 06:00:00,2026,4,16,6,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,150.0,Unhealthy for Sensitive Groups,2.0,19.4,81,0.6,2.3,288,907.2,87,57.9,67.8,457.0,15.2,126.0,8.2
2026-04-16 07:00:00,2026,4,16,7,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,148.0,Unhealthy for Sensitive Groups,2.0,20.2,83,0.2,1.1,360,907.9,51,59.4,68.9,455.0,14.5,130.0,8.3
2026-04-16 08:00:00,2026,4,16,8,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,144.0,Unhealthy for Sensitive Groups,2.0,22.0,74,0.0,1.8,281,909.3,42,58.6,66.8,440.0,11.0,145.0,8.1
2026-04-16 09:00:00,2026,4,16,9,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,141.0,Unhealthy for Sensitive Groups,2.0,23.3,72,0.0,4.9,253,910.0,78,56.8,64.7,418.0,5.9,166.0,7.6
2026-04-16 10:00:00,2026,4,16,10,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,139.0,Unhealthy for Sensitive Groups,2.0,24.8,65,0.0,3.7,241,910.5,92,44.8,52.5,397.0,2.2,180.0,7.0
2026-04-16 11:00:00,2026,4,16,11,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,137.0,Unhealthy for Sensitive Groups,2.0,26.8,54,0.0,4.1,232,910.2,52,35.0,42.7,381.0,1.1,182.0,6.2
2026-04-16 12:00:00,2026,4,16,12,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,136.0,Unhealthy for Sensitive Groups,2.0,28.7,44,0.0,7.8,236,909.8,45,34.1,43.4,367.0,1.2,177.0,5.3
2026-04-16 13:00:00,2026,4,16,13,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,135.0,Unhealthy for Sensitive Groups,2.0,29.2,42,0.0,10.1,253,908.6,41,33.9,43.4,350.0,1.5,174.0,4.6
2026-04-16 14:00:00,2026,4,16,14,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,139.0,Unhealthy for Sensitive Groups,2.0,29.9,40,0.0,11.0,247,907.5,47,34.1,43.3,320.0,1.3,177.0,4.1
2026-04-16 15:00:00,2026,4,16,15,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,150.0,Unhealthy for Sensitive Groups,2.0,29.8,37,0.0,15.3,255,906.6,73,34.7,43.9,288.0,1.3,181.0,3.8
2026-04-16 16:00:00,2026,4,16,16,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,158.0,Unhealthy,3.0,28.9,38,0.2,11.5,250,906.3,90,36.0,45.2,278.0,2.1,182.0,3.8
2026-04-16 17:00:00,2026,4,16,17,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,164.0,Unhealthy,3.0,28.2,45,0.0,7.3,250,906.5,56,38.2,47.0,309.0,4.6,177.0,4.3
2026-04-16 18:00:00,2026,4,16,18,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,165.0,Unhealthy,3.0,26.2,58,0.3,2.1,211,906.9,83,41.0,49.9,362.0,8.0,168.0,5.0
2026-04-16 19:00:00,2026,4,16,19,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,164.0,Unhealthy,3.0,25.0,62,0.1,2.4,63,907.0,41,43.8,52.9,407.0,10.6,160.0,5.7
2026-04-16 20:00:00,2026,4,16,20,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,160.0,Unhealthy,3.0,24.0,57,0.0,4.3,24,907.2,13,45.3,54.5,433.0,11.7,155.0,6.2
2026-04-16 21:00:00,2026,4,16,21,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,157.0,Unhealthy,3.0,23.0,60,0.0,3.9,34,907.6,89,46.2,55.4,451.0,12.0,150.0,6.5
2026-04-16 22:00:00,2026,4,16,22,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,153.0,Unhealthy,3.0,22.6,61,0.0,4.4,9,907.9,48,46.8,56.1,468.0,12.4,146.0,6.8
2026-04-16 23:00:00,2026,4,16,23,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,147.0,Unhealthy for Sensitive Groups,2.0,22.4,61,0.0,4.5,346,907.9,51,47.3,56.7,489.0,12.9,144.0,7.0
2026-04-17 00:00:00,2026,4,17,0,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,139.0,Unhealthy for Sensitive Groups,2.0,22.3,61,0.0,3.3,347,907.9,53,47.6,57.2,509.0,13.4,142.0,7.0
2026-04-17 01:00:00,2026,4,17,1,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,131.0,Unhealthy for Sensitive Groups,2.0,21.9,64,0.0,3.5,336,907.7,80,48.2,57.7,516.0,14.2,138.0,7.0
2026-04-17 02:00:00,2026,4,17,2,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,127.0,Unhealthy for Sensitive Groups,2.0,21.7,66,0.0,2.6,326,907.5,92,48.8,58.2,499.0,15.7,128.0,7.0
2026-04-17 03:00:00,2026,4,17,3,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,127.0,Unhealthy for Sensitive Groups,2.0,21.5,67,0.0,1.1,360,907.2,84,49.2,58.6,470.0,17.5,116.0,6.9
2026-04-17 04:00:00,2026,4,17,4,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,126.0,Unhealthy for Sensitive Groups,2.0,21.1,69,0.0,1.3,34,907.2,82,49.9,58.9,449.0,18.7,104.0,6.7
2026-04-17 05:00:00,2026,4,17,5,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,125.0,Unhealthy for Sensitive Groups,2.0,21.2,66,0.0,2.3,39,907.6,77,50.8,59.3,451.0,19.5,90.0,6.4
2026-04-17 06:00:00,2026,4,17,6,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,125.0,Unhealthy for Sensitive Groups,2.0,20.9,67,0.0,1.1,18,908.4,70,52.2,60.1,463.0,19.9,76.0,6.0
2026-04-17 07:00:00,2026,4,17,7,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,124.0,Unhealthy for Sensitive Groups,2.0,21.7,70,0.0,1.8,349,909.1,74,52.9,58.8,463.0,18.4,77.0,5.7
2026-04-17 08:00:00,2026,4,17,8,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,123.0,Unhealthy for Sensitive Groups,2.0,23.1,68,0.0,2.8,220,910.2,79,48.3,53.4,438.0,13.6,105.0,5.5
2026-04-17 09:00:00,2026,4,17,9,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,122.0,Unhealthy for Sensitive Groups,2.0,23.9,66,0.0,4.3,156,910.8,97,41.0,45.5,401.0,7.0,148.0,5.4
2026-04-17 10:00:00,2026,4,17,10,Lai Châu,Xã Tân Uyên,22.1394193,103.736657,121.0,Unhealthy for Sensitive Groups,2.0,25.4,61,0.0,5.8,120,911.2,79,35.0,39.0,374.0,2.1,180.0,5.2
