timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,105.0,Unhealthy for Sensitive Groups,2.0,27.0,82,0.0,7.9,164,987.6,8,34.6,35.3,198.0,12.5,39.0,4.4
2026-04-14 22:00:00,2026,4,14,22,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,105.0,Unhealthy for Sensitive Groups,2.0,26.5,86,0.0,4.9,163,987.9,6,36.3,37.0,198.0,13.9,31.0,4.5
2026-04-14 23:00:00,2026,4,14,23,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,105.0,Unhealthy for Sensitive Groups,2.0,26.0,88,0.0,4.1,165,987.9,27,38.4,39.2,198.0,14.9,25.0,3.8
2026-04-15 00:00:00,2026,4,15,0,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,104.0,Unhealthy for Sensitive Groups,2.0,25.7,89,0.0,4.5,166,987.6,45,40.2,40.9,199.0,15.5,21.0,2.6
2026-04-15 01:00:00,2026,4,15,1,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,104.0,Unhealthy for Sensitive Groups,2.0,25.4,91,0.0,3.9,158,987.2,63,40.0,40.7,199.0,15.3,19.0,1.6
2026-04-15 02:00:00,2026,4,15,2,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,104.0,Unhealthy for Sensitive Groups,2.0,25.2,92,0.0,3.6,143,986.5,73,37.8,38.5,200.0,14.0,19.0,1.2
2026-04-15 03:00:00,2026,4,15,3,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,103.0,Unhealthy for Sensitive Groups,2.0,25.0,93,0.0,3.2,153,986.2,78,35.3,36.1,201.0,12.0,21.0,1.0
2026-04-15 04:00:00,2026,4,15,4,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,102.0,Unhealthy for Sensitive Groups,2.0,24.9,93,0.0,3.0,166,986.2,76,34.1,34.8,199.0,10.0,26.0,0.9
2026-04-15 05:00:00,2026,4,15,5,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,101.0,Unhealthy for Sensitive Groups,2.0,24.8,94,0.0,2.5,172,986.9,69,33.2,33.8,192.0,8.3,36.0,1.0
2026-04-15 06:00:00,2026,4,15,6,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,101.0,Unhealthy for Sensitive Groups,2.0,24.8,94,0.0,2.7,203,987.4,73,32.7,33.2,182.0,6.7,49.0,1.3
2026-04-15 07:00:00,2026,4,15,7,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,100.0,Moderate,1.0,25.8,88,0.0,6.0,197,988.3,82,24.3,25.4,174.0,5.2,62.0,1.5
2026-04-15 08:00:00,2026,4,15,8,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,99.0,Moderate,1.0,27.0,80,0.0,9.7,180,989.2,81,19.6,20.8,170.0,3.8,73.0,1.5
2026-04-15 09:00:00,2026,4,15,9,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,98.0,Moderate,1.0,28.1,73,0.0,9.4,178,989.8,81,16.5,18.2,168.0,2.5,83.0,1.5
2026-04-15 10:00:00,2026,4,15,10,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,96.0,Moderate,1.0,29.6,66,0.0,9.7,180,989.8,68,20.1,22.2,168.0,1.6,92.0,1.4
2026-04-15 11:00:00,2026,4,15,11,Lâm Đồng,Xã Đạ Huoai,11.4333338,107.5250087,95.0,Moderate,1.0,31.4,58,0.0,9.4,178,989.3,49,15.7,17.0,171.0,1.1,99.0,1.3
