timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 23:00:00,2026,4,13,23,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,71.0,Moderate,1.0,22.0,95,0.0,2.2,9,904.0,22,29.3,31.4,454.0,16.5,43.0,3.6
2026-04-14 00:00:00,2026,4,14,0,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,71.0,Moderate,1.0,21.3,96,0.0,2.7,23,903.4,23,31.8,33.9,501.0,16.3,38.0,2.7
2026-04-14 01:00:00,2026,4,14,1,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,71.0,Moderate,1.0,20.6,97,0.0,3.1,21,902.8,40,32.6,33.8,521.0,15.7,35.0,2.0
2026-04-14 02:00:00,2026,4,14,2,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,72.0,Moderate,1.0,19.9,98,0.0,3.2,27,902.2,68,33.4,34.7,487.0,14.8,34.0,1.6
2026-04-14 03:00:00,2026,4,14,3,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,72.0,Moderate,1.0,19.4,99,0.0,3.1,36,901.8,66,32.6,33.9,426.0,13.4,34.0,1.3
2026-04-14 04:00:00,2026,4,14,4,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,73.0,Moderate,1.0,19.4,98,0.0,3.1,45,902.3,50,32.7,33.9,389.0,11.8,39.0,1.2
2026-04-14 05:00:00,2026,4,14,5,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,73.0,Moderate,1.0,19.2,98,0.0,2.9,60,902.8,48,32.5,33.8,413.0,9.9,49.0,1.2
2026-04-14 06:00:00,2026,4,14,6,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,74.0,Moderate,1.0,19.3,97,0.0,3.1,54,903.2,37,32.2,33.5,461.0,7.7,63.0,1.4
2026-04-14 07:00:00,2026,4,14,7,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,74.0,Moderate,1.0,21.4,93,0.0,2.2,90,904.5,40,27.0,28.2,479.0,5.7,79.0,1.6
2026-04-14 08:00:00,2026,4,14,8,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,74.0,Moderate,1.0,23.8,85,0.0,4.0,170,905.7,79,23.2,24.6,431.0,4.0,99.0,1.8
2026-04-14 09:00:00,2026,4,14,9,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,75.0,Moderate,1.0,26.3,73,0.0,5.4,176,906.3,43,22.4,23.6,353.0,2.4,121.0,2.1
2026-04-14 10:00:00,2026,4,14,10,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,75.0,Moderate,1.0,28.3,61,0.0,6.7,164,906.5,49,24.9,26.1,292.0,1.3,137.0,2.2
2026-04-14 11:00:00,2026,4,14,11,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,75.0,Moderate,1.0,30.0,52,0.0,7.9,164,906.3,72,23.6,24.7,271.0,0.9,142.0,2.2
2026-04-14 12:00:00,2026,4,14,12,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,76.0,Moderate,1.0,31.1,47,0.0,8.8,171,905.7,60,22.4,23.5,267.0,0.9,140.0,2.1
2026-04-14 13:00:00,2026,4,14,13,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,76.0,Moderate,1.0,31.6,45,0.0,10.9,171,904.7,72,21.6,22.8,261.0,1.0,136.0,2.0
2026-04-14 14:00:00,2026,4,14,14,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,76.0,Moderate,1.0,31.6,44,0.0,11.4,167,903.8,91,22.8,24.2,239.0,0.9,131.0,1.8
2026-04-14 15:00:00,2026,4,14,15,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,77.0,Moderate,1.0,31.1,45,0.0,11.6,164,903.1,82,18.1,19.4,214.0,0.8,124.0,1.6
2026-04-14 16:00:00,2026,4,14,16,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,86.0,Moderate,1.0,28.9,57,0.0,13.3,161,902.8,91,15.4,16.6,206.0,1.6,115.0,1.6
2026-04-14 17:00:00,2026,4,14,17,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,89.0,Moderate,1.0,27.4,64,0.2,7.9,180,902.8,83,15.8,17.8,224.0,3.5,102.0,2.0
2026-04-14 18:00:00,2026,4,14,18,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,85.0,Moderate,1.0,26.0,72,0.2,5.4,160,903.0,84,16.6,18.7,259.0,6.2,87.0,2.5
2026-04-14 19:00:00,2026,4,14,19,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,78.0,Moderate,1.0,24.4,82,0.2,5.4,172,903.2,66,19.3,21.7,308.0,9.2,73.0,3.0
2026-04-14 20:00:00,2026,4,14,20,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,78.0,Moderate,1.0,23.7,89,0.0,2.9,173,903.3,41,22.4,24.8,377.0,12.8,62.0,3.4
2026-04-14 21:00:00,2026,4,14,21,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,78.0,Moderate,1.0,23.1,93,0.0,1.8,180,903.3,24,27.1,29.6,460.0,16.6,52.0,3.8
2026-04-14 22:00:00,2026,4,14,22,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,78.0,Moderate,1.0,22.7,94,0.0,0.5,135,903.3,0,32.1,34.5,531.0,19.1,44.0,3.8
2026-04-14 23:00:00,2026,4,14,23,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,79.0,Moderate,1.0,22.3,96,0.0,2.5,90,903.1,9,37.7,39.1,592.0,19.5,38.0,3.2
2026-04-15 00:00:00,2026,4,15,0,Lâm Đồng,Xã Hiệp Thạnh,11.77431,108.40965,79.0,Moderate,1.0,21.5,97,0.0,3.1,69,902.7,37,36.3,37.6,642.0,18.5,34.0,2.3
