timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 22:00:00,2026,4,13,22,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,199.0,Unhealthy,3.0,27.2,84,0.0,1.5,194,1001.9,62,37.8,42.3,336.0,17.5,88.0,14.9
2026-04-13 23:00:00,2026,4,13,23,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,170.0,Unhealthy,3.0,27.0,85,0.0,1.1,198,1002.0,78,38.3,43.4,336.0,17.1,82.0,13.6
2026-04-14 00:00:00,2026,4,14,0,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,135.0,Unhealthy for Sensitive Groups,2.0,27.0,85,0.0,1.0,225,1001.7,57,37.1,42.5,337.0,16.1,84.0,12.8
2026-04-14 01:00:00,2026,4,14,1,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,134.0,Unhealthy for Sensitive Groups,2.0,26.5,87,0.0,1.3,124,1001.3,51,34.1,39.1,331.0,15.3,85.0,12.1
2026-04-14 02:00:00,2026,4,14,2,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,133.0,Unhealthy for Sensitive Groups,2.0,26.4,87,0.0,1.1,198,1000.8,53,30.9,35.5,313.0,15.0,82.0,11.4
2026-04-14 03:00:00,2026,4,14,3,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,132.0,Unhealthy for Sensitive Groups,2.0,26.0,89,0.0,1.8,79,1000.8,60,28.6,33.1,288.0,14.8,79.0,10.9
2026-04-14 04:00:00,2026,4,14,4,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,131.0,Unhealthy for Sensitive Groups,2.0,25.7,91,0.0,2.2,99,1001.1,88,27.5,31.9,271.0,14.6,76.0,10.6
2026-04-14 05:00:00,2026,4,14,5,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,130.0,Unhealthy for Sensitive Groups,2.0,25.7,91,0.0,2.9,83,1001.8,84,27.4,31.8,267.0,14.6,70.0,10.3
2026-04-14 06:00:00,2026,4,14,6,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,129.0,Unhealthy for Sensitive Groups,2.0,25.6,92,0.0,2.9,60,1002.2,81,27.9,32.5,271.0,14.5,64.0,10.1
2026-04-14 07:00:00,2026,4,14,7,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,128.0,Unhealthy for Sensitive Groups,2.0,26.5,93,0.0,1.8,53,1002.7,70,27.5,31.2,274.0,13.9,68.0,11.1
2026-04-14 08:00:00,2026,4,14,8,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,125.0,Unhealthy for Sensitive Groups,2.0,28.1,81,0.0,2.5,172,1003.5,76,27.0,31.9,270.0,12.1,88.0,14.0
2026-04-14 09:00:00,2026,4,14,9,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,124.0,Unhealthy for Sensitive Groups,2.0,28.9,77,0.0,7.3,189,1003.7,75,29.2,35.2,267.0,9.7,118.0,18.1
2026-04-14 10:00:00,2026,4,14,10,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,122.0,Unhealthy for Sensitive Groups,2.0,30.3,72,0.0,8.6,195,1003.6,72,34.3,41.2,276.0,7.6,149.0,21.2
2026-04-14 11:00:00,2026,4,14,11,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,121.0,Unhealthy for Sensitive Groups,2.0,31.7,66,0.0,9.7,202,1003.1,85,38.9,43.3,309.0,6.1,183.0,22.6
2026-04-14 12:00:00,2026,4,14,12,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,119.0,Unhealthy for Sensitive Groups,2.0,32.8,62,0.0,10.2,203,1002.5,61,48.2,53.0,355.0,4.8,219.0,23.1
2026-04-14 13:00:00,2026,4,14,13,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,118.0,Unhealthy for Sensitive Groups,2.0,33.9,57,0.0,10.9,197,1001.1,58,56.1,61.5,394.0,4.2,245.0,23.4
2026-04-14 14:00:00,2026,4,14,14,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,116.0,Unhealthy for Sensitive Groups,2.0,34.4,57,0.0,11.7,189,999.8,32,61.2,67.1,422.0,4.2,259.0,23.9
2026-04-14 15:00:00,2026,4,14,15,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,149.0,Unhealthy for Sensitive Groups,2.0,34.4,57,0.0,12.1,168,998.7,30,62.2,68.0,442.0,4.8,264.0,24.3
2026-04-14 16:00:00,2026,4,14,16,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,181.0,Unhealthy,3.0,33.7,60,0.0,13.8,160,998.1,80,59.3,64.5,444.0,6.1,254.0,24.1
2026-04-14 17:00:00,2026,4,14,17,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,203.0,Very Unhealthy,4.0,32.3,65,0.0,13.0,161,998.1,96,52.0,55.8,415.0,8.8,221.0,23.1
2026-04-14 18:00:00,2026,4,14,18,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,210.0,Very Unhealthy,4.0,30.6,70,0.0,11.3,163,998.4,100,42.6,44.9,367.0,12.3,175.0,21.5
2026-04-14 19:00:00,2026,4,14,19,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,212.0,Very Unhealthy,4.0,29.1,77,0.0,8.4,155,999.0,19,34.0,36.1,326.0,15.0,135.0,19.8
2026-04-14 20:00:00,2026,4,14,20,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,208.0,Very Unhealthy,4.0,28.2,80,0.0,4.7,157,1000.1,25,30.2,33.2,300.0,16.3,111.0,17.9
2026-04-14 21:00:00,2026,4,14,21,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,201.0,Very Unhealthy,4.0,27.4,84,0.0,2.4,153,1000.9,72,28.5,32.0,280.0,16.8,94.0,15.8
2026-04-14 22:00:00,2026,4,14,22,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,179.0,Unhealthy,3.0,26.9,87,0.0,2.5,135,1001.0,71,28.9,32.8,268.0,17.0,82.0,14.2
2026-04-14 23:00:00,2026,4,14,23,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,151.0,Unhealthy,3.0,26.5,89,0.0,2.1,149,1000.9,76,30.3,34.8,267.0,17.0,76.0,13.2
2026-04-15 00:00:00,2026,4,15,0,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,111.0,Unhealthy for Sensitive Groups,2.0,26.5,89,0.0,0.4,180,1000.7,83,31.2,36.3,272.0,16.6,75.0,12.7
2026-04-15 01:00:00,2026,4,15,1,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,105.0,Unhealthy for Sensitive Groups,2.0,26.3,89,0.0,2.3,108,1000.5,87,30.5,35.7,273.0,16.3,74.0,12.2
2026-04-15 02:00:00,2026,4,15,2,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,104.0,Unhealthy for Sensitive Groups,2.0,26.2,90,0.0,2.7,113,999.9,95,29.2,34.1,261.0,16.1,72.0,11.7
2026-04-15 03:00:00,2026,4,15,3,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,104.0,Unhealthy for Sensitive Groups,2.0,26.1,90,0.0,2.1,59,999.4,84,28.1,32.8,245.0,15.8,70.0,11.4
2026-04-15 04:00:00,2026,4,15,4,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,104.0,Unhealthy for Sensitive Groups,2.0,25.9,91,0.0,2.5,82,999.5,90,27.4,31.9,235.0,15.4,70.0,11.3
2026-04-15 05:00:00,2026,4,15,5,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,104.0,Unhealthy for Sensitive Groups,2.0,25.8,91,0.0,2.9,83,999.7,82,26.5,31.0,239.0,14.9,70.0,11.4
2026-04-15 06:00:00,2026,4,15,6,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,104.0,Unhealthy for Sensitive Groups,2.0,25.8,91,0.0,2.9,83,1000.4,80,26.1,30.5,250.0,14.3,71.0,11.9
2026-04-15 07:00:00,2026,4,15,7,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,104.0,Unhealthy for Sensitive Groups,2.0,26.5,92,0.0,1.8,90,1001.3,83,24.6,29.5,255.0,13.2,79.0,13.0
2026-04-15 08:00:00,2026,4,15,8,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,104.0,Unhealthy for Sensitive Groups,2.0,27.8,83,0.0,5.7,145,1002.2,80,24.3,29.5,245.0,11.3,96.0,15.4
2026-04-15 09:00:00,2026,4,15,9,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,103.0,Unhealthy for Sensitive Groups,2.0,28.7,77,0.0,9.4,157,1002.6,90,26.6,32.5,230.0,9.1,119.0,18.5
2026-04-15 10:00:00,2026,4,15,10,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,103.0,Unhealthy for Sensitive Groups,2.0,29.8,73,0.0,11.1,167,1002.5,85,30.9,36.4,226.0,7.1,143.0,20.8
2026-04-15 11:00:00,2026,4,15,11,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,103.0,Unhealthy for Sensitive Groups,2.0,30.6,69,0.0,12.6,175,1002.3,75,36.1,40.4,245.0,5.6,170.0,21.6
2026-04-15 12:00:00,2026,4,15,12,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,102.0,Unhealthy for Sensitive Groups,2.0,31.3,67,0.0,13.1,172,1001.7,79,40.4,44.5,275.0,4.5,198.0,21.7
2026-04-15 13:00:00,2026,4,15,13,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,102.0,Unhealthy for Sensitive Groups,2.0,32.2,64,0.1,15.7,164,1000.3,80,43.5,47.4,302.0,4.0,216.0,21.5
2026-04-15 14:00:00,2026,4,15,14,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,100.0,Moderate,1.0,32.3,63,0.0,16.5,160,999.1,76,45.3,49.2,323.0,4.1,222.0,21.2
2026-04-15 15:00:00,2026,4,15,15,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,131.0,Unhealthy for Sensitive Groups,2.0,31.9,65,0.0,17.9,158,998.2,93,44.4,48.0,340.0,4.8,218.0,20.6
2026-04-15 16:00:00,2026,4,15,16,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,158.0,Unhealthy,3.0,30.7,70,0.0,16.4,151,998.0,100,40.4,43.8,344.0,6.2,205.0,19.9
2026-04-15 17:00:00,2026,4,15,17,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,175.0,Unhealthy,3.0,29.7,72,0.0,15.9,152,998.2,100,35.0,38.3,328.0,8.8,177.0,19.0
2026-04-15 18:00:00,2026,4,15,18,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,184.0,Unhealthy,3.0,28.4,76,0.0,15.3,150,998.5,100,31.9,35.3,299.0,12.1,140.0,18.0
2026-04-15 19:00:00,2026,4,15,19,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,184.0,Unhealthy,3.0,27.5,80,0.0,8.4,130,999.1,49,28.2,31.4,274.0,14.5,110.0,16.9
2026-04-15 20:00:00,2026,4,15,20,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,174.0,Unhealthy,3.0,27.0,82,0.0,4.8,167,1000.2,92,25.4,28.7,258.0,15.2,94.0,15.7
2026-04-15 21:00:00,2026,4,15,21,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,158.0,Unhealthy,3.0,26.7,83,0.0,3.9,158,1001.0,69,23.5,27.0,246.0,15.0,85.0,14.5
2026-04-15 22:00:00,2026,4,15,22,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,133.0,Unhealthy for Sensitive Groups,2.0,26.4,85,0.0,3.7,169,1001.4,79,22.8,26.4,238.0,14.8,78.0,13.4
2026-04-15 23:00:00,2026,4,15,23,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,102.0,Unhealthy for Sensitive Groups,2.0,26.3,87,0.0,2.0,225,1001.4,100,22.3,26.0,235.0,14.8,73.0,12.6
2026-04-16 00:00:00,2026,4,16,0,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,90.0,Moderate,1.0,26.0,88,0.3,3.7,151,1000.9,89,21.8,25.6,236.0,14.8,70.0,12.1
2026-04-16 01:00:00,2026,4,16,1,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,90.0,Moderate,1.0,26.0,89,0.1,0.8,117,1000.6,86,21.8,25.6,237.0,14.8,67.0,11.6
2026-04-16 02:00:00,2026,4,16,2,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,89.0,Moderate,1.0,25.9,89,0.0,1.0,45,1000.3,77,22.1,26.0,235.0,15.0,63.0,11.1
2026-04-16 03:00:00,2026,4,16,3,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,88.0,Moderate,1.0,25.7,90,0.0,1.1,72,1000.2,84,22.6,26.5,232.0,15.2,60.0,10.6
2026-04-16 04:00:00,2026,4,16,4,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,88.0,Moderate,1.0,25.5,91,0.0,2.1,59,1000.3,70,22.7,26.6,230.0,15.3,59.0,10.6
2026-04-16 05:00:00,2026,4,16,5,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,87.0,Moderate,1.0,25.4,92,0.0,1.5,76,1000.8,79,23.1,27.0,228.0,15.3,60.0,11.3
2026-04-16 06:00:00,2026,4,16,6,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,87.0,Moderate,1.0,25.3,93,0.0,2.3,51,1001.5,81,24.3,28.5,226.0,15.2,63.0,12.5
2026-04-16 07:00:00,2026,4,16,7,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,87.0,Moderate,1.0,26.3,94,0.0,1.8,37,1002.2,86,25.2,30.7,228.0,14.5,72.0,13.7
2026-04-16 08:00:00,2026,4,16,8,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,87.0,Moderate,1.0,27.6,84,0.0,3.3,139,1003.1,79,24.9,29.7,234.0,12.8,88.0,14.7
2026-04-16 09:00:00,2026,4,16,9,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,87.0,Moderate,1.0,28.5,79,0.0,6.4,164,1003.5,91,29.4,33.3,244.0,10.4,110.0,15.6
2026-04-16 10:00:00,2026,4,16,10,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,87.0,Moderate,1.0,30.0,73,0.0,9.8,186,1003.5,60,36.9,40.9,258.0,8.3,134.0,16.5
2026-04-16 11:00:00,2026,4,16,11,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,88.0,Moderate,1.0,31.3,68,0.0,11.1,193,1002.9,64,43.5,47.6,278.0,6.5,164.0,17.4
2026-04-16 12:00:00,2026,4,16,12,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,88.0,Moderate,1.0,32.7,63,0.0,11.9,183,1001.7,60,48.7,52.6,302.0,5.0,197.0,18.3
2026-04-16 13:00:00,2026,4,16,13,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,89.0,Moderate,1.0,33.6,59,0.0,13.4,188,1000.5,55,53.2,56.8,326.0,4.1,223.0,19.3
2026-04-16 14:00:00,2026,4,16,14,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,90.0,Moderate,1.0,34.1,56,0.0,14.1,186,999.5,67,55.8,59.3,350.0,4.0,240.0,20.6
2026-04-16 15:00:00,2026,4,16,15,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,128.0,Unhealthy for Sensitive Groups,2.0,33.5,60,0.0,14.4,176,998.7,58,56.1,59.5,375.0,4.7,251.0,21.9
2026-04-16 16:00:00,2026,4,16,16,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,162.0,Unhealthy,3.0,32.5,65,0.0,15.7,160,998.4,47,54.0,57.0,399.0,6.0,245.0,22.6
2026-04-16 17:00:00,2026,4,16,17,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,187.0,Unhealthy,3.0,31.1,70,0.0,14.7,155,998.6,49,47.6,50.2,424.0,8.6,214.0,22.2
2026-04-16 18:00:00,2026,4,16,18,Lạng Sơn,Xã Tân Thành,21.501752,106.4629351,201.0,Very Unhealthy,4.0,29.6,75,0.0,11.3,153,999.2,100,39.9,42.0,448.0,12.0,167.0,21.1
