timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 23:00:00,2026,4,13,23,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,110.0,Unhealthy for Sensitive Groups,2.0,23.7,36,0.0,6.8,245,867.7,22,53.0,72.4,446.0,21.0,113.0,7.0
2026-04-14 00:00:00,2026,4,14,0,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,110.0,Unhealthy for Sensitive Groups,2.0,23.4,37,0.0,6.8,245,867.4,25,54.8,74.7,436.0,21.1,110.0,7.0
2026-04-14 01:00:00,2026,4,14,1,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,112.0,Unhealthy for Sensitive Groups,2.0,23.2,39,0.0,6.3,239,866.8,35,56.7,77.1,423.0,21.0,109.0,7.0
2026-04-14 02:00:00,2026,4,14,2,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,115.0,Unhealthy for Sensitive Groups,2.0,22.9,40,0.0,7.0,258,866.3,62,58.2,78.9,405.0,20.6,109.0,7.0
2026-04-14 03:00:00,2026,4,14,3,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,117.0,Unhealthy for Sensitive Groups,2.0,22.9,42,0.0,6.5,264,866.2,55,59.6,80.3,385.0,20.0,110.0,6.9
2026-04-14 04:00:00,2026,4,14,4,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,120.0,Unhealthy for Sensitive Groups,2.0,22.6,43,0.0,6.1,267,866.2,56,61.0,82.0,373.0,19.4,112.0,6.9
2026-04-14 05:00:00,2026,4,14,5,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,123.0,Unhealthy for Sensitive Groups,2.0,22.4,44,0.0,5.9,256,866.7,55,63.1,83.8,376.0,19.6,115.0,7.2
2026-04-14 06:00:00,2026,4,14,6,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,126.0,Unhealthy for Sensitive Groups,2.0,22.0,45,0.0,5.2,245,866.8,47,65.4,86.4,389.0,19.8,119.0,7.6
2026-04-14 07:00:00,2026,4,14,7,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,129.0,Unhealthy for Sensitive Groups,2.0,23.0,48,0.0,4.3,265,868.0,32,68.5,88.5,403.0,18.4,127.0,7.8
2026-04-14 08:00:00,2026,4,14,8,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,130.0,Unhealthy for Sensitive Groups,2.0,24.9,47,0.0,5.6,255,869.3,11,64.0,78.7,421.0,13.6,145.0,7.6
2026-04-14 09:00:00,2026,4,14,9,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,131.0,Unhealthy for Sensitive Groups,2.0,26.1,46,0.0,10.3,241,870.2,41,63.1,79.2,442.0,7.0,168.0,7.1
2026-04-14 10:00:00,2026,4,14,10,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,133.0,Unhealthy for Sensitive Groups,2.0,27.1,41,0.0,16.8,242,870.4,75,53.6,68.0,452.0,2.2,183.0,6.4
2026-04-14 11:00:00,2026,4,14,11,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,134.0,Unhealthy for Sensitive Groups,2.0,28.2,37,0.0,20.1,243,870.7,48,39.1,51.0,445.0,0.7,182.0,5.2
2026-04-14 12:00:00,2026,4,14,12,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,134.0,Unhealthy for Sensitive Groups,2.0,29.0,34,0.0,23.4,241,870.6,33,32.6,42.4,428.0,0.9,173.0,3.8
2026-04-14 13:00:00,2026,4,14,13,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,134.0,Unhealthy for Sensitive Groups,2.0,29.4,33,0.0,22.7,243,869.5,19,30.2,39.3,405.0,1.2,167.0,2.8
2026-04-14 14:00:00,2026,4,14,14,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,135.0,Unhealthy for Sensitive Groups,2.0,29.8,30,0.0,23.8,245,868.4,0,30.2,39.3,366.0,0.8,169.0,2.5
2026-04-14 15:00:00,2026,4,14,15,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,146.0,Unhealthy for Sensitive Groups,2.0,29.8,29,0.0,23.5,243,867.5,0,31.0,40.4,322.0,0.6,173.0,2.7
2026-04-14 16:00:00,2026,4,14,16,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,154.0,Unhealthy,3.0,29.3,30,0.0,21.7,241,866.9,0,32.7,42.3,313.0,1.7,173.0,3.1
2026-04-14 17:00:00,2026,4,14,17,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,159.0,Unhealthy,3.0,28.7,31,0.0,20.9,241,866.6,35,34.6,44.2,371.0,5.3,166.0,3.8
2026-04-14 18:00:00,2026,4,14,18,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,158.0,Unhealthy,3.0,27.6,33,0.0,16.9,243,866.5,30,37.4,47.0,463.0,10.3,156.0,4.6
2026-04-14 19:00:00,2026,4,14,19,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,154.0,Unhealthy,3.0,25.7,37,0.0,12.6,250,866.4,8,40.4,50.3,532.0,14.6,145.0,5.5
2026-04-14 20:00:00,2026,4,14,20,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,148.0,Unhealthy for Sensitive Groups,2.0,25.2,35,0.0,10.0,257,866.8,16,43.0,53.0,554.0,17.3,135.0,6.3
2026-04-14 21:00:00,2026,4,14,21,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,140.0,Unhealthy for Sensitive Groups,2.0,24.8,36,0.0,7.6,267,867.0,46,44.8,54.9,552.0,19.3,125.0,7.1
2026-04-14 22:00:00,2026,4,14,22,Lào Cai,Xã Bản Xèo,22.5161108,103.7669318,133.0,Unhealthy for Sensitive Groups,2.0,24.5,35,0.0,7.6,262,866.9,35,46.4,56.7,541.0,20.7,117.0,7.7
