timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,158.0,Unhealthy,3.0,25.4,52,0.0,6.7,234,930.9,14,80.1,98.3,463.0,19.1,125.0,7.8
2026-04-14 22:00:00,2026,4,14,22,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,159.0,Unhealthy,3.0,24.7,52,0.0,6.6,241,931.2,56,85.0,103.4,441.0,20.7,115.0,8.8
2026-04-14 23:00:00,2026,4,14,23,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,159.0,Unhealthy,3.0,24.7,53,0.0,6.6,241,931.2,63,89.2,107.8,447.0,21.7,107.0,9.2
2026-04-15 00:00:00,2026,4,15,0,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,159.0,Unhealthy,3.0,24.7,53,0.0,6.6,241,930.7,72,92.4,111.1,464.0,22.3,100.0,9.3
2026-04-15 01:00:00,2026,4,15,1,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,160.0,Unhealthy,3.0,24.5,50,0.0,8.3,236,930.2,46,94.3,113.6,479.0,22.8,93.0,9.2
2026-04-15 02:00:00,2026,4,15,2,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,160.0,Unhealthy,3.0,24.1,49,0.0,8.0,234,929.5,0,96.2,115.9,485.0,23.0,87.0,8.9
2026-04-15 03:00:00,2026,4,15,3,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,161.0,Unhealthy,3.0,23.3,48,0.0,5.9,227,928.8,0,97.6,117.8,488.0,22.9,82.0,8.5
2026-04-15 04:00:00,2026,4,15,4,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,161.0,Unhealthy,3.0,22.1,52,0.0,6.6,241,928.8,0,98.7,119.7,486.0,23.1,78.0,8.2
2026-04-15 05:00:00,2026,4,15,5,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,162.0,Unhealthy,3.0,22.2,54,0.0,6.5,236,928.9,4,99.7,121.1,482.0,24.6,72.0,8.0
2026-04-15 06:00:00,2026,4,15,6,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,162.0,Unhealthy,3.0,22.0,58,0.0,5.9,232,929.7,60,101.3,123.4,474.0,26.4,68.0,8.0
2026-04-15 07:00:00,2026,4,15,7,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,163.0,Unhealthy,3.0,23.5,62,0.0,5.4,228,930.8,70,103.8,124.8,456.0,25.5,76.0,7.9
2026-04-15 08:00:00,2026,4,15,8,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,163.0,Unhealthy,3.0,25.6,57,0.0,5.3,208,932.5,28,100.6,117.8,417.0,19.5,107.0,7.9
2026-04-15 09:00:00,2026,4,15,9,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,163.0,Unhealthy,3.0,27.1,52,0.0,5.0,201,933.1,16,97.8,115.0,367.0,10.8,149.0,8.0
2026-04-15 10:00:00,2026,4,15,10,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,163.0,Unhealthy,3.0,28.6,45,0.0,7.2,207,933.5,12,98.3,114.6,331.0,4.2,180.0,7.6
2026-04-15 11:00:00,2026,4,15,11,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,163.0,Unhealthy,3.0,29.3,40,0.0,10.0,218,933.2,4,93.8,113.4,321.0,1.9,189.0,6.5
2026-04-15 12:00:00,2026,4,15,12,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,163.0,Unhealthy,3.0,29.7,40,0.0,13.5,236,932.5,74,81.7,104.8,325.0,1.7,187.0,5.0
2026-04-15 13:00:00,2026,4,15,13,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,163.0,Unhealthy,3.0,30.4,37,0.0,15.6,244,931.1,84,67.8,95.9,333.0,1.8,182.0,3.9
2026-04-15 14:00:00,2026,4,15,14,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,164.0,Unhealthy,3.0,29.5,40,0.1,19.8,241,930.0,97,56.0,85.0,340.0,1.3,178.0,3.4
2026-04-15 15:00:00,2026,4,15,15,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,164.0,Unhealthy,3.0,29.6,40,0.0,21.7,238,928.5,60,49.5,76.6,351.0,1.0,171.0,3.2
2026-04-15 16:00:00,2026,4,15,16,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,164.0,Unhealthy,3.0,29.8,36,0.0,20.6,241,927.9,63,48.3,73.8,369.0,1.9,163.0,3.3
2026-04-15 17:00:00,2026,4,15,17,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,164.0,Unhealthy,3.0,28.9,38,0.0,19.4,239,927.8,88,49.1,72.2,401.0,4.7,153.0,3.9
2026-04-15 18:00:00,2026,4,15,18,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,164.0,Unhealthy,3.0,27.6,45,0.0,15.2,234,928.4,45,54.6,72.6,440.0,8.7,142.0,4.9
2026-04-15 19:00:00,2026,4,15,19,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,164.0,Unhealthy,3.0,26.4,51,0.0,10.8,217,929.1,72,60.8,75.9,468.0,12.2,131.0,5.8
2026-04-15 20:00:00,2026,4,15,20,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,164.0,Unhealthy,3.0,25.5,53,0.0,6.8,212,929.3,34,65.4,78.7,476.0,14.8,121.0,6.6
2026-04-15 21:00:00,2026,4,15,21,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,164.0,Unhealthy,3.0,24.8,53,0.0,7.7,221,930.0,80,68.5,80.8,472.0,16.9,111.0,7.4
2026-04-15 22:00:00,2026,4,15,22,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,164.0,Unhealthy,3.0,24.0,65,0.2,4.7,238,930.5,65,71.2,82.7,464.0,18.6,102.0,8.0
2026-04-15 23:00:00,2026,4,15,23,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,163.0,Unhealthy,3.0,23.6,66,0.0,7.0,235,930.2,51,73.1,83.8,451.0,19.8,95.0,8.3
2026-04-16 00:00:00,2026,4,16,0,Lào Cai,Xã Mường Bo,22.2243586,104.0248189,163.0,Unhealthy,3.0,24.3,60,0.0,5.4,217,930.4,33,74.5,85.0,433.0,20.6,90.0,8.4
