timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 00:00:00,2026,4,14,0,Nghệ An,Xã Mậu Thạch,19.0685981,104.9675219,165.0,Unhealthy,3.0,26.5,87,0.0,3.6,45,1000.5,53,89.9,94.8,484.0,7.9,75.0,4.1
2026-04-14 01:00:00,2026,4,14,1,Nghệ An,Xã Mậu Thạch,19.0685981,104.9675219,165.0,Unhealthy,3.0,25.6,93,0.0,2.9,30,1000.2,71,90.6,95.0,468.0,7.5,69.0,3.7
2026-04-14 02:00:00,2026,4,14,2,Nghệ An,Xã Mậu Thạch,19.0685981,104.9675219,164.0,Unhealthy,3.0,25.0,97,0.0,3.1,36,999.5,69,90.8,95.0,473.0,7.5,65.0,3.5
2026-04-14 03:00:00,2026,4,14,3,Nghệ An,Xã Mậu Thạch,19.0685981,104.9675219,164.0,Unhealthy,3.0,24.2,99,0.0,2.6,16,999.4,71,90.8,95.0,488.0,7.5,62.0,3.3
2026-04-14 04:00:00,2026,4,14,4,Nghệ An,Xã Mậu Thạch,19.0685981,104.9675219,164.0,Unhealthy,3.0,23.8,99,0.0,3.3,347,999.7,66,90.6,94.5,505.0,7.5,62.0,3.2
2026-04-14 05:00:00,2026,4,14,5,Nghệ An,Xã Mậu Thạch,19.0685981,104.9675219,164.0,Unhealthy,3.0,23.4,97,0.0,3.1,339,1000.3,50,89.9,94.1,528.0,7.5,61.0,3.2
2026-04-14 06:00:00,2026,4,14,6,Nghệ An,Xã Mậu Thạch,19.0685981,104.9675219,164.0,Unhealthy,3.0,23.0,96,0.0,3.1,315,1000.9,42,89.2,93.1,553.0,7.4,61.0,3.2
2026-04-14 07:00:00,2026,4,14,7,Nghệ An,Xã Mậu Thạch,19.0685981,104.9675219,164.0,Unhealthy,3.0,24.9,93,0.0,2.6,304,1001.4,32,87.3,91.0,556.0,6.8,71.0,3.2
2026-04-14 08:00:00,2026,4,14,8,Nghệ An,Xã Mậu Thạch,19.0685981,104.9675219,164.0,Unhealthy,3.0,31.0,64,0.0,1.1,360,1002.2,0,84.3,88.0,521.0,5.3,101.0,3.2
2026-04-14 09:00:00,2026,4,14,9,Nghệ An,Xã Mậu Thạch,19.0685981,104.9675219,163.0,Unhealthy,3.0,32.8,57,0.0,4.4,55,1002.6,0,76.1,82.9,465.0,3.2,140.0,3.2
