timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,185.0,Unhealthy,3.0,27.1,90,0.0,4.9,144,1005.9,75,44.9,49.8,316.0,24.5,89.0,17.3
2026-04-14 22:00:00,2026,4,14,22,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,159.0,Unhealthy,3.0,26.9,91,0.0,4.6,135,1006.2,66,44.7,49.6,293.0,24.6,78.0,16.0
2026-04-14 23:00:00,2026,4,14,23,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,157.0,Unhealthy,3.0,26.6,93,0.0,3.8,131,1006.2,65,42.6,47.5,272.0,23.8,75.0,15.2
2026-04-15 00:00:00,2026,4,15,0,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,157.0,Unhealthy,3.0,26.4,95,0.0,2.7,113,1005.4,82,39.1,44.1,253.0,22.5,77.0,14.6
2026-04-15 01:00:00,2026,4,15,1,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,157.0,Unhealthy,3.0,26.1,94,0.0,3.7,101,1005.1,82,37.1,41.9,242.0,21.8,78.0,14.3
2026-04-15 02:00:00,2026,4,15,2,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,157.0,Unhealthy,3.0,26.1,94,0.0,2.9,97,1004.3,89,36.6,41.2,240.0,22.0,78.0,14.2
2026-04-15 03:00:00,2026,4,15,3,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,157.0,Unhealthy,3.0,26.1,95,0.0,2.2,90,1003.9,89,37.4,42.0,246.0,22.8,79.0,14.3
2026-04-15 04:00:00,2026,4,15,4,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,157.0,Unhealthy,3.0,26.0,95,0.0,2.2,81,1004.3,91,38.9,43.7,259.0,24.0,77.0,14.8
2026-04-15 05:00:00,2026,4,15,5,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,157.0,Unhealthy,3.0,26.0,96,0.0,1.8,79,1004.5,92,41.1,45.8,283.0,26.3,69.0,15.6
2026-04-15 06:00:00,2026,4,15,6,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,157.0,Unhealthy,3.0,26.1,96,0.0,2.2,90,1005.5,94,45.1,49.8,315.0,29.1,59.0,16.7
2026-04-15 07:00:00,2026,4,15,7,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,157.0,Unhealthy,3.0,26.7,93,0.0,3.3,103,1006.1,92,47.6,51.9,344.0,29.8,60.0,18.7
2026-04-15 08:00:00,2026,4,15,8,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,155.0,Unhealthy,3.0,27.4,89,0.0,5.9,137,1007.2,95,40.6,46.9,368.0,26.9,80.0,22.4
2026-04-15 09:00:00,2026,4,15,9,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,154.0,Unhealthy,3.0,28.7,83,0.0,5.9,142,1007.7,94,44.0,50.1,390.0,22.0,112.0,26.9
2026-04-15 10:00:00,2026,4,15,10,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,153.0,Unhealthy,3.0,30.1,77,0.0,7.3,147,1007.8,92,53.9,59.8,402.0,17.3,144.0,29.9
2026-04-15 11:00:00,2026,4,15,11,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,152.0,Unhealthy,3.0,31.7,69,0.0,8.9,140,1007.3,73,62.2,68.7,401.0,13.1,179.0,30.0
2026-04-15 12:00:00,2026,4,15,12,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,151.0,Unhealthy,3.0,32.9,64,0.0,11.8,130,1006.5,59,65.4,71.9,390.0,9.0,215.0,28.4
2026-04-15 13:00:00,2026,4,15,13,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,151.0,Unhealthy,3.0,33.2,64,0.0,15.4,123,1005.2,50,62.4,68.7,376.0,6.6,236.0,26.9
2026-04-15 14:00:00,2026,4,15,14,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,148.0,Unhealthy for Sensitive Groups,2.0,32.7,67,0.0,16.5,122,1004.1,59,57.4,63.1,357.0,6.4,235.0,26.0
2026-04-15 15:00:00,2026,4,15,15,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,144.0,Unhealthy for Sensitive Groups,2.0,32.0,70,0.0,17.4,117,1003.1,62,53.3,58.6,335.0,7.7,220.0,25.0
2026-04-15 16:00:00,2026,4,15,16,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,164.0,Unhealthy,3.0,31.0,73,0.0,14.7,115,1002.7,94,48.4,53.0,319.0,10.1,198.0,23.8
2026-04-15 17:00:00,2026,4,15,17,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,183.0,Unhealthy,3.0,30.0,75,0.0,14.1,128,1003.1,100,44.0,47.7,317.0,14.3,165.0,22.1
2026-04-15 18:00:00,2026,4,15,18,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,191.0,Unhealthy,3.0,28.7,78,0.0,15.8,139,1003.7,100,40.7,44.1,322.0,19.6,126.0,20.2
2026-04-15 19:00:00,2026,4,15,19,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,188.0,Unhealthy,3.0,27.6,86,0.0,10.5,142,1004.4,47,36.3,40.4,319.0,22.8,95.0,18.4
2026-04-15 20:00:00,2026,4,15,20,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,175.0,Unhealthy,3.0,27.0,88,0.0,8.2,165,1004.9,74,32.9,36.9,299.0,22.2,81.0,16.9
2026-04-15 21:00:00,2026,4,15,21,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,154.0,Unhealthy,3.0,26.9,89,0.0,5.0,159,1005.4,67,30.2,33.9,270.0,19.7,77.0,15.5
2026-04-15 22:00:00,2026,4,15,22,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,124.0,Unhealthy for Sensitive Groups,2.0,26.7,89,0.0,4.9,163,1006.0,69,27.6,31.4,246.0,17.6,75.0,14.4
2026-04-15 23:00:00,2026,4,15,23,Ninh Bình,Xã Đại Hoàng,20.3135578,105.8767629,122.0,Unhealthy for Sensitive Groups,2.0,26.6,90,0.0,4.4,145,1006.0,95,26.0,29.6,230.0,16.8,75.0,13.6
