timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 22:00:00,2026,4,13,22,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,205.0,Very Unhealthy,4.0,27.9,82,0.0,2.2,171,1004.0,75,51.6,53.9,339.0,22.5,102.0,15.4
2026-04-13 23:00:00,2026,4,13,23,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,178.0,Unhealthy,3.0,27.4,84,0.0,2.5,172,1004.0,55,50.4,53.0,341.0,24.1,89.0,14.3
2026-04-14 00:00:00,2026,4,14,0,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,172.0,Unhealthy,3.0,26.9,86,0.0,2.1,211,1003.5,70,53.4,56.5,355.0,26.5,80.0,13.9
2026-04-14 01:00:00,2026,4,14,1,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,171.0,Unhealthy,3.0,26.5,88,0.0,2.9,173,1002.9,73,60.1,63.6,367.0,29.1,71.0,13.6
2026-04-14 02:00:00,2026,4,14,2,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,171.0,Unhealthy,3.0,26.0,90,0.0,2.6,196,1002.3,55,67.5,71.5,372.0,32.3,57.0,13.0
2026-04-14 03:00:00,2026,4,14,3,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,170.0,Unhealthy,3.0,25.7,92,0.0,1.9,202,1002.3,40,74.5,78.9,376.0,35.7,43.0,12.4
2026-04-14 04:00:00,2026,4,14,4,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,170.0,Unhealthy,3.0,25.3,93,0.0,1.4,180,1002.6,34,81.0,85.7,384.0,37.7,35.0,11.9
2026-04-14 05:00:00,2026,4,14,5,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,169.0,Unhealthy,3.0,25.1,94,0.0,1.1,198,1003.3,62,87.1,92.0,399.0,37.9,32.0,11.1
2026-04-14 06:00:00,2026,4,14,6,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,169.0,Unhealthy,3.0,24.9,95,0.0,0.5,225,1003.9,51,94.3,99.7,418.0,36.7,35.0,10.4
2026-04-14 07:00:00,2026,4,14,7,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,169.0,Unhealthy,3.0,26.1,92,0.0,0.5,45,1004.5,30,102.0,106.6,442.0,33.6,54.0,11.3
2026-04-14 08:00:00,2026,4,14,8,Phú Thọ,Xã Đại Đồng,20.4027272,105.4975557,168.0,Unhealthy,3.0,27.9,83,0.0,1.4,90,1005.3,34,93.8,99.2,474.0,27.3,100.0,15.1
