timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-15 00:00:00,2026,4,15,0,Phú Thọ,Xã Hương Cần,21.0160418,105.2574646,206.0,Very Unhealthy,4.0,26.6,97,0.0,2.1,59,999.3,87,125.7,128.1,625.0,33.9,88.0,48.6
2026-04-15 01:00:00,2026,4,15,1,Phú Thọ,Xã Hương Cần,21.0160418,105.2574646,194.0,Unhealthy,3.0,26.2,98,0.0,3.6,45,999.0,91,121.5,123.4,615.0,38.1,68.0,45.9
2026-04-15 02:00:00,2026,4,15,2,Phú Thọ,Xã Hương Cần,21.0160418,105.2574646,193.0,Unhealthy,3.0,25.9,97,0.0,3.6,37,998.4,90,116.9,119.0,612.0,41.4,47.0,37.5
2026-04-15 03:00:00,2026,4,15,3,Phú Thọ,Xã Hương Cần,21.0160418,105.2574646,193.0,Unhealthy,3.0,25.6,97,0.0,4.3,42,998.1,93,134.1,136.0,607.0,44.1,27.0,26.3
2026-04-15 04:00:00,2026,4,15,4,Phú Thọ,Xã Hương Cần,21.0160418,105.2574646,192.0,Unhealthy,3.0,25.4,98,0.0,3.8,41,998.5,98,156.9,158.8,592.0,45.4,13.0,19.5
2026-04-15 05:00:00,2026,4,15,5,Phú Thọ,Xã Hương Cần,21.0160418,105.2574646,193.0,Unhealthy,3.0,25.2,98,0.0,3.6,45,998.8,100,149.0,151.3,555.0,44.7,6.0,20.8
2026-04-15 06:00:00,2026,4,15,6,Phú Thọ,Xã Hương Cần,21.0160418,105.2574646,193.0,Unhealthy,3.0,25.2,98,0.0,3.4,58,999.6,100,130.9,133.2,507.0,42.6,5.0,26.3
2026-04-15 07:00:00,2026,4,15,7,Phú Thọ,Xã Hương Cần,21.0160418,105.2574646,192.0,Unhealthy,3.0,25.5,97,0.0,2.9,60,1000.4,98,102.9,105.2,470.0,39.7,10.0,31.6
2026-04-15 08:00:00,2026,4,15,8,Phú Thọ,Xã Hương Cần,21.0160418,105.2574646,190.0,Unhealthy,3.0,26.3,94,0.0,3.3,49,1001.2,97,79.9,82.2,451.0,36.1,20.0,35.6
2026-04-15 09:00:00,2026,4,15,9,Phú Thọ,Xã Hương Cần,21.0160418,105.2574646,189.0,Unhealthy,3.0,27.1,91,0.0,2.8,40,1002.0,94,72.4,74.7,443.0,31.7,37.0,39.3
