timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 22:00:00,2026,4,13,22,Phú Thọ,Xã Khả Cửu,21.0065219,105.1208005,247.0,Very Unhealthy,4.0,26.9,83,0.0,3.4,198,970.7,67,122.5,123.4,436.0,29.5,148.0,51.7
2026-04-13 23:00:00,2026,4,13,23,Phú Thọ,Xã Khả Cửu,21.0065219,105.1208005,232.0,Very Unhealthy,4.0,26.4,87,0.0,3.4,198,970.6,63,126.2,127.1,459.0,33.3,122.0,51.8
2026-04-14 00:00:00,2026,4,14,0,Phú Thọ,Xã Khả Cửu,21.0065219,105.1208005,216.0,Very Unhealthy,4.0,26.0,88,0.0,2.7,203,970.3,70,127.6,128.5,491.0,37.9,99.0,51.6
2026-04-14 01:00:00,2026,4,14,1,Phú Thọ,Xã Khả Cửu,21.0065219,105.1208005,197.0,Unhealthy,3.0,25.7,88,0.0,0.7,180,969.7,58,127.6,128.5,520.0,42.1,80.0,51.0
2026-04-14 02:00:00,2026,4,14,2,Phú Thọ,Xã Khả Cửu,21.0065219,105.1208005,181.0,Unhealthy,3.0,25.1,91,0.0,1.3,56,969.3,60,127.1,128.1,539.0,46.1,64.0,50.8
2026-04-14 03:00:00,2026,4,14,3,Phú Thọ,Xã Khả Cửu,21.0065219,105.1208005,182.0,Unhealthy,3.0,24.4,95,0.0,2.3,51,969.3,62,125.3,126.7,553.0,49.7,50.0,50.3
2026-04-14 04:00:00,2026,4,14,4,Phú Thọ,Xã Khả Cửu,21.0065219,105.1208005,183.0,Unhealthy,3.0,23.8,99,0.0,2.3,51,969.5,64,122.9,124.3,568.0,51.3,39.0,47.9
2026-04-14 05:00:00,2026,4,14,5,Phú Thọ,Xã Khả Cửu,21.0065219,105.1208005,183.0,Unhealthy,3.0,23.7,100,0.0,3.1,36,970.4,81,132.7,134.1,587.0,50.1,26.0,40.9
2026-04-14 06:00:00,2026,4,14,6,Phú Thọ,Xã Khả Cửu,21.0065219,105.1208005,184.0,Unhealthy,3.0,23.8,100,0.0,3.1,36,971.1,93,150.4,152.3,605.0,46.8,15.0,32.0
2026-04-14 07:00:00,2026,4,14,7,Phú Thọ,Xã Khả Cửu,21.0065219,105.1208005,185.0,Unhealthy,3.0,24.5,96,0.0,3.4,32,971.7,90,144.8,147.1,615.0,42.3,19.0,27.1
