timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 00:00:00,2026,4,14,0,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,84.0,Moderate,1.0,25.9,89,0.0,4.0,185,1008.5,36,26.7,30.2,165.0,19.8,45.0,4.3
2026-04-14 01:00:00,2026,4,14,1,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,84.0,Moderate,1.0,25.5,89,0.0,4.0,185,1008.0,43,29.1,32.4,163.0,21.9,40.0,4.2
2026-04-14 02:00:00,2026,4,14,2,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,84.0,Moderate,1.0,25.4,88,0.0,4.3,185,1007.5,48,31.4,34.6,158.0,24.1,34.0,4.0
2026-04-14 03:00:00,2026,4,14,3,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,84.0,Moderate,1.0,25.4,85,0.0,4.3,185,1007.3,62,33.3,36.4,152.0,26.0,28.0,3.7
2026-04-14 04:00:00,2026,4,14,4,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,85.0,Moderate,1.0,25.3,84,0.0,4.0,185,1007.7,63,34.5,37.5,149.0,26.4,29.0,3.6
2026-04-14 05:00:00,2026,4,14,5,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,85.0,Moderate,1.0,25.2,84,0.0,4.0,180,1008.2,57,34.9,38.0,150.0,24.6,37.0,3.8
2026-04-14 06:00:00,2026,4,14,6,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,85.0,Moderate,1.0,25.2,84,0.0,4.0,170,1008.7,56,36.4,39.6,154.0,21.3,51.0,4.2
2026-04-14 07:00:00,2026,4,14,7,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,85.0,Moderate,1.0,27.1,81,0.0,5.0,150,1009.3,59,37.1,40.5,162.0,17.5,71.0,4.5
2026-04-14 08:00:00,2026,4,14,8,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,85.0,Moderate,1.0,28.2,78,0.0,6.4,137,1010.2,64,31.2,34.6,179.0,13.0,102.0,4.8
2026-04-14 09:00:00,2026,4,14,9,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,85.0,Moderate,1.0,29.7,76,0.0,6.6,131,1010.5,81,30.3,33.9,201.0,8.1,139.0,5.1
2026-04-14 10:00:00,2026,4,14,10,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,85.0,Moderate,1.0,30.8,74,0.0,6.8,122,1010.4,86,29.8,33.5,215.0,4.4,167.0,5.2
2026-04-14 11:00:00,2026,4,14,11,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,84.0,Moderate,1.0,32.0,69,0.0,8.1,111,1010.0,79,29.4,33.2,214.0,2.9,180.0,4.8
2026-04-14 12:00:00,2026,4,14,12,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,84.0,Moderate,1.0,33.5,62,0.0,9.7,105,1009.3,49,28.1,31.9,205.0,2.6,184.0,4.2
2026-04-14 13:00:00,2026,4,14,13,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,84.0,Moderate,1.0,34.2,57,0.0,11.4,108,1008.1,38,26.3,30.0,194.0,2.7,183.0,3.6
2026-04-14 14:00:00,2026,4,14,14,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,96.0,Moderate,1.0,33.7,56,0.0,12.9,117,1007.2,9,24.2,27.9,183.0,2.7,177.0,3.2
2026-04-14 15:00:00,2026,4,14,15,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,122.0,Unhealthy for Sensitive Groups,2.0,33.1,57,0.0,12.3,128,1006.7,100,22.1,25.7,170.0,2.9,166.0,2.9
2026-04-14 16:00:00,2026,4,14,16,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,143.0,Unhealthy for Sensitive Groups,2.0,31.3,62,0.0,12.2,135,1006.6,100,20.5,24.5,162.0,3.7,152.0,2.8
2026-04-14 17:00:00,2026,4,14,17,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,152.0,Unhealthy,3.0,29.7,68,0.0,9.8,144,1006.7,100,19.4,23.4,161.0,5.3,133.0,2.9
2026-04-14 18:00:00,2026,4,14,18,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,151.0,Unhealthy,3.0,28.4,76,0.0,8.2,151,1007.1,100,18.7,22.4,164.0,7.4,111.0,3.2
2026-04-14 19:00:00,2026,4,14,19,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,140.0,Unhealthy for Sensitive Groups,2.0,27.4,83,0.0,7.2,162,1007.7,100,18.8,22.4,168.0,9.6,92.0,3.5
2026-04-14 20:00:00,2026,4,14,20,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,121.0,Unhealthy for Sensitive Groups,2.0,27.0,86,0.0,6.6,167,1007.8,100,19.1,22.3,172.0,11.7,78.0,3.9
2026-04-14 21:00:00,2026,4,14,21,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,99.0,Moderate,1.0,26.7,86,0.0,6.2,173,1008.1,100,19.9,22.9,178.0,13.8,66.0,4.3
2026-04-14 22:00:00,2026,4,14,22,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,82.0,Moderate,1.0,26.3,86,0.0,5.8,173,1008.0,100,21.5,24.4,180.0,15.9,56.0,4.6
2026-04-14 23:00:00,2026,4,14,23,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,82.0,Moderate,1.0,26.0,87,0.0,5.4,176,1007.7,100,23.9,26.7,178.0,18.3,48.0,4.5
2026-04-15 00:00:00,2026,4,15,0,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,82.0,Moderate,1.0,25.6,88,0.0,4.7,176,1007.3,98,26.0,28.8,173.0,20.7,42.0,4.2
2026-04-15 01:00:00,2026,4,15,1,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,82.0,Moderate,1.0,25.3,89,0.0,5.5,169,1007.0,88,27.9,30.6,168.0,22.6,37.0,4.0
2026-04-15 02:00:00,2026,4,15,2,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,82.0,Moderate,1.0,25.2,89,0.0,5.6,165,1006.8,96,30.0,32.6,162.0,24.2,32.0,3.8
2026-04-15 03:00:00,2026,4,15,3,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,81.0,Moderate,1.0,25.0,90,0.0,5.7,162,1006.5,90,31.5,34.1,156.0,25.4,27.0,3.6
2026-04-15 04:00:00,2026,4,15,4,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,81.0,Moderate,1.0,24.7,92,0.0,5.8,158,1006.6,94,32.4,35.0,152.0,25.1,29.0,3.6
2026-04-15 05:00:00,2026,4,15,5,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,81.0,Moderate,1.0,24.6,92,0.0,6.0,155,1007.0,49,32.4,35.2,149.0,22.7,38.0,3.8
2026-04-15 06:00:00,2026,4,15,6,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,81.0,Moderate,1.0,24.5,93,0.0,6.0,155,1007.6,48,33.5,36.2,148.0,18.9,53.0,4.1
2026-04-15 07:00:00,2026,4,15,7,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,81.0,Moderate,1.0,26.0,88,0.0,6.1,152,1008.6,99,32.7,35.6,152.0,15.0,73.0,4.3
2026-04-15 08:00:00,2026,4,15,8,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,80.0,Moderate,1.0,27.7,83,0.0,6.4,142,1009.4,100,27.8,30.7,167.0,10.9,101.0,4.2
2026-04-15 09:00:00,2026,4,15,9,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,80.0,Moderate,1.0,29.6,76,0.0,6.1,130,1009.5,100,25.7,28.8,188.0,6.6,134.0,4.0
2026-04-15 10:00:00,2026,4,15,10,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,80.0,Moderate,1.0,31.3,71,0.0,6.5,109,1009.2,57,25.7,28.7,201.0,3.5,158.0,3.7
2026-04-15 11:00:00,2026,4,15,11,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,79.0,Moderate,1.0,32.8,65,0.0,7.3,101,1008.6,59,25.1,28.1,201.0,2.3,168.0,3.3
2026-04-15 12:00:00,2026,4,15,12,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,79.0,Moderate,1.0,33.7,61,0.0,8.5,102,1007.8,47,24.2,27.3,194.0,2.2,169.0,2.8
2026-04-15 13:00:00,2026,4,15,13,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,78.0,Moderate,1.0,34.2,57,0.0,11.0,109,1006.9,52,22.8,26.0,186.0,2.4,166.0,2.4
2026-04-15 14:00:00,2026,4,15,14,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,84.0,Moderate,1.0,33.5,56,0.0,12.7,115,1006.0,100,21.1,24.3,176.0,2.5,159.0,2.2
2026-04-15 15:00:00,2026,4,15,15,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,106.0,Unhealthy for Sensitive Groups,2.0,31.5,59,0.0,11.5,136,1005.8,100,19.4,22.7,165.0,3.0,147.0,2.1
2026-04-15 16:00:00,2026,4,15,16,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,122.0,Unhealthy for Sensitive Groups,2.0,30.0,64,0.0,10.0,139,1005.7,100,18.4,21.7,159.0,4.0,133.0,2.2
2026-04-15 17:00:00,2026,4,15,17,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,129.0,Unhealthy for Sensitive Groups,2.0,28.8,68,0.0,8.9,140,1006.3,100,17.6,21.0,164.0,5.9,117.0,2.5
2026-04-15 18:00:00,2026,4,15,18,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,125.0,Unhealthy for Sensitive Groups,2.0,27.4,74,0.0,7.7,143,1006.8,100,17.7,21.2,174.0,8.4,99.0,2.9
2026-04-15 19:00:00,2026,4,15,19,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,113.0,Unhealthy for Sensitive Groups,2.0,26.2,79,0.0,7.0,145,1007.4,86,18.6,21.8,181.0,10.7,83.0,3.4
2026-04-15 20:00:00,2026,4,15,20,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,95.0,Moderate,1.0,25.4,84,0.0,6.8,155,1007.7,90,18.9,22.2,179.0,12.7,71.0,3.9
2026-04-15 21:00:00,2026,4,15,21,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,77.0,Moderate,1.0,25.1,86,0.0,6.4,164,1008.2,33,20.1,23.4,174.0,14.5,62.0,4.3
2026-04-15 22:00:00,2026,4,15,22,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,77.0,Moderate,1.0,24.9,87,0.0,5.5,169,1008.2,20,22.4,25.7,168.0,16.4,54.0,4.6
2026-04-15 23:00:00,2026,4,15,23,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,77.0,Moderate,1.0,24.6,89,0.0,5.2,168,1007.8,8,24.7,28.1,162.0,18.5,47.0,4.5
2026-04-16 00:00:00,2026,4,16,0,Quảng Ngãi,Xã Vạn Tường,15.3460891,108.8196365,77.0,Moderate,1.0,24.4,90,0.0,6.2,159,1007.5,3,26.8,30.0,157.0,20.6,41.0,4.2
