timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Quảng Ninh,Xã Đầm Hà,21.3537643,107.5914785,87.0,Moderate,1.0,26.6,91,0.0,2.1,121,1005.2,69,31.4,38.3,326.0,3.2,109.0,1.5
2026-04-14 22:00:00,2026,4,14,22,Quảng Ninh,Xã Đầm Hà,21.3537643,107.5914785,87.0,Moderate,1.0,26.5,91,0.0,1.5,76,1005.7,81,31.5,38.0,309.0,3.4,107.0,1.6
2026-04-14 23:00:00,2026,4,14,23,Quảng Ninh,Xã Đầm Hà,21.3537643,107.5914785,88.0,Moderate,1.0,26.4,91,0.0,1.3,56,1005.8,89,28.9,35.5,285.0,3.1,105.0,1.5
2026-04-15 00:00:00,2026,4,15,0,Quảng Ninh,Xã Đầm Hà,21.3537643,107.5914785,88.0,Moderate,1.0,26.4,91,0.0,1.6,333,1005.2,89,26.9,33.3,256.0,2.5,103.0,1.3
2026-04-15 01:00:00,2026,4,15,1,Quảng Ninh,Xã Đầm Hà,21.3537643,107.5914785,89.0,Moderate,1.0,26.2,90,0.0,3.3,347,1004.8,87,24.9,31.2,232.0,2.0,100.0,1.1
2026-04-15 02:00:00,2026,4,15,2,Quảng Ninh,Xã Đầm Hà,21.3537643,107.5914785,89.0,Moderate,1.0,25.9,91,0.0,3.2,360,1003.9,87,23.0,29.0,220.0,1.9,96.0,1.1
2026-04-15 03:00:00,2026,4,15,3,Quảng Ninh,Xã Đầm Hà,21.3537643,107.5914785,88.0,Moderate,1.0,25.8,91,0.0,2.3,18,1003.6,89,21.0,26.7,214.0,2.0,91.0,1.1
2026-04-15 04:00:00,2026,4,15,4,Quảng Ninh,Xã Đầm Hà,21.3537643,107.5914785,88.0,Moderate,1.0,26.3,88,0.0,1.5,76,1004.0,95,19.2,24.5,211.0,2.0,87.0,1.1
2026-04-15 05:00:00,2026,4,15,5,Quảng Ninh,Xã Đầm Hà,21.3537643,107.5914785,88.0,Moderate,1.0,26.3,88,0.0,2.2,90,1004.3,93,18.5,23.6,210.0,2.0,85.0,1.1
2026-04-15 06:00:00,2026,4,15,6,Quảng Ninh,Xã Đầm Hà,21.3537643,107.5914785,87.0,Moderate,1.0,26.2,90,0.0,2.5,90,1005.3,92,17.8,22.8,211.0,1.9,84.0,1.1
2026-04-15 07:00:00,2026,4,15,7,Quảng Ninh,Xã Đầm Hà,21.3537643,107.5914785,87.0,Moderate,1.0,26.8,91,0.0,1.9,68,1005.6,90,17.3,22.5,210.0,1.8,84.0,1.1
