timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-14 21:00:00,2026,4,14,21,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,132.0,Unhealthy for Sensitive Groups,2.0,29.5,56,0.0,4.0,85,970.8,0,61.2,67.1,624.0,10.8,80.0,4.4
2026-04-14 22:00:00,2026,4,14,22,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,134.0,Unhealthy for Sensitive Groups,2.0,28.6,62,0.0,5.1,86,971.0,20,67.1,73.3,604.0,11.1,72.0,4.6
2026-04-14 23:00:00,2026,4,14,23,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,135.0,Unhealthy for Sensitive Groups,2.0,27.5,71,0.0,4.7,90,971.0,26,70.8,77.1,548.0,10.8,67.0,4.4
2026-04-15 00:00:00,2026,4,15,0,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,138.0,Unhealthy for Sensitive Groups,2.0,26.8,78,0.0,3.3,96,970.3,34,71.5,76.8,470.0,10.2,62.0,4.0
2026-04-15 01:00:00,2026,4,15,1,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,140.0,Unhealthy for Sensitive Groups,2.0,26.9,72,0.0,0.8,207,970.1,31,68.2,72.4,415.0,9.6,60.0,3.7
2026-04-15 02:00:00,2026,4,15,2,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,142.0,Unhealthy for Sensitive Groups,2.0,27.4,68,0.0,1.0,225,969.4,41,62.9,66.1,407.0,9.0,60.0,3.4
2026-04-15 03:00:00,2026,4,15,3,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,144.0,Unhealthy for Sensitive Groups,2.0,27.6,65,0.0,1.5,194,969.0,41,58.2,61.0,422.0,8.4,61.0,3.2
2026-04-15 04:00:00,2026,4,15,4,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,145.0,Unhealthy for Sensitive Groups,2.0,27.3,65,0.0,2.2,180,969.2,31,54.9,57.5,431.0,7.8,63.0,3.0
2026-04-15 05:00:00,2026,4,15,5,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,147.0,Unhealthy for Sensitive Groups,2.0,26.7,66,0.0,2.3,198,969.5,0,53.6,56.0,424.0,7.4,65.0,2.9
2026-04-15 06:00:00,2026,4,15,6,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,148.0,Unhealthy for Sensitive Groups,2.0,26.8,65,0.0,3.9,236,970.5,0,52.9,55.4,411.0,7.0,68.0,2.9
2026-04-15 07:00:00,2026,4,15,7,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,149.0,Unhealthy for Sensitive Groups,2.0,30.3,52,0.0,3.3,221,971.7,11,51.1,53.3,390.0,6.3,76.0,3.0
2026-04-15 08:00:00,2026,4,15,8,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,146.0,Unhealthy for Sensitive Groups,2.0,32.9,46,0.0,10.7,222,973.1,33,38.8,41.0,351.0,4.7,93.0,3.2
2026-04-15 09:00:00,2026,4,15,9,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,143.0,Unhealthy for Sensitive Groups,2.0,33.9,45,0.0,14.8,225,973.7,11,38.6,40.3,303.0,2.7,115.0,3.4
2026-04-15 10:00:00,2026,4,15,10,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,141.0,Unhealthy for Sensitive Groups,2.0,34.8,44,0.0,15.8,229,973.5,45,38.2,39.5,272.0,1.3,133.0,3.5
2026-04-15 11:00:00,2026,4,15,11,Quảng Trị,Xã Thượng Trạch,17.3630722,106.1867563,139.0,Unhealthy for Sensitive Groups,2.0,35.8,41,0.0,15.1,232,973.3,51,34.3,36.1,272.0,1.1,142.0,3.2
