timestamp,year,month,day,hour,province,location,lat,lon,aqi,pollution_level,pollution_class,temp,humidity,rain,wind_speed,wind_dir,pressure,cloud,pm2_5,pm10,co,no2,o3,so2
2026-04-13 22:00:00,2026,4,13,22,Sơn La,Xã Mường Bám,21.3762412,103.3881955,165.0,Unhealthy,3.0,25.1,45,0.0,7.2,252,935.3,0,78.7,92.4,483.0,7.4,124.0,6.3
2026-04-13 23:00:00,2026,4,13,23,Sơn La,Xã Mường Bám,21.3762412,103.3881955,158.0,Unhealthy,3.0,24.8,46,0.0,6.1,242,935.3,0,76.4,89.4,508.0,7.8,115.0,6.0
2026-04-14 00:00:00,2026,4,14,0,Sơn La,Xã Mường Bám,21.3762412,103.3881955,159.0,Unhealthy,3.0,23.9,46,0.0,6.3,246,935.0,0,75.0,87.5,536.0,8.3,107.0,5.6
2026-04-14 01:00:00,2026,4,14,1,Sơn La,Xã Mường Bám,21.3762412,103.3881955,159.0,Unhealthy,3.0,23.6,46,0.0,6.1,242,934.5,0,75.4,88.0,561.0,9.1,99.0,5.4
2026-04-14 02:00:00,2026,4,14,2,Sơn La,Xã Mường Bám,21.3762412,103.3881955,159.0,Unhealthy,3.0,23.2,47,0.0,6.3,246,934.0,15,77.1,89.4,579.0,10.5,90.0,5.4
2026-04-14 03:00:00,2026,4,14,3,Sơn La,Xã Mường Bám,21.3762412,103.3881955,160.0,Unhealthy,3.0,23.0,48,0.0,5.4,250,933.8,31,78.9,91.5,594.0,12.3,81.0,5.5
2026-04-14 04:00:00,2026,4,14,4,Sơn La,Xã Mường Bám,21.3762412,103.3881955,160.0,Unhealthy,3.0,22.6,51,0.0,5.6,243,933.8,33,81.3,94.1,607.0,13.5,75.0,5.6
2026-04-14 05:00:00,2026,4,14,5,Sơn La,Xã Mường Bám,21.3762412,103.3881955,160.0,Unhealthy,3.0,22.4,52,0.0,5.8,240,934.5,42,83.6,96.6,625.0,14.2,71.0,5.8
2026-04-14 06:00:00,2026,4,14,6,Sơn La,Xã Mường Bám,21.3762412,103.3881955,161.0,Unhealthy,3.0,22.6,52,0.0,5.7,235,935.0,66,86.4,99.7,642.0,14.4,71.0,6.0
2026-04-14 07:00:00,2026,4,14,7,Sơn La,Xã Mường Bám,21.3762412,103.3881955,161.0,Unhealthy,3.0,24.0,56,0.0,4.6,225,935.7,73,89.2,102.2,637.0,13.3,80.0,6.2
2026-04-14 08:00:00,2026,4,14,8,Sơn La,Xã Mường Bám,21.3762412,103.3881955,161.0,Unhealthy,3.0,27.2,60,0.0,3.3,221,936.8,45,85.9,95.7,596.0,9.8,109.0,6.6
2026-04-14 09:00:00,2026,4,14,9,Sơn La,Xã Mường Bám,21.3762412,103.3881955,161.0,Unhealthy,3.0,30.0,40,0.0,5.4,228,937.5,10,68.2,82.0,534.0,5.1,148.0,7.0
2026-04-14 10:00:00,2026,4,14,10,Sơn La,Xã Mường Bám,21.3762412,103.3881955,161.0,Unhealthy,3.0,31.1,37,0.0,11.8,239,937.6,50,58.1,71.9,475.0,1.6,176.0,7.2
2026-04-14 11:00:00,2026,4,14,11,Sơn La,Xã Mường Bám,21.3762412,103.3881955,161.0,Unhealthy,3.0,31.8,36,0.0,17.6,255,937.4,46,50.1,62.4,423.0,0.7,181.0,7.2
2026-04-14 12:00:00,2026,4,14,12,Sơn La,Xã Mường Bám,21.3762412,103.3881955,160.0,Unhealthy,3.0,32.6,33,0.0,19.0,260,936.9,55,47.4,58.6,374.0,1.2,176.0,6.9
2026-04-14 13:00:00,2026,4,14,13,Sơn La,Xã Mường Bám,21.3762412,103.3881955,160.0,Unhealthy,3.0,33.6,29,0.0,18.6,255,935.8,4,46.0,56.0,343.0,1.7,172.0,6.6
2026-04-14 14:00:00,2026,4,14,14,Sơn La,Xã Mường Bám,21.3762412,103.3881955,159.0,Unhealthy,3.0,33.7,27,0.0,18.7,251,934.4,52,44.5,53.3,340.0,1.8,177.0,6.1
2026-04-14 15:00:00,2026,4,14,15,Sơn La,Xã Mường Bám,21.3762412,103.3881955,159.0,Unhealthy,3.0,33.8,26,0.0,19.9,257,933.4,61,43.8,51.8,353.0,2.0,184.0,5.5
2026-04-14 16:00:00,2026,4,14,16,Sơn La,Xã Mường Bám,21.3762412,103.3881955,158.0,Unhealthy,3.0,33.5,26,0.0,19.3,249,932.8,3,43.3,50.8,366.0,2.4,185.0,5.1
2026-04-14 17:00:00,2026,4,14,17,Sơn La,Xã Mường Bám,21.3762412,103.3881955,161.0,Unhealthy,3.0,33.0,25,0.0,15.3,246,932.4,0,43.5,50.3,368.0,3.3,175.0,5.0
2026-04-14 18:00:00,2026,4,14,18,Sơn La,Xã Mường Bám,21.3762412,103.3881955,165.0,Unhealthy,3.0,31.6,27,0.0,9.8,253,932.5,31,44.2,50.3,368.0,4.6,160.0,5.1
2026-04-14 19:00:00,2026,4,14,19,Sơn La,Xã Mường Bám,21.3762412,103.3881955,162.0,Unhealthy,3.0,29.3,32,0.0,9.3,257,933.0,51,48.4,54.5,377.0,5.6,145.0,5.2
2026-04-14 20:00:00,2026,4,14,20,Sơn La,Xã Mường Bám,21.3762412,103.3881955,157.0,Unhealthy,3.0,28.4,36,0.0,6.9,261,933.7,28,50.9,57.2,402.0,6.2,132.0,5.3
2026-04-14 21:00:00,2026,4,14,21,Sơn La,Xã Mường Bám,21.3762412,103.3881955,155.0,Unhealthy,3.0,26.6,42,0.0,5.8,248,934.1,12,52.2,58.4,435.0,6.7,120.0,5.3
